SubID,Red,Green,RunNumber,session,PartType,Date,FolderOrg
MET001,2149.0,919.0,1,1,1,10_DEC_24,S01_Beh_10_DEC_24
MET001,1999.0,1038.0,2,1,1,10_DEC_24,S01_Beh_10_DEC_24
MET001,1489.0,777.0,3,1,1,10_DEC_24,S01_Beh_10_DEC_24
MET001,1745.0,997.0,4,1,1,10_DEC_24,S01_Beh_10_DEC_24
MET001,1835.0,875.0,5,1,1,10_DEC_24,S01_Beh_10_DEC_24
MET001,2179.0,963.0,6,1,1,10_DEC_24,S01_Beh_10_DEC_24
MET001,1863.0,950.0,7,1,1,10_DEC_24,S01_Beh_10_DEC_24
MET001,2949.0,1311.0,8,1,1,10_DEC_24,S01_Beh_10_DEC_24
MET001,1804.0,931.0,9,1,1,10_DEC_24,S01_Beh_10_DEC_24
MET001,2559.0,888.0,10,1,1,10_DEC_24,S01_Beh_10_DEC_24
MET001,2461.0,1021.0,11,1,1,10_DEC_24,S01_Beh_10_DEC_24
MET002,1562.0,988.0,1,1,1,10_DEC_24,S02_Beh_10_DEC_24
MET002,1896.0,800.0,2,1,1,10_DEC_24,S02_Beh_10_DEC_24
MET002,1732.0,915.0,3,1,1,10_DEC_24,S02_Beh_10_DEC_24
MET002,1926.0,875.0,4,1,1,10_DEC_24,S02_Beh_10_DEC_24
MET002,2399.0,788.0,5,1,1,10_DEC_24,S02_Beh_10_DEC_24
MET002,1617.0,992.0,6,1,1,10_DEC_24,S02_Beh_10_DEC_24
MET002,1842.0,802.0,7,1,1,10_DEC_24,S02_Beh_10_DEC_24
MET002,1895.0,822.0,8,1,1,10_DEC_24,S02_Beh_10_DEC_24
MET002,2232.0,678.0,9,1,1,10_DEC_24,S02_Beh_10_DEC_24
MET002,1872.0,821.0,10,1,1,10_DEC_24,S02_Beh_10_DEC_24
MET002,2162.0,888.0,1,2,1,01_APR_25,S02b_Beh_01_APR_25
MET002,1823.0,774.0,2,2,1,01_APR_25,S02b_Beh_01_APR_25
MET002,1787.0,957.0,3,2,1,01_APR_25,S02b_Beh_01_APR_25
MET002,1706.0,672.0,4,2,1,01_APR_25,S02b_Beh_01_APR_25
MET002,1947.0,751.0,5,2,1,01_APR_25,S02b_Beh_01_APR_25
MET002,2390.0,1030.0,6,2,1,01_APR_25,S02b_Beh_01_APR_25
MET002,2155.0,816.0,7,2,1,01_APR_25,S02b_Beh_01_APR_25
MET002,2264.0,904.0,8,2,1,01_APR_25,S02b_Beh_01_APR_25
MET002,2221.0,907.0,9,2,1,01_APR_25,S02b_Beh_01_APR_25
MET002,1701.0,553.0,10,2,1,01_APR_25,S02b_Beh_01_APR_25
MET003,1822.0,836.0,1,1,1,11_DEC_24,S03_Beh_11_DEC_24
MET003,2113.0,804.0,2,1,1,11_DEC_24,S03_Beh_11_DEC_24
MET003,1816.0,922.0,3,1,1,11_DEC_24,S03_Beh_11_DEC_24
MET003,1860.0,756.0,4,1,1,11_DEC_24,S03_Beh_11_DEC_24
MET003,2113.0,884.0,5,1,1,11_DEC_24,S03_Beh_11_DEC_24
MET003,2099.0,972.0,6,1,1,11_DEC_24,S03_Beh_11_DEC_24
MET003,1986.0,701.0,7,1,1,11_DEC_24,S03_Beh_11_DEC_24
MET003,1700.0,701.0,8,1,1,11_DEC_24,S03_Beh_11_DEC_24
MET003,1860.0,950.0,9,1,1,11_DEC_24,S03_Beh_11_DEC_24
MET003,1948.0,696.0,10,1,1,11_DEC_24,S03_Beh_11_DEC_24
MET003,2135.0,936.0,1,2,1,31_MAR_25,S03b_Beh_31_MAR_25
MET003,1810.0,836.0,2,2,1,31_MAR_25,S03b_Beh_31_MAR_25
MET003,2029.0,710.0,3,2,1,31_MAR_25,S03b_Beh_31_MAR_25
MET003,1944.0,777.0,4,2,1,31_MAR_25,S03b_Beh_31_MAR_25
MET003,1943.0,878.0,5,2,1,31_MAR_25,S03b_Beh_31_MAR_25
MET003,2201.0,795.0,6,2,1,31_MAR_25,S03b_Beh_31_MAR_25
MET003,2105.0,931.0,7,2,1,31_MAR_25,S03b_Beh_31_MAR_25
MET003,1571.0,540.0,8,2,1,31_MAR_25,S03b_Beh_31_MAR_25
MET003,1768.0,716.0,9,2,1,31_MAR_25,S03b_Beh_31_MAR_25
MET003,1934.0,951.0,10,2,1,31_MAR_25,S03b_Beh_31_MAR_25
MET003,2034.0,796.0,11,2,1,31_MAR_25,S03b_Beh_31_MAR_25
MET003,1975.0,902.0,12,2,1,31_MAR_25,S03b_Beh_31_MAR_25
MET003,1829.0,656.0,13,2,1,31_MAR_25,S03b_Beh_31_MAR_25
MET004,1977.0,739.0,1,1,1,12_DEC_24,S04_Beh_12_DEC_24
MET004,1869.0,889.0,2,1,1,12_DEC_24,S04_Beh_12_DEC_24
MET004,1795.0,918.0,3,1,1,12_DEC_24,S04_Beh_12_DEC_24
MET004,1781.0,918.0,4,1,1,12_DEC_24,S04_Beh_12_DEC_24
MET004,1379.0,1225.0,5,1,1,12_DEC_24,S04_Beh_12_DEC_24
MET004,1658.0,1026.0,6,1,1,12_DEC_24,S04_Beh_12_DEC_24
MET004,1844.0,871.0,7,1,1,12_DEC_24,S04_Beh_12_DEC_24
MET004,1905.0,807.0,8,1,1,12_DEC_24,S04_Beh_12_DEC_24
MET004,1976.0,827.0,9,1,1,12_DEC_24,S04_Beh_12_DEC_24
MET004,1891.0,793.0,10,1,1,12_DEC_24,S04_Beh_12_DEC_24
MET004,2070.0,744.0,1,2,1,01_APR_25,MET004b_01_APR_25
MET004,2021.0,852.0,2,2,1,01_APR_25,MET004b_01_APR_25
MET004,1848.0,922.0,3,2,1,01_APR_25,MET004b_01_APR_25
MET004,1891.0,835.0,4,2,1,01_APR_25,MET004b_01_APR_25
MET004,1930.0,785.0,5,2,1,01_APR_25,MET004b_01_APR_25
MET004,1943.0,939.0,6,2,1,01_APR_25,MET004b_01_APR_25
MET004,2059.0,673.0,7,2,1,01_APR_25,MET004b_01_APR_25
MET004,1827.0,849.0,8,2,1,01_APR_25,MET004b_01_APR_25
MET004,1829.0,834.0,9,2,1,01_APR_25,MET004b_01_APR_25
MET004,1836.0,876.0,10,2,1,01_APR_25,MET004b_01_APR_25
MET004,1979.0,760.0,11,2,1,01_APR_25,MET004b_01_APR_25
MET004,1944.0,775.0,12,2,1,01_APR_25,MET004b_01_APR_25
MET004,1930.0,795.0,13,2,1,01_APR_25,MET004b_01_APR_25
MET004,2001.0,807.0,14,2,1,01_APR_25,MET004b_01_APR_25
MET004,1738.0,925.0,15,2,1,01_APR_25,MET004b_01_APR_25
MET005,2525.0,871.0,1,1,1,12_DEC_24,S05_Beh_12_DEC_24
MET005,1895.0,912.0,2,1,1,12_DEC_24,S05_Beh_12_DEC_24
MET005,1983.0,825.0,3,1,1,12_DEC_24,S05_Beh_12_DEC_24
MET005,2346.0,946.0,4,1,1,12_DEC_24,S05_Beh_12_DEC_24
MET005,2272.0,918.0,5,1,1,12_DEC_24,S05_Beh_12_DEC_24
MET005,2068.0,907.0,6,1,1,12_DEC_24,S05_Beh_12_DEC_24
MET005,1936.0,743.0,7,1,1,12_DEC_24,S05_Beh_12_DEC_24
MET005,2049.0,719.0,8,1,1,12_DEC_24,S05_Beh_12_DEC_24
MET005,1979.0,770.0,9,1,1,12_DEC_24,S05_Beh_12_DEC_24
MET005,2307.0,825.0,10,1,1,12_DEC_24,S05_Beh_12_DEC_24
MET006,1961.0,818.0,1,1,1,13_DEC_24,S06_Beh_13_DEC_24
MET006,1669.0,915.0,2,1,1,13_DEC_24,S06_Beh_13_DEC_24
MET006,2020.0,832.0,3,1,1,13_DEC_24,S06_Beh_13_DEC_24
MET006,2172.0,755.0,4,1,1,13_DEC_24,S06_Beh_13_DEC_24
MET006,2178.0,769.0,5,1,1,13_DEC_24,S06_Beh_13_DEC_24
MET006,2446.0,825.0,6,1,1,13_DEC_24,S06_Beh_13_DEC_24
MET006,1794.0,818.0,7,1,1,13_DEC_24,S06_Beh_13_DEC_24
MET006,1967.0,766.0,8,1,1,13_DEC_24,S06_Beh_13_DEC_24
MET006,1809.0,885.0,9,1,1,13_DEC_24,S06_Beh_13_DEC_24
MET006,2770.0,1034.0,10,1,1,13_DEC_24,S06_Beh_13_DEC_24
MET006,2244.0,945.0,1,2,1,19_MAR_25,S06b_Beh_Se2_19_MAR_25
MET006,1741.0,567.0,2,2,1,19_MAR_25,S06b_Beh_Se2_19_MAR_25
MET006,1863.0,774.0,3,2,1,19_MAR_25,S06b_Beh_Se2_19_MAR_25
MET006,2112.0,984.0,4,2,1,19_MAR_25,S06b_Beh_Se2_19_MAR_25
MET006,1740.0,945.0,5,2,1,19_MAR_25,S06b_Beh_Se2_19_MAR_25
MET006,2153.0,1126.0,6,2,1,19_MAR_25,S06b_Beh_Se2_19_MAR_25
MET006,1784.0,845.0,7,2,1,19_MAR_25,S06b_Beh_Se2_19_MAR_25
MET006,2661.0,1058.0,8,2,1,19_MAR_25,S06b_Beh_Se2_19_MAR_25
MET006,2146.0,830.0,9,2,1,19_MAR_25,S06b_Beh_Se2_19_MAR_25
MET006,2373.0,1213.0,10,2,1,19_MAR_25,S06b_Beh_Se2_19_MAR_25
MET006,2030.0,903.0,11,2,1,19_MAR_25,S06b_Beh_Se2_19_MAR_25
MET006,1867.0,781.0,12,2,1,19_MAR_25,S06b_Beh_Se2_19_MAR_25
MET006,1911.0,824.0,13,2,1,19_MAR_25,S06b_Beh_Se2_19_MAR_25
