Stim	Lux	Yellow	Red	Blue	Blue2	Trig
1	30.0	0	0	0	1200	1
1	30.0	0	0	0	1200	1
1	31.0	0	0	0	1200	1
1	31.0	0	0	0	1200	1
1	31.0	0	0	0	1200	1
1	30.0	0	0	0	1200	1
1	30.0	0	0	0	1200	1
1	30.0	0	0	0	1200	1
1	30.0	0	0	0	1200	1
1	30.0	0	0	0	1200	1
1	30.0	0	0	0	1200	1
1	30.0	0	0	0	1200	1
1	30.0	0	0	0	1200	1
1	30.0	0	0	0	1200	1
1	30.0	0	0	0	1200	1
1	30.0	0	0	0	1200	1
1	30.0	0	0	0	1200	1
1	30.0	0	0	0	1200	1
1	30.0	0	0	0	1200	1
1	30.0	0	0	0	1200	1
1	30.0	0	0	0	1200	0
1	27.0	0	0	0	1200	0
1	27.0	0	0	0	1200	0
1	27.0	0	0	0	1200	0
1	27.0	0	0	0	1200	0
2	28.0	0	0	0	1200	1
2	30.0	0	0	0	1200	1
2	30.0	0	0	0	1200	1
2	30.0	0	0	0	1200	1
2	30.0	0	0	0	1200	1
2	30.0	0	0	0	1200	1
2	30.0	0	0	0	1200	1
2	30.0	0	0	0	1200	1
2	30.0	0	0	0	1200	1
2	30.0	0	0	0	1200	1
2	30.0	0	0	0	1200	1
2	30.0	0	0	0	1200	1
2	30.0	0	0	0	1200	1
2	30.0	0	0	0	1200	1
2	30.0	0	0	0	1200	1
2	30.0	0	0	0	1200	1
2	30.0	0	0	0	1200	1
2	30.0	0	0	0	1200	1
2	30.0	0	0	0	1200	1
2	30.0	0	0	0	1200	1
2	28.0	0	0	0	1200	0
2	27.0	0	0	0	1200	0
2	27.0	0	0	0	1200	0
2	27.0	0	0	0	1200	0
2	27.0	0	0	0	1200	0
3	27.0	0	0	0	1200	1
3	30.0	0	0	0	1200	1
3	31.0	0	0	0	1200	1
3	30.0	0	0	0	1200	1
3	30.0	0	0	0	1200	1
3	31.0	0	0	0	1200	1
3	30.0	0	0	0	1200	1
3	30.0	0	0	0	1200	1
3	30.0	0	0	0	1200	1
3	30.0	0	0	0	1200	1
3	31.0	0	0	0	1200	1
3	30.0	0	0	0	1200	1
3	30.0	0	0	0	1200	1
3	31.0	0	0	0	1200	1
3	30.0	0	0	0	1200	1
3	31.0	0	0	0	1200	1
3	30.0	0	0	0	1200	1
3	30.0	0	0	0	1200	1
3	31.0	0	0	0	1200	1
3	30.0	0	0	0	1200	1
3	30.0	0	0	0	1200	0
3	27.0	0	0	0	1200	0
3	27.0	0	0	0	1200	0
3	27.0	0	0	0	1200	0
3	27.0	0	0	0	1200	0
4	27.0	0	0	0	1200	1
4	29.0	0	0	0	1200	1
4	29.0	0	0	0	1200	1
4	29.0	0	0	0	1200	1
4	29.0	0	0	0	1200	1
4	29.0	0	0	0	1200	1
4	29.0	0	0	0	1200	1
4	29.0	0	0	0	1200	1
4	29.0	0	0	0	1200	1
4	29.0	0	0	0	1200	1
4	29.0	0	0	0	1200	1
4	29.0	0	0	0	1200	1
4	29.0	0	0	0	1200	1
4	29.0	0	0	0	1200	1
4	29.0	0	0	0	1200	1
4	29.0	0	0	0	1200	1
4	29.0	0	0	0	1200	1
4	29.0	0	0	0	1200	1
4	29.0	0	0	0	1200	1
4	29.0	0	0	0	1200	1
4	27.0	0	0	0	1200	0
4	27.0	0	0	0	1200	0
4	27.0	0	0	0	1200	0
4	27.0	0	0	0	1200	0
4	27.0	0	0	0	1200	0
5	27.0	0	0	131	1200	1
5	29.0	0	0	131	1200	1
5	29.0	0	0	131	1200	1
5	29.0	0	0	131	1200	1
5	29.0	0	0	131	1200	1
5	29.0	0	0	131	1200	1
5	29.0	0	0	131	1200	1
5	29.0	0	0	131	1200	1
5	29.0	0	0	131	1200	1
5	29.0	0	0	131	1200	1
5	29.0	0	0	131	1200	1
5	29.0	0	0	131	1200	1
5	29.0	0	0	131	1200	1
5	29.0	0	0	131	1200	1
5	29.0	0	0	131	1200	1
5	29.0	0	0	131	1200	1
5	29.0	0	0	131	1200	1
5	29.0	0	0	131	1200	1
5	29.0	0	0	131	1200	1
5	29.0	0	0	131	1200	1
5	29.0	0	0	131	1200	0
5	27.0	0	0	131	1200	0
5	27.0	0	0	131	1200	0
5	27.0	0	0	131	1200	0
5	27.0	0	0	131	1200	0
6	28.0	0	0	263	1200	1
6	29.0	0	0	263	1200	1
6	29.0	0	0	263	1200	1
6	29.0	0	0	263	1200	1
6	29.0	0	0	263	1200	1
6	29.0	0	0	263	1200	1
6	29.0	0	0	263	1200	1
6	29.0	0	0	263	1200	1
6	29.0	0	0	263	1200	1
6	29.0	0	0	263	1200	1
6	29.0	0	0	263	1200	1
6	29.0	0	0	263	1200	1
6	29.0	0	0	263	1200	1
6	29.0	0	0	263	1200	1
6	29.0	0	0	263	1200	1
6	29.0	0	0	263	1200	1
6	29.0	0	0	263	1200	1
6	29.0	0	0	263	1200	1
6	29.0	0	0	263	1200	1
6	29.0	0	0	263	1200	1
6	29.0	0	0	263	1200	0
6	27.0	0	0	263	1200	0
6	27.0	0	0	263	1200	0
6	27.0	0	0	263	1200	0
6	27.0	0	0	263	1200	0
7	27.0	0	0	394	1200	1
7	29.0	0	0	394	1200	1
7	29.0	0	0	394	1200	1
7	29.0	0	0	394	1200	1
7	29.0	0	0	394	1200	1
7	29.0	0	0	394	1200	1
7	29.0	0	0	394	1200	1
7	29.0	0	0	394	1200	1
7	29.0	0	0	394	1200	1
7	29.0	0	0	394	1200	1
7	29.0	0	0	394	1200	1
7	29.0	0	0	394	1200	1
7	29.0	0	0	394	1200	1
7	29.0	0	0	394	1200	1
7	29.0	0	0	394	1200	1
7	29.0	0	0	394	1200	1
7	29.0	0	0	394	1200	1
7	29.0	0	0	394	1200	1
7	29.0	0	0	394	1200	1
7	29.0	0	0	394	1200	1
7	28.0	0	0	394	1200	0
7	27.0	0	0	394	1200	0
7	27.0	0	0	394	1200	0
7	27.0	0	0	394	1200	0
7	27.0	0	0	394	1200	0
8	28.0	0	0	526	1200	1
8	29.0	0	0	526	1200	1
8	29.0	0	0	526	1200	1
8	29.0	0	0	526	1200	1
8	29.0	0	0	526	1200	1
8	29.0	0	0	526	1200	1
8	29.0	0	0	526	1200	1
8	29.0	0	0	526	1200	1
8	29.0	0	0	526	1200	1
8	29.0	0	0	526	1200	1
8	29.0	0	0	526	1200	1
8	29.0	0	0	526	1200	1
8	29.0	0	0	526	1200	1
8	29.0	0	0	526	1200	1
8	29.0	0	0	526	1200	1
8	29.0	0	0	526	1200	1
8	29.0	0	0	526	1200	1
8	29.0	0	0	526	1200	1
8	29.0	0	0	526	1200	1
8	29.0	0	0	526	1200	1
8	29.0	0	0	526	1200	0
8	27.0	0	0	526	1200	0
8	27.0	0	0	526	1200	0
8	27.0	0	0	526	1200	0
8	27.0	0	0	526	1200	0
9	27.0	0	0	657	1200	1
9	30.0	0	0	657	1200	1
9	30.0	0	0	657	1200	1
9	30.0	0	0	657	1200	1
9	30.0	0	0	657	1200	1
9	30.0	0	0	657	1200	1
9	30.0	0	0	657	1200	1
9	30.0	0	0	657	1200	1
9	30.0	0	0	657	1200	1
9	30.0	0	0	657	1200	1
9	30.0	0	0	657	1200	1
9	30.0	0	0	657	1200	1
9	30.0	0	0	657	1200	1
9	30.0	0	0	657	1200	1
9	30.0	0	0	657	1200	1
9	30.0	0	0	657	1200	1
9	30.0	0	0	657	1200	1
9	30.0	0	0	657	1200	1
9	30.0	0	0	657	1200	1
9	30.0	0	0	657	1200	1
9	29.0	0	0	657	1200	0
9	27.0	0	0	657	1200	0
9	27.0	0	0	657	1200	0
9	27.0	0	0	657	1200	0
9	27.0	0	0	657	1200	0
10	27.0	0	0	789	1200	1
10	28.0	0	0	789	1200	1
10	30.0	0	0	789	1200	1
10	30.0	0	0	789	1200	1
10	30.0	0	0	789	1200	1
10	30.0	0	0	789	1200	1
10	30.0	0	0	789	1200	1
10	30.0	0	0	789	1200	1
10	30.0	0	0	789	1200	1
10	30.0	0	0	789	1200	1
10	30.0	0	0	789	1200	1
10	30.0	0	0	789	1200	1
10	30.0	0	0	789	1200	1
10	30.0	0	0	789	1200	1
10	30.0	0	0	789	1200	1
10	30.0	0	0	789	1200	1
10	30.0	0	0	789	1200	1
10	30.0	0	0	789	1200	1
10	30.0	0	0	789	1200	1
10	30.0	0	0	789	1200	1
10	30.0	0	0	789	1200	0
10	27.0	0	0	789	1200	0
10	27.0	0	0	789	1200	0
10	27.0	0	0	789	1200	0
10	27.0	0	0	789	1200	0
11	27.0	0	0	921	1200	1
11	30.0	0	0	921	1200	1
11	30.0	0	0	921	1200	1
11	30.0	0	0	921	1200	1
11	30.0	0	0	921	1200	1
11	30.0	0	0	921	1200	1
11	30.0	0	0	921	1200	1
11	30.0	0	0	921	1200	1
11	30.0	0	0	921	1200	1
11	30.0	0	0	921	1200	1
11	30.0	0	0	921	1200	1
11	30.0	0	0	921	1200	1
11	30.0	0	0	921	1200	1
11	30.0	0	0	921	1200	1
11	30.0	0	0	921	1200	1
11	30.0	0	0	921	1200	1
11	30.0	0	0	921	1200	1
11	30.0	0	0	921	1200	1
11	30.0	0	0	921	1200	1
11	30.0	0	0	921	1200	1
11	30.0	0	0	921	1200	0
11	27.0	0	0	921	1200	0
11	27.0	0	0	921	1200	0
11	27.0	0	0	921	1200	0
11	27.0	0	0	921	1200	0
12	27.0	0	0	1052	1200	1
12	29.0	0	0	1052	1200	1
12	30.0	0	0	1052	1200	1
12	30.0	0	0	1052	1200	1
12	30.0	0	0	1052	1200	1
12	30.0	0	0	1052	1200	1
12	30.0	0	0	1052	1200	1
12	30.0	0	0	1052	1200	1
12	30.0	0	0	1052	1200	1
12	30.0	0	0	1052	1200	1
12	30.0	0	0	1052	1200	1
12	30.0	0	0	1052	1200	1
12	30.0	0	0	1052	1200	1
12	30.0	0	0	1052	1200	1
12	30.0	0	0	1052	1200	1
12	30.0	0	0	1052	1200	1
12	30.0	0	0	1052	1200	1
12	30.0	0	0	1052	1200	1
12	30.0	0	0	1052	1200	1
12	30.0	0	0	1052	1200	1
12	30.0	0	0	1052	1200	0
12	27.0	0	0	1052	1200	0
12	27.0	0	0	1052	1200	0
12	27.0	0	0	1052	1200	0
12	27.0	0	0	1052	1200	0
13	27.0	0	0	1184	1200	1
13	31.0	0	0	1184	1200	1
13	31.0	0	0	1184	1200	1
13	30.0	0	0	1184	1200	1
13	30.0	0	0	1184	1200	1
13	30.0	0	0	1184	1200	1
13	30.0	0	0	1184	1200	1
13	31.0	0	0	1184	1200	1
13	30.0	0	0	1184	1200	1
13	30.0	0	0	1184	1200	1
13	30.0	0	0	1184	1200	1
13	30.0	0	0	1184	1200	1
13	31.0	0	0	1184	1200	1
13	31.0	0	0	1184	1200	1
13	31.0	0	0	1184	1200	1
13	30.0	0	0	1184	1200	1
13	30.0	0	0	1184	1200	1
13	31.0	0	0	1184	1200	1
13	31.0	0	0	1184	1200	1
13	31.0	0	0	1184	1200	1
13	30.0	0	0	1184	1200	0
13	28.0	0	0	1184	1200	0
13	27.0	0	0	1184	1200	0
13	27.0	0	0	1184	1200	0
13	27.0	0	0	1184	1200	0
14	27.0	0	0	1315	1200	1
14	30.0	0	0	1315	1200	1
14	31.0	0	0	1315	1200	1
14	31.0	0	0	1315	1200	1
14	31.0	0	0	1315	1200	1
14	31.0	0	0	1315	1200	1
14	31.0	0	0	1315	1200	1
14	31.0	0	0	1315	1200	1
14	31.0	0	0	1315	1200	1
14	31.0	0	0	1315	1200	1
14	31.0	0	0	1315	1200	1
14	31.0	0	0	1315	1200	1
14	31.0	0	0	1315	1200	1
14	31.0	0	0	1315	1200	1
14	31.0	0	0	1315	1200	1
14	31.0	0	0	1315	1200	1
14	31.0	0	0	1315	1200	1
14	31.0	0	0	1315	1200	1
14	31.0	0	0	1315	1200	1
14	31.0	0	0	1315	1200	1
14	30.0	0	0	1315	1200	0
14	27.0	0	0	1315	1200	0
14	27.0	0	0	1315	1200	0
14	27.0	0	0	1315	1200	0
14	27.0	0	0	1315	1200	0
15	27.0	0	0	1447	1200	1
15	31.0	0	0	1447	1200	1
15	31.0	0	0	1447	1200	1
15	31.0	0	0	1447	1200	1
15	31.0	0	0	1447	1200	1
15	31.0	0	0	1447	1200	1
15	31.0	0	0	1447	1200	1
15	31.0	0	0	1447	1200	1
15	31.0	0	0	1447	1200	1
15	31.0	0	0	1447	1200	1
15	31.0	0	0	1447	1200	1
15	31.0	0	0	1447	1200	1
15	31.0	0	0	1447	1200	1
15	31.0	0	0	1447	1200	1
15	31.0	0	0	1447	1200	1
15	31.0	0	0	1447	1200	1
15	31.0	0	0	1447	1200	1
15	31.0	0	0	1447	1200	1
15	31.0	0	0	1447	1200	1
15	31.0	0	0	1447	1200	1
15	31.0	0	0	1447	1200	0
