Stim	Lux	Yellow	Red	Blue	Blue2	Trig
1	72.0	0	0	0	1200	1
1	76.0	0	0	0	1200	1
1	76.0	0	0	0	1200	1
1	76.0	0	0	0	1200	1
1	76.0	0	0	0	1200	1
1	76.0	0	0	0	1200	1
1	76.0	0	0	0	1200	1
1	76.0	0	0	0	1200	1
1	76.0	0	0	0	1200	1
1	76.0	0	0	0	1200	1
1	77.0	0	0	0	1200	1
1	77.0	0	0	0	1200	1
1	77.0	0	0	0	1200	1
1	77.0	0	0	0	1200	1
1	77.0	0	0	0	1200	1
1	77.0	0	0	0	1200	1
1	77.0	0	0	0	1200	1
1	77.0	0	0	0	1200	1
1	77.0	0	0	0	1200	1
1	77.0	0	0	0	1200	1
1	77.0	0	0	0	1200	0
1	30.0	0	0	0	1200	0
1	30.0	0	0	0	1200	0
1	30.0	0	0	0	1200	0
1	30.0	0	0	0	1200	0
2	47.0	0	0	0	1200	1
2	77.0	0	0	0	1200	1
2	77.0	0	0	0	1200	1
2	77.0	0	0	0	1200	1
2	77.0	0	0	0	1200	1
2	77.0	0	0	0	1200	1
2	77.0	0	0	0	1200	1
2	77.0	0	0	0	1200	1
2	77.0	0	0	0	1200	1
2	77.0	0	0	0	1200	1
2	77.0	0	0	0	1200	1
2	76.0	0	0	0	1200	1
2	76.0	0	0	0	1200	1
2	76.0	0	0	0	1200	1
2	76.0	0	0	0	1200	1
2	76.0	0	0	0	1200	1
2	77.0	0	0	0	1200	1
2	77.0	0	0	0	1200	1
2	76.0	0	0	0	1200	1
2	77.0	0	0	0	1200	1
2	45.0	0	0	0	1200	0
2	30.0	0	0	0	1200	0
2	30.0	0	0	0	1200	0
2	30.0	0	0	0	1200	0
2	30.0	0	0	0	1200	0
3	30.0	0	0	0	1200	1
3	77.0	0	0	0	1200	1
3	77.0	0	0	0	1200	1
3	77.0	0	0	0	1200	1
3	77.0	0	0	0	1200	1
3	77.0	0	0	0	1200	1
3	76.0	0	0	0	1200	1
3	77.0	0	0	0	1200	1
3	77.0	0	0	0	1200	1
3	77.0	0	0	0	1200	1
3	76.0	0	0	0	1200	1
3	76.0	0	0	0	1200	1
3	77.0	0	0	0	1200	1
3	77.0	0	0	0	1200	1
3	77.0	0	0	0	1200	1
3	77.0	0	0	0	1200	1
3	76.0	0	0	0	1200	1
3	77.0	0	0	0	1200	1
3	77.0	0	0	0	1200	1
3	76.0	0	0	0	1200	1
3	70.0	0	0	0	1200	0
3	30.0	0	0	0	1200	0
3	30.0	0	0	0	1200	0
3	30.0	0	0	0	1200	0
3	30.0	0	0	0	1200	0
4	30.0	0	0	0	1200	1
4	53.0	0	0	0	1200	1
4	53.0	0	0	0	1200	1
4	53.0	0	0	0	1200	1
4	53.0	0	0	0	1200	1
4	53.0	0	0	0	1200	1
4	53.0	0	0	0	1200	1
4	53.0	0	0	0	1200	1
4	53.0	0	0	0	1200	1
4	53.0	0	0	0	1200	1
4	53.0	0	0	0	1200	1
4	53.0	0	0	0	1200	1
4	53.0	0	0	0	1200	1
4	53.0	0	0	0	1200	1
4	53.0	0	0	0	1200	1
4	53.0	0	0	0	1200	1
4	53.0	0	0	0	1200	1
4	54.0	0	0	0	1200	1
4	54.0	0	0	0	1200	1
4	53.0	0	0	0	1200	1
4	30.0	0	0	0	1200	0
4	30.0	0	0	0	1200	0
4	30.0	0	0	0	1200	0
4	30.0	0	0	0	1200	0
4	30.0	0	0	0	1200	0
5	30.0	0	0	131	1200	1
5	54.0	0	0	131	1200	1
5	54.0	0	0	131	1200	1
5	54.0	0	0	131	1200	1
5	54.0	0	0	131	1200	1
5	54.0	0	0	131	1200	1
5	54.0	0	0	131	1200	1
5	54.0	0	0	131	1200	1
5	54.0	0	0	131	1200	1
5	54.0	0	0	131	1200	1
5	54.0	0	0	131	1200	1
5	54.0	0	0	131	1200	1
5	54.0	0	0	131	1200	1
5	54.0	0	0	131	1200	1
5	54.0	0	0	131	1200	1
5	54.0	0	0	131	1200	1
5	54.0	0	0	131	1200	1
5	54.0	0	0	131	1200	1
5	54.0	0	0	131	1200	1
5	54.0	0	0	131	1200	1
5	54.0	0	0	131	1200	0
5	30.0	0	0	131	1200	0
5	30.0	0	0	131	1200	0
5	30.0	0	0	131	1200	0
5	30.0	0	0	131	1200	0
6	38.0	0	0	263	1200	1
6	56.0	0	0	263	1200	1
6	56.0	0	0	263	1200	1
6	56.0	0	0	263	1200	1
6	56.0	0	0	263	1200	1
6	56.0	0	0	263	1200	1
6	56.0	0	0	263	1200	1
6	56.0	0	0	263	1200	1
6	56.0	0	0	263	1200	1
6	56.0	0	0	263	1200	1
6	56.0	0	0	263	1200	1
6	56.0	0	0	263	1200	1
6	56.0	0	0	263	1200	1
6	56.0	0	0	263	1200	1
6	56.0	0	0	263	1200	1
6	56.0	0	0	263	1200	1
6	56.0	0	0	263	1200	1
6	56.0	0	0	263	1200	1
6	56.0	0	0	263	1200	1
6	56.0	0	0	263	1200	1
6	56.0	0	0	263	1200	0
6	30.0	0	0	263	1200	0
6	30.0	0	0	263	1200	0
6	30.0	0	0	263	1200	0
6	30.0	0	0	263	1200	0
7	30.0	0	0	394	1200	1
7	51.0	0	0	394	1200	1
7	59.0	0	0	394	1200	1
7	59.0	0	0	394	1200	1
7	59.0	0	0	394	1200	1
7	59.0	0	0	394	1200	1
7	59.0	0	0	394	1200	1
7	59.0	0	0	394	1200	1
7	59.0	0	0	394	1200	1
7	59.0	0	0	394	1200	1
7	59.0	0	0	394	1200	1
7	59.0	0	0	394	1200	1
7	59.0	0	0	394	1200	1
7	59.0	0	0	394	1200	1
7	59.0	0	0	394	1200	1
7	59.0	0	0	394	1200	1
7	59.0	0	0	394	1200	1
7	59.0	0	0	394	1200	1
7	59.0	0	0	394	1200	1
7	59.0	0	0	394	1200	1
7	41.0	0	0	394	1200	0
7	30.0	0	0	394	1200	0
7	30.0	0	0	394	1200	0
7	30.0	0	0	394	1200	0
7	30.0	0	0	394	1200	0
8	44.0	0	0	526	1200	1
8	62.0	0	0	526	1200	1
8	62.0	0	0	526	1200	1
8	62.0	0	0	526	1200	1
8	62.0	0	0	526	1200	1
8	62.0	0	0	526	1200	1
8	62.0	0	0	526	1200	1
8	62.0	0	0	526	1200	1
8	62.0	0	0	526	1200	1
8	62.0	0	0	526	1200	1
8	62.0	0	0	526	1200	1
8	62.0	0	0	526	1200	1
8	62.0	0	0	526	1200	1
8	62.0	0	0	526	1200	1
8	62.0	0	0	526	1200	1
8	62.0	0	0	526	1200	1
8	62.0	0	0	526	1200	1
8	62.0	0	0	526	1200	1
8	62.0	0	0	526	1200	1
8	62.0	0	0	526	1200	1
8	62.0	0	0	526	1200	0
8	30.0	0	0	526	1200	0
8	30.0	0	0	526	1200	0
8	30.0	0	0	526	1200	0
8	30.0	0	0	526	1200	0
9	30.0	0	0	657	1200	1
9	65.0	0	0	657	1200	1
9	65.0	0	0	657	1200	1
9	65.0	0	0	657	1200	1
9	65.0	0	0	657	1200	1
9	65.0	0	0	657	1200	1
9	65.0	0	0	657	1200	1
9	65.0	0	0	657	1200	1
9	65.0	0	0	657	1200	1
9	65.0	0	0	657	1200	1
9	65.0	0	0	657	1200	1
9	65.0	0	0	657	1200	1
9	65.0	0	0	657	1200	1
9	65.0	0	0	657	1200	1
9	65.0	0	0	657	1200	1
9	65.0	0	0	657	1200	1
9	65.0	0	0	657	1200	1
9	65.0	0	0	657	1200	1
9	65.0	0	0	657	1200	1
9	65.0	0	0	657	1200	1
9	50.0	0	0	657	1200	0
9	30.0	0	0	657	1200	0
9	30.0	0	0	657	1200	0
9	30.0	0	0	657	1200	0
9	30.0	0	0	657	1200	0
10	30.0	0	0	789	1200	1
10	41.0	0	0	789	1200	1
10	68.0	0	0	789	1200	1
10	68.0	0	0	789	1200	1
10	67.0	0	0	789	1200	1
10	68.0	0	0	789	1200	1
10	68.0	0	0	789	1200	1
10	68.0	0	0	789	1200	1
10	67.0	0	0	789	1200	1
10	67.0	0	0	789	1200	1
10	67.0	0	0	789	1200	1
10	67.0	0	0	789	1200	1
10	67.0	0	0	789	1200	1
10	67.0	0	0	789	1200	1
10	68.0	0	0	789	1200	1
10	67.0	0	0	789	1200	1
10	67.0	0	0	789	1200	1
10	67.0	0	0	789	1200	1
10	67.0	0	0	789	1200	1
10	67.0	0	0	789	1200	1
10	67.0	0	0	789	1200	0
10	30.0	0	0	789	1200	0
10	30.0	0	0	789	1200	0
10	30.0	0	0	789	1200	0
10	30.0	0	0	789	1200	0
11	30.0	0	0	921	1200	1
11	70.0	0	0	921	1200	1
11	70.0	0	0	921	1200	1
11	71.0	0	0	921	1200	1
11	70.0	0	0	921	1200	1
11	70.0	0	0	921	1200	1
11	70.0	0	0	921	1200	1
11	70.0	0	0	921	1200	1
11	71.0	0	0	921	1200	1
