Stim	Lux	Yellow	Red	Blue	Blue2	Trig
1	64.0	0	1500	0	0	1
1	68.0	0	1500	0	0	1
1	68.0	0	1500	0	0	1
1	68.0	0	1500	0	0	1
1	68.0	0	1500	0	0	1
1	68.0	0	1500	0	0	1
1	68.0	0	1500	0	0	1
1	68.0	0	1500	0	0	1
1	68.0	0	1500	0	0	1
1	68.0	0	1500	0	0	1
1	68.0	0	1500	0	0	1
1	68.0	0	1500	0	0	1
1	68.0	0	1500	0	0	1
1	68.0	0	1500	0	0	1
1	68.0	0	1500	0	0	1
1	68.0	0	1500	0	0	1
1	68.0	0	1500	0	0	1
1	68.0	0	1500	0	0	1
1	68.0	0	1500	0	0	1
1	68.0	0	1500	0	0	1
1	68.0	0	1500	0	0	0
1	27.0	0	1500	0	0	0
1	27.0	0	1500	0	0	0
1	27.0	0	1500	0	0	0
1	27.0	0	1500	0	0	0
2	42.0	0	1500	0	0	1
2	68.0	0	1500	0	0	1
2	68.0	0	1500	0	0	1
2	68.0	0	1500	0	0	1
2	68.0	0	1500	0	0	1
2	68.0	0	1500	0	0	1
2	68.0	0	1500	0	0	1
2	68.0	0	1500	0	0	1
2	68.0	0	1500	0	0	1
2	68.0	0	1500	0	0	1
2	68.0	0	1500	0	0	1
2	68.0	0	1500	0	0	1
2	68.0	0	1500	0	0	1
2	68.0	0	1500	0	0	1
2	68.0	0	1500	0	0	1
2	68.0	0	1500	0	0	1
2	68.0	0	1500	0	0	1
2	68.0	0	1500	0	0	1
2	68.0	0	1500	0	0	1
2	68.0	0	1500	0	0	1
2	40.0	0	1500	0	0	0
2	27.0	0	1500	0	0	0
2	27.0	0	1500	0	0	0
2	27.0	0	1500	0	0	0
2	27.0	0	1500	0	0	0
3	27.0	0	1500	0	0	1
3	68.0	0	1500	0	0	1
3	68.0	0	1500	0	0	1
3	68.0	0	1500	0	0	1
3	68.0	0	1500	0	0	1
3	68.0	0	1500	0	0	1
3	68.0	0	1500	0	0	1
3	68.0	0	1500	0	0	1
3	68.0	0	1500	0	0	1
3	68.0	0	1500	0	0	1
3	68.0	0	1500	0	0	1
3	68.0	0	1500	0	0	1
3	68.0	0	1500	0	0	1
3	68.0	0	1500	0	0	1
3	68.0	0	1500	0	0	1
3	68.0	0	1500	0	0	1
3	68.0	0	1500	0	0	1
3	68.0	0	1500	0	0	1
3	68.0	0	1500	0	0	1
3	68.0	0	1500	0	0	1
3	63.0	0	1500	0	0	0
3	27.0	0	1500	0	0	0
3	27.0	0	1500	0	0	0
3	27.0	0	1500	0	0	0
3	27.0	0	1500	0	0	0
4	27.0	0	1500	0	0	1
4	48.0	0	1500	0	0	1
4	48.0	0	1500	0	0	1
4	48.0	0	1500	0	0	1
4	48.0	0	1500	0	0	1
4	48.0	0	1500	0	0	1
4	48.0	0	1500	0	0	1
4	48.0	0	1500	0	0	1
4	48.0	0	1500	0	0	1
4	48.0	0	1500	0	0	1
4	48.0	0	1500	0	0	1
4	48.0	0	1500	0	0	1
4	48.0	0	1500	0	0	1
4	48.0	0	1500	0	0	1
4	48.0	0	1500	0	0	1
4	48.0	0	1500	0	0	1
4	48.0	0	1500	0	0	1
4	48.0	0	1500	0	0	1
4	48.0	0	1500	0	0	1
4	48.0	0	1500	0	0	1
4	34.0	0	1500	0	0	0
4	27.0	0	1500	0	0	0
4	27.0	0	1500	0	0	0
4	27.0	0	1500	0	0	0
4	27.0	0	1500	0	0	0
5	27.0	0	1500	131	0	1
5	48.0	0	1500	131	0	1
5	47.0	0	1500	131	0	1
5	48.0	0	1500	131	0	1
5	48.0	0	1500	131	0	1
