Stim	Lux	Yellow	Red	Blue	Blue2	Trig
1	68.0	0	1500	0	0	1
1	73.0	0	1500	0	0	1
1	72.0	0	1500	0	0	1
1	73.0	0	1500	0	0	1
1	73.0	0	1500	0	0	1
1	73.0	0	1500	0	0	1
1	73.0	0	1500	0	0	1
1	72.0	0	1500	0	0	1
1	72.0	0	1500	0	0	1
1	72.0	0	1500	0	0	1
1	71.0	0	1500	0	0	1
1	71.0	0	1500	0	0	1
1	71.0	0	1500	0	0	1
1	71.0	0	1500	0	0	1
1	71.0	0	1500	0	0	1
1	71.0	0	1500	0	0	1
1	71.0	0	1500	0	0	1
1	71.0	0	1500	0	0	1
1	71.0	0	1500	0	0	1
1	72.0	0	1500	0	0	1
1	71.0	0	1500	0	0	0
1	29.0	0	1500	0	0	0
1	29.0	0	1500	0	0	0
1	29.0	0	1500	0	0	0
1	29.0	0	1500	0	0	0
2	44.0	0	1500	0	0	1
2	72.0	0	1500	0	0	1
2	72.0	0	1500	0	0	1
2	71.0	0	1500	0	0	1
2	72.0	0	1500	0	0	1
2	72.0	0	1500	0	0	1
2	72.0	0	1500	0	0	1
2	72.0	0	1500	0	0	1
2	72.0	0	1500	0	0	1
2	72.0	0	1500	0	0	1
2	72.0	0	1500	0	0	1
2	72.0	0	1500	0	0	1
2	72.0	0	1500	0	0	1
2	72.0	0	1500	0	0	1
2	72.0	0	1500	0	0	1
2	72.0	0	1500	0	0	1
2	72.0	0	1500	0	0	1
2	73.0	0	1500	0	0	1
2	73.0	0	1500	0	0	1
2	73.0	0	1500	0	0	1
2	44.0	0	1500	0	0	0
2	30.0	0	1500	0	0	0
2	30.0	0	1500	0	0	0
2	30.0	0	1500	0	0	0
2	30.0	0	1500	0	0	0
3	30.0	0	1500	0	0	1
3	73.0	0	1500	0	0	1
3	73.0	0	1500	0	0	1
3	73.0	0	1500	0	0	1
3	73.0	0	1500	0	0	1
3	74.0	0	1500	0	0	1
3	74.0	0	1500	0	0	1
3	73.0	0	1500	0	0	1
3	74.0	0	1500	0	0	1
3	74.0	0	1500	0	0	1
3	74.0	0	1500	0	0	1
3	74.0	0	1500	0	0	1
3	73.0	0	1500	0	0	1
3	74.0	0	1500	0	0	1
3	74.0	0	1500	0	0	1
3	74.0	0	1500	0	0	1
3	73.0	0	1500	0	0	1
3	73.0	0	1500	0	0	1
3	74.0	0	1500	0	0	1
3	74.0	0	1500	0	0	1
3	68.0	0	1500	0	0	0
3	31.0	0	1500	0	0	0
3	31.0	0	1500	0	0	0
3	31.0	0	1500	0	0	0
3	31.0	0	1500	0	0	0
4	31.0	0	1500	0	0	1
4	52.0	0	1500	0	0	1
4	52.0	0	1500	0	0	1
4	52.0	0	1500	0	0	1
4	52.0	0	1500	0	0	1
4	52.0	0	1500	0	0	1
4	52.0	0	1500	0	0	1
4	52.0	0	1500	0	0	1
4	52.0	0	1500	0	0	1
4	52.0	0	1500	0	0	1
4	51.0	0	1500	0	0	1
4	52.0	0	1500	0	0	1
4	51.0	0	1500	0	0	1
4	51.0	0	1500	0	0	1
4	51.0	0	1500	0	0	1
