Stim	Lux	Yellow	Red	Blue	Blue2	Trig
1	27.0	0	0	0	0	1
1	27.0	0	0	0	0	1
1	27.0	0	0	0	0	1
1	27.0	0	0	0	0	1
1	27.0	0	0	0	0	1
1	27.0	0	0	0	0	1
1	27.0	0	0	0	0	1
1	27.0	0	0	0	0	1
1	27.0	0	0	0	0	1
1	27.0	0	0	0	0	1
1	27.0	0	0	0	0	1
1	27.0	0	0	0	0	1
1	27.0	0	0	0	0	1
1	27.0	0	0	0	0	1
1	27.0	0	0	0	0	1
1	27.0	0	0	0	0	1
1	27.0	0	0	0	0	1
1	27.0	0	0	0	0	1
1	27.0	0	0	0	0	1
1	27.0	0	0	0	0	1
1	27.0	0	0	0	0	0
1	27.0	0	0	0	0	0
1	27.0	0	0	0	0	0
1	27.0	0	0	0	0	0
1	27.0	0	0	0	0	0
2	27.0	0	0	0	0	1
2	27.0	0	0	0	0	1
2	27.0	0	0	0	0	1
2	27.0	0	0	0	0	1
2	27.0	0	0	0	0	1
2	27.0	0	0	0	0	1
2	27.0	0	0	0	0	1
2	27.0	0	0	0	0	1
2	27.0	0	0	0	0	1
2	27.0	0	0	0	0	1
2	27.0	0	0	0	0	1
2	27.0	0	0	0	0	1
2	27.0	0	0	0	0	1
2	27.0	0	0	0	0	1
2	27.0	0	0	0	0	1
2	27.0	0	0	0	0	1
2	27.0	0	0	0	0	1
2	27.0	0	0	0	0	1
2	27.0	0	0	0	0	1
2	27.0	0	0	0	0	1
2	27.0	0	0	0	0	0
2	27.0	0	0	0	0	0
2	27.0	0	0	0	0	0
2	27.0	0	0	0	0	0
2	27.0	0	0	0	0	0
3	27.0	0	0	0	0	1
3	27.0	0	0	0	0	1
3	27.0	0	0	0	0	1
3	27.0	0	0	0	0	1
3	27.0	0	0	0	0	1
3	27.0	0	0	0	0	1
3	27.0	0	0	0	0	1
3	27.0	0	0	0	0	1
3	27.0	0	0	0	0	1
3	27.0	0	0	0	0	1
3	27.0	0	0	0	0	1
3	27.0	0	0	0	0	1
3	27.0	0	0	0	0	1
3	27.0	0	0	0	0	1
3	27.0	0	0	0	0	1
3	27.0	0	0	0	0	1
3	27.0	0	0	0	0	1
3	27.0	0	0	0	0	1
3	27.0	0	0	0	0	1
3	27.0	0	0	0	0	1
3	27.0	0	0	0	0	0
3	27.0	0	0	0	0	0
3	27.0	0	0	0	0	0
3	27.0	0	0	0	0	0
3	27.0	0	0	0	0	0
4	27.0	0	0	0	500	1
4	27.0	0	0	0	500	1
4	28.0	0	0	0	500	1
4	28.0	0	0	0	500	1
4	28.0	0	0	0	500	1
