Stim	Lux	Yellow	Red	Blue	Blue2	Trig
1	30.0	0	0	0	0	1
1	30.0	0	0	0	0	1
1	30.0	0	0	0	0	1
1	30.0	0	0	0	0	1
1	30.0	0	0	0	0	1
1	30.0	0	0	0	0	1
1	30.0	0	0	0	0	1
1	30.0	0	0	0	0	1
1	30.0	0	0	0	0	1
1	30.0	0	0	0	0	1
1	30.0	0	0	0	0	1
1	30.0	0	0	0	0	1
1	30.0	0	0	0	0	1
1	30.0	0	0	0	0	1
1	30.0	0	0	0	0	1
1	30.0	0	0	0	0	1
1	30.0	0	0	0	0	1
1	30.0	0	0	0	0	1
1	30.0	0	0	0	0	1
1	30.0	0	0	0	0	1
1	30.0	0	0	0	0	0
1	30.0	0	0	0	0	0
1	30.0	0	0	0	0	0
1	30.0	0	0	0	0	0
1	30.0	0	0	0	0	0
2	30.0	0	0	0	0	1
2	30.0	0	0	0	0	1
2	30.0	0	0	0	0	1
2	30.0	0	0	0	0	1
2	30.0	0	0	0	0	1
2	30.0	0	0	0	0	1
2	30.0	0	0	0	0	1
2	30.0	0	0	0	0	1
2	30.0	0	0	0	0	1
2	30.0	0	0	0	0	1
2	30.0	0	0	0	0	1
2	30.0	0	0	0	0	1
2	30.0	0	0	0	0	1
2	30.0	0	0	0	0	1
2	30.0	0	0	0	0	1
2	30.0	0	0	0	0	1
2	30.0	0	0	0	0	1
2	30.0	0	0	0	0	1
2	30.0	0	0	0	0	1
2	30.0	0	0	0	0	1
2	30.0	0	0	0	0	0
2	30.0	0	0	0	0	0
2	30.0	0	0	0	0	0
2	30.0	0	0	0	0	0
2	30.0	0	0	0	0	0
3	30.0	0	0	0	0	1
3	30.0	0	0	0	0	1
3	30.0	0	0	0	0	1
3	30.0	0	0	0	0	1
3	30.0	0	0	0	0	1
3	30.0	0	0	0	0	1
3	30.0	0	0	0	0	1
3	30.0	0	0	0	0	1
3	30.0	0	0	0	0	1
3	30.0	0	0	0	0	1
3	30.0	0	0	0	0	1
3	30.0	0	0	0	0	1
3	30.0	0	0	0	0	1
3	30.0	0	0	0	0	1
3	30.0	0	0	0	0	1
3	30.0	0	0	0	0	1
3	30.0	0	0	0	0	1
3	30.0	0	0	0	0	1
3	30.0	0	0	0	0	1
