Stim	Lux	Yellow	Red	Blue	Blue2	Trig
1	65.0	1800	0	0	0	1
1	69.0	1800	0	0	0	1
1	69.0	1800	0	0	0	1
1	69.0	1800	0	0	0	1
1	69.0	1800	0	0	0	1
1	69.0	1800	0	0	0	1
1	69.0	1800	0	0	0	1
1	69.0	1800	0	0	0	1
1	69.0	1800	0	0	0	1
1	69.0	1800	0	0	0	1
1	69.0	1800	0	0	0	1
1	68.0	1800	0	0	0	1
1	68.0	1800	0	0	0	1
1	68.0	1800	0	0	0	1
1	68.0	1800	0	0	0	1
1	68.0	1800	0	0	0	1
1	68.0	1800	0	0	0	1
1	68.0	1800	0	0	0	1
1	68.0	1800	0	0	0	1
1	68.0	1800	0	0	0	1
1	68.0	1800	0	0	0	0
1	30.0	1800	0	0	0	0
1	30.0	1800	0	0	0	0
1	30.0	1800	0	0	0	0
1	30.0	1800	0	0	0	0
2	44.0	1800	0	0	0	1
2	69.0	1800	0	0	0	1
2	69.0	1800	0	0	0	1
2	69.0	1800	0	0	0	1
2	69.0	1800	0	0	0	1
2	69.0	1800	0	0	0	1
2	69.0	1800	0	0	0	1
2	69.0	1800	0	0	0	1
2	69.0	1800	0	0	0	1
2	69.0	1800	0	0	0	1
2	69.0	1800	0	0	0	1
2	69.0	1800	0	0	0	1
2	69.0	1800	0	0	0	1
2	69.0	1800	0	0	0	1
2	69.0	1800	0	0	0	1
2	68.0	1800	0	0	0	1
2	68.0	1800	0	0	0	1
2	68.0	1800	0	0	0	1
2	68.0	1800	0	0	0	1
2	68.0	1800	0	0	0	1
2	42.0	1800	0	0	0	0
2	30.0	1800	0	0	0	0
2	30.0	1800	0	0	0	0
2	30.0	1800	0	0	0	0
2	30.0	1800	0	0	0	0
3	30.0	1800	0	0	0	1
3	68.0	1800	0	0	0	1
3	68.0	1800	0	0	0	1
3	68.0	1800	0	0	0	1
3	68.0	1800	0	0	0	1
3	68.0	1800	0	0	0	1
3	68.0	1800	0	0	0	1
3	68.0	1800	0	0	0	1
3	68.0	1800	0	0	0	1
3	68.0	1800	0	0	0	1
3	68.0	1800	0	0	0	1
3	68.0	1800	0	0	0	1
3	68.0	1800	0	0	0	1
3	68.0	1800	0	0	0	1
3	68.0	1800	0	0	0	1
3	68.0	1800	0	0	0	1
3	68.0	1800	0	0	0	1
3	68.0	1800	0	0	0	1
3	68.0	1800	0	0	0	1
3	68.0	1800	0	0	0	1
3	63.0	1800	0	0	0	0
3	30.0	1800	0	0	0	0
3	30.0	1800	0	0	0	0
3	30.0	1800	0	0	0	0
3	30.0	1800	0	0	0	0
4	30.0	1800	0	0	0	1
4	49.0	1800	0	0	0	1
4	49.0	1800	0	0	0	1
4	49.0	1800	0	0	0	1
4	49.0	1800	0	0	0	1
4	49.0	1800	0	0	0	1
4	49.0	1800	0	0	0	1
4	49.0	1800	0	0	0	1
4	49.0	1800	0	0	0	1
4	49.0	1800	0	0	0	1
4	49.0	1800	0	0	0	1
4	49.0	1800	0	0	0	1
4	48.0	1800	0	0	0	1
4	48.0	1800	0	0	0	1
4	48.0	1800	0	0	0	1
4	48.0	1800	0	0	0	1
4	48.0	1800	0	0	0	1
4	48.0	1800	0	0	0	1
4	48.0	1800	0	0	0	1
4	48.0	1800	0	0	0	1
4	35.0	1800	0	0	0	0
4	28.0	1800	0	0	0	0
4	28.0	1800	0	0	0	0
4	28.0	1800	0	0	0	0
4	29.0	1800	0	0	0	0
5	29.0	1800	0	131	0	1
5	49.0	1800	0	131	0	1
5	49.0	1800	0	131	0	1
5	50.0	1800	0	131	0	1
5	49.0	1800	0	131	0	1
5	49.0	1800	0	131	0	1
5	49.0	1800	0	131	0	1
5	49.0	1800	0	131	0	1
5	49.0	1800	0	131	0	1
5	49.0	1800	0	131	0	1
5	49.0	1800	0	131	0	1
5	49.0	1800	0	131	0	1
5	49.0	1800	0	131	0	1
5	49.0	1800	0	131	0	1
5	49.0	1800	0	131	0	1
5	49.0	1800	0	131	0	1
5	49.0	1800	0	131	0	1
5	49.0	1800	0	131	0	1
5	49.0	1800	0	131	0	1
5	49.0	1800	0	131	0	1
5	49.0	1800	0	131	0	0
5	29.0	1800	0	131	0	0
5	29.0	1800	0	131	0	0
5	29.0	1800	0	131	0	0
5	29.0	1800	0	131	0	0
6	36.0	1800	0	263	0	1
6	51.0	1800	0	263	0	1
6	52.0	1800	0	263	0	1
6	51.0	1800	0	263	0	1
6	51.0	1800	0	263	0	1
6	52.0	1800	0	263	0	1
6	51.0	1800	0	263	0	1
6	52.0	1800	0	263	0	1
6	51.0	1800	0	263	0	1
6	51.0	1800	0	263	0	1
6	52.0	1800	0	263	0	1
6	51.0	1800	0	263	0	1
6	51.0	1800	0	263	0	1
6	52.0	1800	0	263	0	1
6	52.0	1800	0	263	0	1
6	52.0	1800	0	263	0	1
6	52.0	1800	0	263	0	1
6	52.0	1800	0	263	0	1
6	52.0	1800	0	263	0	1
6	52.0	1800	0	263	0	1
6	52.0	1800	0	263	0	0
