Stim	Lux	Yellow	Red	Blue	Blue2	Trig
1	31.0	0	0	0	0	1
1	31.0	0	0	0	0	1
1	31.0	0	0	0	0	1
1	31.0	0	0	0	0	1
1	31.0	0	0	0	0	1
1	31.0	0	0	0	0	1
1	31.0	0	0	0	0	1
1	31.0	0	0	0	0	1
1	31.0	0	0	0	0	1
1	31.0	0	0	0	0	1
1	31.0	0	0	0	0	1
1	31.0	0	0	0	0	1
1	31.0	0	0	0	0	1
1	31.0	0	0	0	0	1
1	31.0	0	0	0	0	1
1	32.0	0	0	0	0	1
1	32.0	0	0	0	0	1
1	32.0	0	0	0	0	1
1	32.0	0	0	0	0	1
1	32.0	0	0	0	0	1
1	32.0	0	0	0	0	0
1	32.0	0	0	0	0	0
1	32.0	0	0	0	0	0
1	32.0	0	0	0	0	0
1	32.0	0	0	0	0	0
2	32.0	0	0	0	0	1
2	32.0	0	0	0	0	1
2	32.0	0	0	0	0	1
2	32.0	0	0	0	0	1
2	32.0	0	0	0	0	1
2	32.0	0	0	0	0	1
2	32.0	0	0	0	0	1
2	32.0	0	0	0	0	1
2	32.0	0	0	0	0	1
2	32.0	0	0	0	0	1
2	32.0	0	0	0	0	1
2	32.0	0	0	0	0	1
2	32.0	0	0	0	0	1
2	32.0	0	0	0	0	1
2	32.0	0	0	0	0	1
2	32.0	0	0	0	0	1
2	32.0	0	0	0	0	1
2	32.0	0	0	0	0	1
2	32.0	0	0	0	0	1
2	32.0	0	0	0	0	1
2	32.0	0	0	0	0	0
2	32.0	0	0	0	0	0
2	32.0	0	0	0	0	0
2	32.0	0	0	0	0	0
2	32.0	0	0	0	0	0
3	32.0	0	0	0	0	1
3	32.0	0	0	0	0	1
3	32.0	0	0	0	0	1
3	32.0	0	0	0	0	1
3	32.0	0	0	0	0	1
3	32.0	0	0	0	0	1
3	32.0	0	0	0	0	1
3	32.0	0	0	0	0	1
3	32.0	0	0	0	0	1
3	32.0	0	0	0	0	1
3	32.0	0	0	0	0	1
3	32.0	0	0	0	0	1
3	32.0	0	0	0	0	1
3	32.0	0	0	0	0	1
3	32.0	0	0	0	0	1
3	31.0	0	0	0	0	1
3	31.0	0	0	0	0	1
3	31.0	0	0	0	0	1
3	31.0	0	0	0	0	1
3	31.0	0	0	0	0	1
3	31.0	0	0	0	0	0
3	31.0	0	0	0	0	0
3	31.0	0	0	0	0	0
3	31.0	0	0	0	0	0
3	31.0	0	0	0	0	0
4	31.0	0	0	0	0	1
4	31.0	0	0	0	0	1
4	31.0	0	0	0	0	1
4	31.0	0	0	0	0	1
4	31.0	0	0	0	0	1
4	31.0	0	0	0	0	1
4	31.0	0	0	0	0	1
4	31.0	0	0	0	0	1
