Stim	Lux	Yellow	Red	Blue	Blue2	Trig
1	68.0	0	0	0	1200	1
1	69.0	0	0	0	1200	1
1	69.0	0	0	0	1200	1
1	69.0	0	0	0	1200	1
1	69.0	0	0	0	1200	1
1	69.0	0	0	0	1200	1
1	69.0	0	0	0	1200	1
1	69.0	0	0	0	1200	1
1	69.0	0	0	0	1200	1
1	68.0	0	0	0	1200	1
1	69.0	0	0	0	1200	1
1	69.0	0	0	0	1200	1
1	69.0	0	0	0	1200	1
1	68.0	0	0	0	1200	1
1	69.0	0	0	0	1200	1
1	68.0	0	0	0	1200	1
1	69.0	0	0	0	1200	1
1	69.0	0	0	0	1200	1
1	69.0	0	0	0	1200	1
1	68.0	0	0	0	1200	1
1	68.0	0	0	0	1200	0
1	56.0	0	0	0	1200	0
1	56.0	0	0	0	1200	0
1	56.0	0	0	0	1200	0
1	56.0	0	0	0	1200	0
2	60.0	0	0	0	1200	1
2	69.0	0	0	0	1200	1
2	68.0	0	0	0	1200	1
2	69.0	0	0	0	1200	1
2	69.0	0	0	0	1200	1
2	68.0	0	0	0	1200	1
2	69.0	0	0	0	1200	1
2	68.0	0	0	0	1200	1
2	69.0	0	0	0	1200	1
2	69.0	0	0	0	1200	1
2	69.0	0	0	0	1200	1
2	69.0	0	0	0	1200	1
2	68.0	0	0	0	1200	1
2	69.0	0	0	0	1200	1
2	69.0	0	0	0	1200	1
2	69.0	0	0	0	1200	1
2	69.0	0	0	0	1200	1
2	69.0	0	0	0	1200	1
2	69.0	0	0	0	1200	1
2	69.0	0	0	0	1200	1
2	60.0	0	0	0	1200	0
2	56.0	0	0	0	1200	0
2	56.0	0	0	0	1200	0
2	56.0	0	0	0	1200	0
2	56.0	0	0	0	1200	0
3	56.0	0	0	0	1200	1
3	69.0	0	0	0	1200	1
3	69.0	0	0	0	1200	1
3	69.0	0	0	0	1200	1
3	69.0	0	0	0	1200	1
3	69.0	0	0	0	1200	1
3	69.0	0	0	0	1200	1
3	69.0	0	0	0	1200	1
3	69.0	0	0	0	1200	1
3	69.0	0	0	0	1200	1
3	69.0	0	0	0	1200	1
3	69.0	0	0	0	1200	1
3	69.0	0	0	0	1200	1
3	69.0	0	0	0	1200	1
3	69.0	0	0	0	1200	1
3	69.0	0	0	0	1200	1
3	69.0	0	0	0	1200	1
3	69.0	0	0	0	1200	1
3	69.0	0	0	0	1200	1
3	69.0	0	0	0	1200	1
3	67.0	0	0	0	1200	0
3	56.0	0	0	0	1200	0
3	56.0	0	0	0	1200	0
3	56.0	0	0	0	1200	0
3	56.0	0	0	0	1200	0
4	56.0	0	0	0	1200	1
4	62.0	0	0	0	1200	1
4	62.0	0	0	0	1200	1
4	62.0	0	0	0	1200	1
4	62.0	0	0	0	1200	1
4	62.0	0	0	0	1200	1
4	62.0	0	0	0	1200	1
4	62.0	0	0	0	1200	1
4	62.0	0	0	0	1200	1
4	62.0	0	0	0	1200	1
4	62.0	0	0	0	1200	1
4	62.0	0	0	0	1200	1
4	62.0	0	0	0	1200	1
4	62.0	0	0	0	1200	1
4	62.0	0	0	0	1200	1
4	62.0	0	0	0	1200	1
4	62.0	0	0	0	1200	1
4	62.0	0	0	0	1200	1
4	62.0	0	0	0	1200	1
4	62.0	0	0	0	1200	1
4	56.0	0	0	0	1200	0
4	56.0	0	0	0	1200	0
4	56.0	0	0	0	1200	0
4	56.0	0	0	0	1200	0
4	56.0	0	0	0	1200	0
5	56.0	0	0	131	1200	1
5	62.0	0	0	131	1200	1
5	62.0	0	0	131	1200	1
5	62.0	0	0	131	1200	1
5	62.0	0	0	131	1200	1
5	62.0	0	0	131	1200	1
5	62.0	0	0	131	1200	1
5	62.0	0	0	131	1200	1
5	62.0	0	0	131	1200	1
5	62.0	0	0	131	1200	1
5	62.0	0	0	131	1200	1
5	62.0	0	0	131	1200	1
5	62.0	0	0	131	1200	1
5	62.0	0	0	131	1200	1
5	62.0	0	0	131	1200	1
5	62.0	0	0	131	1200	1
5	62.0	0	0	131	1200	1
5	62.0	0	0	131	1200	1
5	62.0	0	0	131	1200	1
5	62.0	0	0	131	1200	1
5	62.0	0	0	131	1200	0
5	56.0	0	0	131	1200	0
5	56.0	0	0	131	1200	0
5	56.0	0	0	131	1200	0
5	56.0	0	0	131	1200	0
6	58.0	0	0	263	1200	1
6	63.0	0	0	263	1200	1
6	63.0	0	0	263	1200	1
6	63.0	0	0	263	1200	1
6	63.0	0	0	263	1200	1
6	63.0	0	0	263	1200	1
6	63.0	0	0	263	1200	1
6	63.0	0	0	263	1200	1
6	63.0	0	0	263	1200	1
6	63.0	0	0	263	1200	1
6	63.0	0	0	263	1200	1
6	63.0	0	0	263	1200	1
6	63.0	0	0	263	1200	1
6	63.0	0	0	263	1200	1
6	63.0	0	0	263	1200	1
6	63.0	0	0	263	1200	1
6	63.0	0	0	263	1200	1
6	63.0	0	0	263	1200	1
6	63.0	0	0	263	1200	1
6	63.0	0	0	263	1200	1
6	63.0	0	0	263	1200	0
6	56.0	0	0	263	1200	0
6	56.0	0	0	263	1200	0
6	56.0	0	0	263	1200	0
6	56.0	0	0	263	1200	0
7	56.0	0	0	394	1200	1
7	62.0	0	0	394	1200	1
7	64.0	0	0	394	1200	1
7	64.0	0	0	394	1200	1
7	64.0	0	0	394	1200	1
7	64.0	0	0	394	1200	1
7	64.0	0	0	394	1200	1
7	64.0	0	0	394	1200	1
7	64.0	0	0	394	1200	1
7	64.0	0	0	394	1200	1
7	64.0	0	0	394	1200	1
7	64.0	0	0	394	1200	1
7	64.0	0	0	394	1200	1
7	64.0	0	0	394	1200	1
7	64.0	0	0	394	1200	1
7	64.0	0	0	394	1200	1
7	64.0	0	0	394	1200	1
7	64.0	0	0	394	1200	1
7	64.0	0	0	394	1200	1
7	64.0	0	0	394	1200	1
7	59.0	0	0	394	1200	0
7	56.0	0	0	394	1200	0
7	56.0	0	0	394	1200	0
7	56.0	0	0	394	1200	0
7	56.0	0	0	394	1200	0
8	60.0	0	0	526	1200	1
8	65.0	0	0	526	1200	1
8	65.0	0	0	526	1200	1
8	64.0	0	0	526	1200	1
8	64.0	0	0	526	1200	1
8	64.0	0	0	526	1200	1
8	64.0	0	0	526	1200	1
8	65.0	0	0	526	1200	1
8	65.0	0	0	526	1200	1
8	65.0	0	0	526	1200	1
8	65.0	0	0	526	1200	1
8	65.0	0	0	526	1200	1
8	65.0	0	0	526	1200	1
8	65.0	0	0	526	1200	1
8	65.0	0	0	526	1200	1
8	65.0	0	0	526	1200	1
8	65.0	0	0	526	1200	1
8	65.0	0	0	526	1200	1
8	65.0	0	0	526	1200	1
8	65.0	0	0	526	1200	1
8	65.0	0	0	526	1200	0
8	56.0	0	0	526	1200	0
8	56.0	0	0	526	1200	0
8	56.0	0	0	526	1200	0
8	56.0	0	0	526	1200	0
9	56.0	0	0	657	1200	1
9	65.0	0	0	657	1200	1
9	65.0	0	0	657	1200	1
9	65.0	0	0	657	1200	1
9	65.0	0	0	657	1200	1
9	65.0	0	0	657	1200	1
9	65.0	0	0	657	1200	1
9	65.0	0	0	657	1200	1
9	65.0	0	0	657	1200	1
9	65.0	0	0	657	1200	1
9	65.0	0	0	657	1200	1
9	65.0	0	0	657	1200	1
9	65.0	0	0	657	1200	1
9	65.0	0	0	657	1200	1
9	65.0	0	0	657	1200	1
9	65.0	0	0	657	1200	1
9	65.0	0	0	657	1200	1
9	65.0	0	0	657	1200	1
9	65.0	0	0	657	1200	1
9	65.0	0	0	657	1200	1
9	61.0	0	0	657	1200	0
9	56.0	0	0	657	1200	0
9	56.0	0	0	657	1200	0
9	56.0	0	0	657	1200	0
9	56.0	0	0	657	1200	0
