Stim	Lux	Yellow	Red	Blue	Blue2	Trig
1	255.0	0	0	0	1200	1
1	275.0	0	0	0	1200	1
1	275.0	0	0	0	1200	1
1	275.0	0	0	0	1200	1
1	275.0	0	0	0	1200	1
1	275.0	0	0	0	1200	1
1	275.0	0	0	0	1200	1
1	275.0	0	0	0	1200	1
1	275.0	0	0	0	1200	1
1	275.0	0	0	0	1200	1
1	275.0	0	0	0	1200	1
1	275.0	0	0	0	1200	1
1	275.0	0	0	0	1200	1
1	274.0	0	0	0	1200	1
1	275.0	0	0	0	1200	1
1	274.0	0	0	0	1200	1
1	274.0	0	0	0	1200	1
1	275.0	0	0	0	1200	1
1	275.0	0	0	0	1200	1
1	275.0	0	0	0	1200	1
1	275.0	0	0	0	1200	0
1	66.0	0	0	0	1200	0
1	66.0	0	0	0	1200	0
1	66.0	0	0	0	1200	0
1	66.0	0	0	0	1200	0
2	141.0	0	0	0	1200	1
2	275.0	0	0	0	1200	1
2	275.0	0	0	0	1200	1
2	276.0	0	0	0	1200	1
2	276.0	0	0	0	1200	1
2	276.0	0	0	0	1200	1
2	275.0	0	0	0	1200	1
2	275.0	0	0	0	1200	1
2	276.0	0	0	0	1200	1
2	275.0	0	0	0	1200	1
2	275.0	0	0	0	1200	1
2	275.0	0	0	0	1200	1
2	275.0	0	0	0	1200	1
2	276.0	0	0	0	1200	1
2	275.0	0	0	0	1200	1
2	276.0	0	0	0	1200	1
2	276.0	0	0	0	1200	1
2	275.0	0	0	0	1200	1
2	276.0	0	0	0	1200	1
2	275.0	0	0	0	1200	1
2	132.0	0	0	0	1200	0
2	66.0	0	0	0	1200	0
2	66.0	0	0	0	1200	0
2	66.0	0	0	0	1200	0
2	66.0	0	0	0	1200	0
3	66.0	0	0	0	1200	1
3	275.0	0	0	0	1200	1
3	275.0	0	0	0	1200	1
3	275.0	0	0	0	1200	1
3	275.0	0	0	0	1200	1
3	275.0	0	0	0	1200	1
3	275.0	0	0	0	1200	1
3	275.0	0	0	0	1200	1
3	275.0	0	0	0	1200	1
3	275.0	0	0	0	1200	1
3	275.0	0	0	0	1200	1
3	275.0	0	0	0	1200	1
3	275.0	0	0	0	1200	1
3	275.0	0	0	0	1200	1
3	275.0	0	0	0	1200	1
3	275.0	0	0	0	1200	1
3	275.0	0	0	0	1200	1
3	275.0	0	0	0	1200	1
3	275.0	0	0	0	1200	1
3	275.0	0	0	0	1200	1
3	246.0	0	0	0	1200	0
3	66.0	0	0	0	1200	0
3	66.0	0	0	0	1200	0
3	66.0	0	0	0	1200	0
3	66.0	0	0	0	1200	0
4	66.0	0	0	0	1200	1
4	171.0	0	0	0	1200	1
4	170.0	0	0	0	1200	1
4	169.0	0	0	0	1200	1
4	171.0	0	0	0	1200	1
4	170.0	0	0	0	1200	1
4	171.0	0	0	0	1200	1
4	170.0	0	0	0	1200	1
4	170.0	0	0	0	1200	1
4	171.0	0	0	0	1200	1
4	171.0	0	0	0	1200	1
4	170.0	0	0	0	1200	1
4	171.0	0	0	0	1200	1
4	170.0	0	0	0	1200	1
4	172.0	0	0	0	1200	1
4	171.0	0	0	0	1200	1
4	170.0	0	0	0	1200	1
4	171.0	0	0	0	1200	1
4	171.0	0	0	0	1200	1
4	170.0	0	0	0	1200	1
4	66.0	0	0	0	1200	0
4	66.0	0	0	0	1200	0
4	66.0	0	0	0	1200	0
4	66.0	0	0	0	1200	0
4	66.0	0	0	0	1200	0
5	66.0	0	0	131	1200	1
5	172.0	0	0	131	1200	1
5	172.0	0	0	131	1200	1
5	173.0	0	0	131	1200	1
5	172.0	0	0	131	1200	1
5	172.0	0	0	131	1200	1
5	173.0	0	0	131	1200	1
5	173.0	0	0	131	1200	1
5	172.0	0	0	131	1200	1
5	173.0	0	0	131	1200	1
5	172.0	0	0	131	1200	1
5	173.0	0	0	131	1200	1
5	173.0	0	0	131	1200	1
5	172.0	0	0	131	1200	1
5	173.0	0	0	131	1200	1
5	173.0	0	0	131	1200	1
5	172.0	0	0	131	1200	1
5	173.0	0	0	131	1200	1
5	172.0	0	0	131	1200	1
5	172.0	0	0	131	1200	1
5	172.0	0	0	131	1200	0
5	66.0	0	0	131	1200	0
5	66.0	0	0	131	1200	0
5	66.0	0	0	131	1200	0
5	66.0	0	0	131	1200	0
6	99.0	0	0	263	1200	1
6	183.0	0	0	263	1200	1
6	184.0	0	0	263	1200	1
6	183.0	0	0	263	1200	1
6	183.0	0	0	263	1200	1
6	184.0	0	0	263	1200	1
6	183.0	0	0	263	1200	1
6	184.0	0	0	263	1200	1
