Stim	Lux	Yellow	Red	Blue	Blue2	Trig
1	209.0	0	1500	0	0	1
1	225.0	0	1500	0	0	1
1	225.0	0	1500	0	0	1
1	225.0	0	1500	0	0	1
1	225.0	0	1500	0	0	1
1	225.0	0	1500	0	0	1
1	225.0	0	1500	0	0	1
1	225.0	0	1500	0	0	1
1	225.0	0	1500	0	0	1
1	225.0	0	1500	0	0	1
1	225.0	0	1500	0	0	1
1	225.0	0	1500	0	0	1
1	225.0	0	1500	0	0	1
1	225.0	0	1500	0	0	1
1	225.0	0	1500	0	0	1
1	225.0	0	1500	0	0	1
1	225.0	0	1500	0	0	1
1	225.0	0	1500	0	0	1
1	225.0	0	1500	0	0	1
1	225.0	0	1500	0	0	1
1	225.0	0	1500	0	0	0
1	56.0	0	1500	0	0	0
1	56.0	0	1500	0	0	0
1	56.0	0	1500	0	0	0
1	56.0	0	1500	0	0	0
2	117.0	0	1500	0	0	1
2	225.0	0	1500	0	0	1
2	225.0	0	1500	0	0	1
2	225.0	0	1500	0	0	1
2	225.0	0	1500	0	0	1
2	225.0	0	1500	0	0	1
2	225.0	0	1500	0	0	1
2	225.0	0	1500	0	0	1
2	225.0	0	1500	0	0	1
2	225.0	0	1500	0	0	1
2	225.0	0	1500	0	0	1
2	225.0	0	1500	0	0	1
2	225.0	0	1500	0	0	1
2	225.0	0	1500	0	0	1
2	225.0	0	1500	0	0	1
2	225.0	0	1500	0	0	1
2	225.0	0	1500	0	0	1
2	225.0	0	1500	0	0	1
2	225.0	0	1500	0	0	1
2	225.0	0	1500	0	0	1
2	110.0	0	1500	0	0	0
2	56.0	0	1500	0	0	0
2	56.0	0	1500	0	0	0
2	56.0	0	1500	0	0	0
2	56.0	0	1500	0	0	0
3	56.0	0	1500	0	0	1
3	225.0	0	1500	0	0	1
3	225.0	0	1500	0	0	1
3	225.0	0	1500	0	0	1
3	225.0	0	1500	0	0	1
3	225.0	0	1500	0	0	1
3	225.0	0	1500	0	0	1
3	225.0	0	1500	0	0	1
3	225.0	0	1500	0	0	1
3	225.0	0	1500	0	0	1
3	225.0	0	1500	0	0	1
3	225.0	0	1500	0	0	1
3	225.0	0	1500	0	0	1
3	225.0	0	1500	0	0	1
3	225.0	0	1500	0	0	1
3	225.0	0	1500	0	0	1
3	225.0	0	1500	0	0	1
3	225.0	0	1500	0	0	1
3	225.0	0	1500	0	0	1
3	225.0	0	1500	0	0	1
3	201.0	0	1500	0	0	0
3	56.0	0	1500	0	0	0
3	56.0	0	1500	0	0	0
3	56.0	0	1500	0	0	0
3	56.0	0	1500	0	0	0
4	56.0	0	1500	0	0	1
4	140.0	0	1500	0	0	1
4	141.0	0	1500	0	0	1
4	141.0	0	1500	0	0	1
4	140.0	0	1500	0	0	1
4	141.0	0	1500	0	0	1
4	140.0	0	1500	0	0	1
4	141.0	0	1500	0	0	1
4	141.0	0	1500	0	0	1
4	140.0	0	1500	0	0	1
4	140.0	0	1500	0	0	1
4	141.0	0	1500	0	0	1
4	140.0	0	1500	0	0	1
4	141.0	0	1500	0	0	1
4	140.0	0	1500	0	0	1
4	140.0	0	1500	0	0	1
4	141.0	0	1500	0	0	1
4	140.0	0	1500	0	0	1
4	140.0	0	1500	0	0	1
4	141.0	0	1500	0	0	1
4	86.0	0	1500	0	0	0
4	56.0	0	1500	0	0	0
4	56.0	0	1500	0	0	0
4	56.0	0	1500	0	0	0
4	56.0	0	1500	0	0	0
5	56.0	0	1500	131	0	1
5	141.0	0	1500	131	0	1
5	140.0	0	1500	131	0	1
5	141.0	0	1500	131	0	1
5	140.0	0	1500	131	0	1
5	140.0	0	1500	131	0	1
5	141.0	0	1500	131	0	1
5	141.0	0	1500	131	0	1
5	140.0	0	1500	131	0	1
5	141.0	0	1500	131	0	1
5	140.0	0	1500	131	0	1
5	141.0	0	1500	131	0	1
5	141.0	0	1500	131	0	1
5	140.0	0	1500	131	0	1
5	141.0	0	1500	131	0	1
5	141.0	0	1500	131	0	1
5	140.0	0	1500	131	0	1
5	142.0	0	1500	131	0	1
5	140.0	0	1500	131	0	1
5	140.0	0	1500	131	0	1
5	141.0	0	1500	131	0	0
5	56.0	0	1500	131	0	0
5	56.0	0	1500	131	0	0
5	56.0	0	1500	131	0	0
5	56.0	0	1500	131	0	0
6	83.0	0	1500	263	0	1
6	141.0	0	1500	263	0	1
6	142.0	0	1500	263	0	1
6	141.0	0	1500	263	0	1
6	141.0	0	1500	263	0	1
6	142.0	0	1500	263	0	1
6	141.0	0	1500	263	0	1
6	142.0	0	1500	263	0	1
6	141.0	0	1500	263	0	1
6	141.0	0	1500	263	0	1
6	142.0	0	1500	263	0	1
6	141.0	0	1500	263	0	1
6	141.0	0	1500	263	0	1
6	142.0	0	1500	263	0	1
6	141.0	0	1500	263	0	1
6	142.0	0	1500	263	0	1
6	142.0	0	1500	263	0	1
6	141.0	0	1500	263	0	1
6	142.0	0	1500	263	0	1
6	142.0	0	1500	263	0	1
6	141.0	0	1500	263	0	0
6	56.0	0	1500	263	0	0
6	56.0	0	1500	263	0	0
6	56.0	0	1500	263	0	0
6	56.0	0	1500	263	0	0
7	56.0	0	1500	394	0	1
7	142.0	0	1500	394	0	1
7	142.0	0	1500	394	0	1
7	142.0	0	1500	394	0	1
7	142.0	0	1500	394	0	1
7	141.0	0	1500	394	0	1
7	143.0	0	1500	394	0	1
7	142.0	0	1500	394	0	1
7	141.0	0	1500	394	0	1
7	142.0	0	1500	394	0	1
7	142.0	0	1500	394	0	1
7	143.0	0	1500	394	0	1
7	142.0	0	1500	394	0	1
7	141.0	0	1500	394	0	1
7	142.0	0	1500	394	0	1
7	143.0	0	1500	394	0	1
7	142.0	0	1500	394	0	1
7	143.0	0	1500	394	0	1
7	141.0	0	1500	394	0	1
7	142.0	0	1500	394	0	1
7	142.0	0	1500	394	0	0
7	56.0	0	1500	394	0	0
7	56.0	0	1500	394	0	0
7	56.0	0	1500	394	0	0
7	56.0	0	1500	394	0	0
8	108.0	0	1500	526	0	1
8	144.0	0	1500	526	0	1
8	143.0	0	1500	526	0	1
8	143.0	0	1500	526	0	1
8	143.0	0	1500	526	0	1
8	143.0	0	1500	526	0	1
8	142.0	0	1500	526	0	1
8	143.0	0	1500	526	0	1
8	142.0	0	1500	526	0	1
8	143.0	0	1500	526	0	1
8	144.0	0	1500	526	0	1
8	142.0	0	1500	526	0	1
8	142.0	0	1500	526	0	1
8	143.0	0	1500	526	0	1
8	142.0	0	1500	526	0	1
8	143.0	0	1500	526	0	1
8	142.0	0	1500	526	0	1
8	142.0	0	1500	526	0	1
8	143.0	0	1500	526	0	1
8	143.0	0	1500	526	0	1
8	142.0	0	1500	526	0	0
8	56.0	0	1500	526	0	0
8	56.0	0	1500	526	0	0
8	56.0	0	1500	526	0	0
8	56.0	0	1500	526	0	0
9	56.0	0	1500	657	0	1
9	143.0	0	1500	657	0	1
9	143.0	0	1500	657	0	1
9	144.0	0	1500	657	0	1
9	144.0	0	1500	657	0	1
9	144.0	0	1500	657	0	1
9	144.0	0	1500	657	0	1
9	143.0	0	1500	657	0	1
9	144.0	0	1500	657	0	1
9	144.0	0	1500	657	0	1
9	143.0	0	1500	657	0	1
9	144.0	0	1500	657	0	1
9	143.0	0	1500	657	0	1
9	144.0	0	1500	657	0	1
9	144.0	0	1500	657	0	1
9	143.0	0	1500	657	0	1
9	143.0	0	1500	657	0	1
9	144.0	0	1500	657	0	1
9	143.0	0	1500	657	0	1
9	144.0	0	1500	657	0	1
9	130.0	0	1500	657	0	0
9	56.0	0	1500	657	0	0
9	56.0	0	1500	657	0	0
9	56.0	0	1500	657	0	0
9	56.0	0	1500	657	0	0
10	56.0	0	1500	789	0	1
10	127.0	0	1500	789	0	1
10	144.0	0	1500	789	0	1
10	144.0	0	1500	789	0	1
10	145.0	0	1500	789	0	1
10	145.0	0	1500	789	0	1
10	144.0	0	1500	789	0	1
10	145.0	0	1500	789	0	1
10	145.0	0	1500	789	0	1
10	145.0	0	1500	789	0	1
10	145.0	0	1500	789	0	1
10	144.0	0	1500	789	0	1
10	145.0	0	1500	789	0	1
10	145.0	0	1500	789	0	1
10	144.0	0	1500	789	0	1
10	145.0	0	1500	789	0	1
10	144.0	0	1500	789	0	1
10	144.0	0	1500	789	0	1
10	145.0	0	1500	789	0	1
10	143.0	0	1500	789	0	1
10	144.0	0	1500	789	0	0
10	56.0	0	1500	789	0	0
10	56.0	0	1500	789	0	0
10	56.0	0	1500	789	0	0
10	56.0	0	1500	789	0	0
11	56.0	0	1500	921	0	1
11	145.0	0	1500	921	0	1
11	145.0	0	1500	921	0	1
11	146.0	0	1500	921	0	1
11	145.0	0	1500	921	0	1
11	144.0	0	1500	921	0	1
