Stim	Lux	Yellow	Red	Blue	Blue2	Trig
1	227.0	0	1500	0	0	1
1	244.0	0	1500	0	0	1
1	244.0	0	1500	0	0	1
1	244.0	0	1500	0	0	1
1	244.0	0	1500	0	0	1
1	244.0	0	1500	0	0	1
1	244.0	0	1500	0	0	1
1	244.0	0	1500	0	0	1
1	244.0	0	1500	0	0	1
1	244.0	0	1500	0	0	1
1	244.0	0	1500	0	0	1
1	244.0	0	1500	0	0	1
1	244.0	0	1500	0	0	1
1	244.0	0	1500	0	0	1
1	244.0	0	1500	0	0	1
1	244.0	0	1500	0	0	1
1	244.0	0	1500	0	0	1
1	244.0	0	1500	0	0	1
1	244.0	0	1500	0	0	1
1	244.0	0	1500	0	0	1
1	244.0	0	1500	0	0	0
1	65.0	0	1500	0	0	0
1	65.0	0	1500	0	0	0
1	65.0	0	1500	0	0	0
1	65.0	0	1500	0	0	0
2	129.0	0	1500	0	0	1
2	244.0	0	1500	0	0	1
2	244.0	0	1500	0	0	1
2	244.0	0	1500	0	0	1
2	244.0	0	1500	0	0	1
2	243.0	0	1500	0	0	1
2	244.0	0	1500	0	0	1
2	243.0	0	1500	0	0	1
2	244.0	0	1500	0	0	1
2	244.0	0	1500	0	0	1
2	243.0	0	1500	0	0	1
2	244.0	0	1500	0	0	1
2	244.0	0	1500	0	0	1
2	244.0	0	1500	0	0	1
2	244.0	0	1500	0	0	1
2	244.0	0	1500	0	0	1
2	244.0	0	1500	0	0	1
2	244.0	0	1500	0	0	1
2	244.0	0	1500	0	0	1
2	244.0	0	1500	0	0	1
2	122.0	0	1500	0	0	0
2	65.0	0	1500	0	0	0
2	65.0	0	1500	0	0	0
2	65.0	0	1500	0	0	0
2	65.0	0	1500	0	0	0
3	65.0	0	1500	0	0	1
3	244.0	0	1500	0	0	1
3	244.0	0	1500	0	0	1
3	244.0	0	1500	0	0	1
3	244.0	0	1500	0	0	1
3	244.0	0	1500	0	0	1
3	244.0	0	1500	0	0	1
3	244.0	0	1500	0	0	1
3	244.0	0	1500	0	0	1
3	244.0	0	1500	0	0	1
3	244.0	0	1500	0	0	1
3	244.0	0	1500	0	0	1
3	244.0	0	1500	0	0	1
3	244.0	0	1500	0	0	1
3	244.0	0	1500	0	0	1
3	244.0	0	1500	0	0	1
3	244.0	0	1500	0	0	1
3	244.0	0	1500	0	0	1
3	244.0	0	1500	0	0	1
3	244.0	0	1500	0	0	1
3	219.0	0	1500	0	0	0
3	65.0	0	1500	0	0	0
3	65.0	0	1500	0	0	0
3	65.0	0	1500	0	0	0
3	65.0	0	1500	0	0	0
4	65.0	0	1500	0	0	1
4	154.0	0	1500	0	0	1
4	155.0	0	1500	0	0	1
4	155.0	0	1500	0	0	1
4	154.0	0	1500	0	0	1
4	155.0	0	1500	0	0	1
