Stim	Lux	Yellow	Red	Blue	Blue2	Trig
1	56.0	0	0	0	0	1
1	56.0	0	0	0	0	1
1	56.0	0	0	0	0	1
1	56.0	0	0	0	0	1
1	56.0	0	0	0	0	1
1	56.0	0	0	0	0	1
1	56.0	0	0	0	0	1
1	56.0	0	0	0	0	1
1	56.0	0	0	0	0	1
1	56.0	0	0	0	0	1
1	56.0	0	0	0	0	1
1	56.0	0	0	0	0	1
1	56.0	0	0	0	0	1
1	56.0	0	0	0	0	1
1	56.0	0	0	0	0	1
1	56.0	0	0	0	0	1
1	56.0	0	0	0	0	1
1	56.0	0	0	0	0	1
1	56.0	0	0	0	0	1
1	56.0	0	0	0	0	1
1	56.0	0	0	0	0	0
1	56.0	0	0	0	0	0
1	56.0	0	0	0	0	0
1	56.0	0	0	0	0	0
1	56.0	0	0	0	0	0
2	56.0	0	0	0	0	1
2	56.0	0	0	0	0	1
2	56.0	0	0	0	0	1
2	56.0	0	0	0	0	1
2	56.0	0	0	0	0	1
2	56.0	0	0	0	0	1
2	56.0	0	0	0	0	1
2	56.0	0	0	0	0	1
2	56.0	0	0	0	0	1
2	56.0	0	0	0	0	1
2	56.0	0	0	0	0	1
2	56.0	0	0	0	0	1
2	56.0	0	0	0	0	1
2	56.0	0	0	0	0	1
2	56.0	0	0	0	0	1
2	56.0	0	0	0	0	1
2	56.0	0	0	0	0	1
2	56.0	0	0	0	0	1
2	56.0	0	0	0	0	1
2	56.0	0	0	0	0	1
2	56.0	0	0	0	0	0
2	56.0	0	0	0	0	0
2	56.0	0	0	0	0	0
2	56.0	0	0	0	0	0
2	56.0	0	0	0	0	0
3	56.0	0	0	0	0	1
3	56.0	0	0	0	0	1
3	56.0	0	0	0	0	1
3	56.0	0	0	0	0	1
3	56.0	0	0	0	0	1
3	56.0	0	0	0	0	1
3	56.0	0	0	0	0	1
3	56.0	0	0	0	0	1
3	56.0	0	0	0	0	1
3	56.0	0	0	0	0	1
3	56.0	0	0	0	0	1
3	56.0	0	0	0	0	1
3	56.0	0	0	0	0	1
3	56.0	0	0	0	0	1
3	56.0	0	0	0	0	1
3	56.0	0	0	0	0	1
3	56.0	0	0	0	0	1
3	56.0	0	0	0	0	1
3	56.0	0	0	0	0	1
3	56.0	0	0	0	0	1
3	56.0	0	0	0	0	0
3	56.0	0	0	0	0	0
3	56.0	0	0	0	0	0
3	56.0	0	0	0	0	0
3	56.0	0	0	0	0	0
4	56.0	0	0	0	500	1
4	58.0	0	0	0	500	1
4	58.0	0	0	0	500	1
4	58.0	0	0	0	500	1
4	58.0	0	0	0	500	1
4	58.0	0	0	0	500	1
4	58.0	0	0	0	500	1
4	58.0	0	0	0	500	1
4	58.0	0	0	0	500	1
4	58.0	0	0	0	500	1
4	58.0	0	0	0	500	1
4	58.0	0	0	0	500	1
4	58.0	0	0	0	500	1
4	58.0	0	0	0	500	1
4	58.0	0	0	0	500	1
4	58.0	0	0	0	500	1
4	58.0	0	0	0	500	1
4	58.0	0	0	0	500	1
4	58.0	0	0	0	500	1
4	58.0	0	0	0	500	1
4	57.0	0	0	0	500	0
4	56.0	0	0	0	500	0
4	56.0	0	0	0	500	0
4	56.0	0	0	0	500	0
4	56.0	0	0	0	500	0
5	56.0	0	0	131	631	1
5	58.0	0	0	131	631	1
5	59.0	0	0	131	631	1
5	59.0	0	0	131	631	1
5	59.0	0	0	131	631	1
5	59.0	0	0	131	631	1
5	59.0	0	0	131	631	1
5	59.0	0	0	131	631	1
5	59.0	0	0	131	631	1
5	59.0	0	0	131	631	1
5	59.0	0	0	131	631	1
5	59.0	0	0	131	631	1
5	59.0	0	0	131	631	1
5	59.0	0	0	131	631	1
5	59.0	0	0	131	631	1
5	59.0	0	0	131	631	1
5	59.0	0	0	131	631	1
5	59.0	0	0	131	631	1
5	59.0	0	0	131	631	1
5	59.0	0	0	131	631	1
5	58.0	0	0	131	631	0
5	56.0	0	0	131	631	0
5	56.0	0	0	131	631	0
5	56.0	0	0	131	631	0
5	56.0	0	0	131	631	0
6	56.0	0	0	263	763	1
