Stim	Lux	Yellow	Red	Blue	Blue2	Trig
1	66.0	0	0	0	0	1
1	66.0	0	0	0	0	1
1	66.0	0	0	0	0	1
1	66.0	0	0	0	0	1
1	66.0	0	0	0	0	1
1	66.0	0	0	0	0	1
1	66.0	0	0	0	0	1
1	66.0	0	0	0	0	1
1	66.0	0	0	0	0	1
1	66.0	0	0	0	0	1
1	66.0	0	0	0	0	1
1	66.0	0	0	0	0	1
1	66.0	0	0	0	0	1
1	66.0	0	0	0	0	1
1	66.0	0	0	0	0	1
1	66.0	0	0	0	0	1
1	66.0	0	0	0	0	1
1	66.0	0	0	0	0	1
1	66.0	0	0	0	0	1
1	66.0	0	0	0	0	1
1	66.0	0	0	0	0	0
1	66.0	0	0	0	0	0
1	66.0	0	0	0	0	0
1	66.0	0	0	0	0	0
1	66.0	0	0	0	0	0
2	66.0	0	0	0	0	1
2	66.0	0	0	0	0	1
2	66.0	0	0	0	0	1
2	66.0	0	0	0	0	1
2	66.0	0	0	0	0	1
2	66.0	0	0	0	0	1
2	66.0	0	0	0	0	1
2	66.0	0	0	0	0	1
2	66.0	0	0	0	0	1
2	66.0	0	0	0	0	1
2	66.0	0	0	0	0	1
2	66.0	0	0	0	0	1
2	66.0	0	0	0	0	1
2	66.0	0	0	0	0	1
2	66.0	0	0	0	0	1
2	66.0	0	0	0	0	1
2	66.0	0	0	0	0	1
2	66.0	0	0	0	0	1
2	66.0	0	0	0	0	1
2	66.0	0	0	0	0	1
2	66.0	0	0	0	0	0
2	66.0	0	0	0	0	0
2	66.0	0	0	0	0	0
2	66.0	0	0	0	0	0
2	66.0	0	0	0	0	0
3	66.0	0	0	0	0	1
3	66.0	0	0	0	0	1
3	66.0	0	0	0	0	1
3	66.0	0	0	0	0	1
3	66.0	0	0	0	0	1
3	66.0	0	0	0	0	1
3	66.0	0	0	0	0	1
3	65.0	0	0	0	0	1
3	66.0	0	0	0	0	1
3	66.0	0	0	0	0	1
3	66.0	0	0	0	0	1
3	66.0	0	0	0	0	1
3	66.0	0	0	0	0	1
3	66.0	0	0	0	0	1
3	66.0	0	0	0	0	1
3	66.0	0	0	0	0	1
3	66.0	0	0	0	0	1
3	66.0	0	0	0	0	1
3	66.0	0	0	0	0	1
3	66.0	0	0	0	0	1
3	66.0	0	0	0	0	0
3	66.0	0	0	0	0	0
3	66.0	0	0	0	0	0
3	66.0	0	0	0	0	0
3	66.0	0	0	0	0	0
4	66.0	0	0	0	500	1
4	100.0	0	0	0	500	1
4	101.0	0	0	0	500	1
4	101.0	0	0	0	500	1
4	100.0	0	0	0	500	1
4	101.0	0	0	0	500	1
4	100.0	0	0	0	500	1
4	101.0	0	0	0	500	1
4	101.0	0	0	0	500	1
4	100.0	0	0	0	500	1
4	100.0	0	0	0	500	1
4	101.0	0	0	0	500	1
4	100.0	0	0	0	500	1
4	101.0	0	0	0	500	1
4	100.0	0	0	0	500	1
4	100.0	0	0	0	500	1
4	101.0	0	0	0	500	1
4	100.0	0	0	0	500	1
4	100.0	0	0	0	500	1
4	101.0	0	0	0	500	1
4	78.0	0	0	0	500	0
4	66.0	0	0	0	500	0
4	66.0	0	0	0	500	0
4	66.0	0	0	0	500	0
4	66.0	0	0	0	500	0
5	66.0	0	0	131	631	1
5	91.0	0	0	131	631	1
5	116.0	0	0	131	631	1
5	115.0	0	0	131	631	1
5	116.0	0	0	131	631	1
5	116.0	0	0	131	631	1
5	115.0	0	0	131	631	1
5	115.0	0	0	131	631	1
5	116.0	0	0	131	631	1
5	115.0	0	0	131	631	1
5	116.0	0	0	131	631	1
5	115.0	0	0	131	631	1
5	115.0	0	0	131	631	1
5	115.0	0	0	131	631	1
5	115.0	0	0	131	631	1
5	115.0	0	0	131	631	1
5	116.0	0	0	131	631	1
5	115.0	0	0	131	631	1
5	116.0	0	0	131	631	1
5	116.0	0	0	131	631	1
5	92.0	0	0	131	631	0
5	66.0	0	0	131	631	0
5	66.0	0	0	131	631	0
5	66.0	0	0	131	631	0
5	66.0	0	0	131	631	0
6	70.0	0	0	263	763	1
6	140.0	0	0	263	763	1
6	139.0	0	0	263	763	1
6	140.0	0	0	263	763	1
6	140.0	0	0	263	763	1
6	139.0	0	0	263	763	1
6	140.0	0	0	263	763	1
6	139.0	0	0	263	763	1
6	140.0	0	0	263	763	1
6	140.0	0	0	263	763	1
6	139.0	0	0	263	763	1
6	140.0	0	0	263	763	1
6	140.0	0	0	263	763	1
6	139.0	0	0	263	763	1
6	140.0	0	0	263	763	1
6	139.0	0	0	263	763	1
6	139.0	0	0	263	763	1
6	140.0	0	0	263	763	1
6	139.0	0	0	263	763	1
6	139.0	0	0	263	763	1
6	140.0	0	0	263	763	0
6	66.0	0	0	263	763	0
6	66.0	0	0	263	763	0
6	66.0	0	0	263	763	0
6	66.0	0	0	263	763	0
7	66.0	0	0	394	894	1
7	157.0	0	0	394	894	1
7	164.0	0	0	394	894	1
7	165.0	0	0	394	894	1
7	164.0	0	0	394	894	1
7	164.0	0	0	394	894	1
7	165.0	0	0	394	894	1
7	164.0	0	0	394	894	1
7	164.0	0	0	394	894	1
7	165.0	0	0	394	894	1
7	164.0	0	0	394	894	1
7	165.0	0	0	394	894	1
7	164.0	0	0	394	894	1
7	164.0	0	0	394	894	1
7	165.0	0	0	394	894	1
7	165.0	0	0	394	894	1
7	164.0	0	0	394	894	1
7	165.0	0	0	394	894	1
7	164.0	0	0	394	894	1
7	165.0	0	0	394	894	1
7	146.0	0	0	394	894	0
7	66.0	0	0	394	894	0
7	66.0	0	0	394	894	0
7	66.0	0	0	394	894	0
7	66.0	0	0	394	894	0
8	88.0	0	0	526	1026	1
8	190.0	0	0	526	1026	1
8	190.0	0	0	526	1026	1
8	190.0	0	0	526	1026	1
8	190.0	0	0	526	1026	1
8	190.0	0	0	526	1026	1
8	191.0	0	0	526	1026	1
8	190.0	0	0	526	1026	1
8	190.0	0	0	526	1026	1
8	190.0	0	0	526	1026	1
8	190.0	0	0	526	1026	1
8	190.0	0	0	526	1026	1
8	190.0	0	0	526	1026	1
8	190.0	0	0	526	1026	1
8	190.0	0	0	526	1026	1
8	190.0	0	0	526	1026	1
8	190.0	0	0	526	1026	1
8	191.0	0	0	526	1026	1
8	190.0	0	0	526	1026	1
8	191.0	0	0	526	1026	1
8	191.0	0	0	526	1026	0
8	66.0	0	0	526	1026	0
8	66.0	0	0	526	1026	0
8	66.0	0	0	526	1026	0
8	66.0	0	0	526	1026	0
9	66.0	0	0	657	1157	1
9	217.0	0	0	657	1157	1
9	217.0	0	0	657	1157	1
9	216.0	0	0	657	1157	1
9	217.0	0	0	657	1157	1
9	216.0	0	0	657	1157	1
9	216.0	0	0	657	1157	1
9	217.0	0	0	657	1157	1
9	216.0	0	0	657	1157	1
9	216.0	0	0	657	1157	1
9	217.0	0	0	657	1157	1
9	216.0	0	0	657	1157	1
9	217.0	0	0	657	1157	1
9	216.0	0	0	657	1157	1
9	216.0	0	0	657	1157	1
9	217.0	0	0	657	1157	1
9	217.0	0	0	657	1157	1
9	216.0	0	0	657	1157	1
9	217.0	0	0	657	1157	1
9	216.0	0	0	657	1157	1
9	108.0	0	0	657	1157	0
9	66.0	0	0	657	1157	0
9	66.0	0	0	657	1157	0
9	66.0	0	0	657	1157	0
9	66.0	0	0	657	1157	0
10	66.0	0	0	789	1289	1
10	157.0	0	0	789	1289	1
10	242.0	0	0	789	1289	1
10	242.0	0	0	789	1289	1
10	243.0	0	0	789	1289	1
10	243.0	0	0	789	1289	1
10	242.0	0	0	789	1289	1
10	243.0	0	0	789	1289	1
10	243.0	0	0	789	1289	1
10	243.0	0	0	789	1289	1
10	243.0	0	0	789	1289	1
10	242.0	0	0	789	1289	1
10	243.0	0	0	789	1289	1
10	243.0	0	0	789	1289	1
10	242.0	0	0	789	1289	1
10	243.0	0	0	789	1289	1
10	242.0	0	0	789	1289	1
10	243.0	0	0	789	1289	1
10	243.0	0	0	789	1289	1
10	242.0	0	0	789	1289	1
10	243.0	0	0	789	1289	0
10	66.0	0	0	789	1289	0
10	66.0	0	0	789	1289	0
