Stim	Lux	Yellow	Red	Blue	Blue2	Trig
1	196.0	1800	0	0	0	1
1	210.0	1800	0	0	0	1
1	210.0	1800	0	0	0	1
1	209.0	1800	0	0	0	1
1	210.0	1800	0	0	0	1
1	209.0	1800	0	0	0	1
1	209.0	1800	0	0	0	1
1	209.0	1800	0	0	0	1
1	209.0	1800	0	0	0	1
1	210.0	1800	0	0	0	1
1	209.0	1800	0	0	0	1
1	209.0	1800	0	0	0	1
1	210.0	1800	0	0	0	1
1	209.0	1800	0	0	0	1
1	210.0	1800	0	0	0	1
1	209.0	1800	0	0	0	1
1	209.0	1800	0	0	0	1
1	210.0	1800	0	0	0	1
1	209.0	1800	0	0	0	1
1	209.0	1800	0	0	0	1
1	209.0	1800	0	0	0	0
1	56.0	1800	0	0	0	0
1	56.0	1800	0	0	0	0
1	56.0	1800	0	0	0	0
1	56.0	1800	0	0	0	0
2	111.0	1800	0	0	0	1
2	209.0	1800	0	0	0	1
2	209.0	1800	0	0	0	1
2	209.0	1800	0	0	0	1
2	209.0	1800	0	0	0	1
2	209.0	1800	0	0	0	1
2	209.0	1800	0	0	0	1
2	209.0	1800	0	0	0	1
2	209.0	1800	0	0	0	1
2	209.0	1800	0	0	0	1
2	209.0	1800	0	0	0	1
2	209.0	1800	0	0	0	1
2	209.0	1800	0	0	0	1
2	209.0	1800	0	0	0	1
2	209.0	1800	0	0	0	1
2	209.0	1800	0	0	0	1
2	209.0	1800	0	0	0	1
2	209.0	1800	0	0	0	1
2	209.0	1800	0	0	0	1
2	209.0	1800	0	0	0	1
2	105.0	1800	0	0	0	0
2	56.0	1800	0	0	0	0
2	56.0	1800	0	0	0	0
2	56.0	1800	0	0	0	0
2	56.0	1800	0	0	0	0
3	56.0	1800	0	0	0	1
3	210.0	1800	0	0	0	1
3	209.0	1800	0	0	0	1
3	209.0	1800	0	0	0	1
3	209.0	1800	0	0	0	1
3	209.0	1800	0	0	0	1
3	209.0	1800	0	0	0	1
3	209.0	1800	0	0	0	1
3	209.0	1800	0	0	0	1
3	209.0	1800	0	0	0	1
3	209.0	1800	0	0	0	1
3	209.0	1800	0	0	0	1
3	209.0	1800	0	0	0	1
3	209.0	1800	0	0	0	1
3	209.0	1800	0	0	0	1
3	209.0	1800	0	0	0	1
3	209.0	1800	0	0	0	1
3	210.0	1800	0	0	0	1
3	209.0	1800	0	0	0	1
3	209.0	1800	0	0	0	1
3	188.0	1800	0	0	0	0
3	56.0	1800	0	0	0	0
3	56.0	1800	0	0	0	0
3	56.0	1800	0	0	0	0
3	56.0	1800	0	0	0	0
4	56.0	1800	0	0	0	1
4	132.0	1800	0	0	0	1
4	133.0	1800	0	0	0	1
4	133.0	1800	0	0	0	1
4	132.0	1800	0	0	0	1
4	133.0	1800	0	0	0	1
4	132.0	1800	0	0	0	1
4	133.0	1800	0	0	0	1
4	133.0	1800	0	0	0	1
4	132.0	1800	0	0	0	1
4	132.0	1800	0	0	0	1
4	133.0	1800	0	0	0	1
4	132.0	1800	0	0	0	1
4	133.0	1800	0	0	0	1
4	132.0	1800	0	0	0	1
4	132.0	1800	0	0	0	1
4	133.0	1800	0	0	0	1
4	132.0	1800	0	0	0	1
4	132.0	1800	0	0	0	1
4	133.0	1800	0	0	0	1
4	83.0	1800	0	0	0	0
4	56.0	1800	0	0	0	0
4	56.0	1800	0	0	0	0
4	56.0	1800	0	0	0	0
4	56.0	1800	0	0	0	0
5	56.0	1800	0	131	0	1
5	134.0	1800	0	131	0	1
5	133.0	1800	0	131	0	1
5	133.0	1800	0	131	0	1
5	132.0	1800	0	131	0	1
5	132.0	1800	0	131	0	1
5	133.0	1800	0	131	0	1
5	133.0	1800	0	131	0	1
5	133.0	1800	0	131	0	1
5	133.0	1800	0	131	0	1
5	132.0	1800	0	131	0	1
5	133.0	1800	0	131	0	1
5	133.0	1800	0	131	0	1
5	132.0	1800	0	131	0	1
5	133.0	1800	0	131	0	1
5	133.0	1800	0	131	0	1
5	132.0	1800	0	131	0	1
5	133.0	1800	0	131	0	1
5	133.0	1800	0	131	0	1
5	133.0	1800	0	131	0	1
5	133.0	1800	0	131	0	0
5	56.0	1800	0	131	0	0
5	56.0	1800	0	131	0	0
5	56.0	1800	0	131	0	0
5	56.0	1800	0	131	0	0
6	80.0	1800	0	263	0	1
6	133.0	1800	0	263	0	1
6	134.0	1800	0	263	0	1
6	133.0	1800	0	263	0	1
6	133.0	1800	0	263	0	1
6	134.0	1800	0	263	0	1
6	133.0	1800	0	263	0	1
6	134.0	1800	0	263	0	1
6	133.0	1800	0	263	0	1
6	133.0	1800	0	263	0	1
6	134.0	1800	0	263	0	1
6	133.0	1800	0	263	0	1
6	133.0	1800	0	263	0	1
6	134.0	1800	0	263	0	1
6	133.0	1800	0	263	0	1
6	134.0	1800	0	263	0	1
6	134.0	1800	0	263	0	1
6	133.0	1800	0	263	0	1
6	134.0	1800	0	263	0	1
6	134.0	1800	0	263	0	1
6	133.0	1800	0	263	0	0
6	56.0	1800	0	263	0	0
6	56.0	1800	0	263	0	0
6	56.0	1800	0	263	0	0
6	56.0	1800	0	263	0	0
7	56.0	1800	0	394	0	1
7	135.0	1800	0	394	0	1
7	134.0	1800	0	394	0	1
7	135.0	1800	0	394	0	1
7	134.0	1800	0	394	0	1
7	134.0	1800	0	394	0	1
7	135.0	1800	0	394	0	1
7	134.0	1800	0	394	0	1
7	134.0	1800	0	394	0	1
7	135.0	1800	0	394	0	1
7	134.0	1800	0	394	0	1
7	135.0	1800	0	394	0	1
7	134.0	1800	0	394	0	1
7	134.0	1800	0	394	0	1
7	135.0	1800	0	394	0	1
7	135.0	1800	0	394	0	1
7	134.0	1800	0	394	0	1
7	135.0	1800	0	394	0	1
7	134.0	1800	0	394	0	1
7	135.0	1800	0	394	0	1
7	135.0	1800	0	394	0	0
7	56.0	1800	0	394	0	0
7	56.0	1800	0	394	0	0
