Stim	Lux	Yellow	Red	Blue	Blue2	Trig
1	215.0	1800	0	0	0	1
1	229.0	1800	0	0	0	1
1	230.0	1800	0	0	0	1
1	230.0	1800	0	0	0	1
1	229.0	1800	0	0	0	1
1	230.0	1800	0	0	0	1
1	229.0	1800	0	0	0	1
1	229.0	1800	0	0	0	1
1	229.0	1800	0	0	0	1
1	229.0	1800	0	0	0	1
1	230.0	1800	0	0	0	1
1	229.0	1800	0	0	0	1
1	229.0	1800	0	0	0	1
1	229.0	1800	0	0	0	1
1	229.0	1800	0	0	0	1
1	229.0	1800	0	0	0	1
1	229.0	1800	0	0	0	1
1	229.0	1800	0	0	0	1
1	229.0	1800	0	0	0	1
1	229.0	1800	0	0	0	1
1	229.0	1800	0	0	0	0
1	67.0	1800	0	0	0	0
1	67.0	1800	0	0	0	0
1	67.0	1800	0	0	0	0
1	67.0	1800	0	0	0	0
2	125.0	1800	0	0	0	1
2	229.0	1800	0	0	0	1
2	229.0	1800	0	0	0	1
2	229.0	1800	0	0	0	1
2	229.0	1800	0	0	0	1
2	229.0	1800	0	0	0	1
2	229.0	1800	0	0	0	1
2	229.0	1800	0	0	0	1
2	229.0	1800	0	0	0	1
2	229.0	1800	0	0	0	1
2	229.0	1800	0	0	0	1
2	230.0	1800	0	0	0	1
2	229.0	1800	0	0	0	1
2	229.0	1800	0	0	0	1
2	229.0	1800	0	0	0	1
2	229.0	1800	0	0	0	1
2	229.0	1800	0	0	0	1
2	230.0	1800	0	0	0	1
2	229.0	1800	0	0	0	1
2	229.0	1800	0	0	0	1
2	118.0	1800	0	0	0	0
2	67.0	1800	0	0	0	0
2	67.0	1800	0	0	0	0
2	67.0	1800	0	0	0	0
2	67.0	1800	0	0	0	0
3	67.0	1800	0	0	0	1
3	229.0	1800	0	0	0	1
3	230.0	1800	0	0	0	1
3	229.0	1800	0	0	0	1
3	229.0	1800	0	0	0	1
3	229.0	1800	0	0	0	1
3	229.0	1800	0	0	0	1
3	229.0	1800	0	0	0	1
3	229.0	1800	0	0	0	1
3	229.0	1800	0	0	0	1
3	229.0	1800	0	0	0	1
3	229.0	1800	0	0	0	1
3	229.0	1800	0	0	0	1
3	229.0	1800	0	0	0	1
3	229.0	1800	0	0	0	1
3	229.0	1800	0	0	0	1
3	229.0	1800	0	0	0	1
3	229.0	1800	0	0	0	1
3	229.0	1800	0	0	0	1
3	229.0	1800	0	0	0	1
3	207.0	1800	0	0	0	0
3	67.0	1800	0	0	0	0
3	67.0	1800	0	0	0	0
3	67.0	1800	0	0	0	0
3	67.0	1800	0	0	0	0
4	67.0	1800	0	0	0	1
4	148.0	1800	0	0	0	1
4	148.0	1800	0	0	0	1
4	149.0	1800	0	0	0	1
4	148.0	1800	0	0	0	1
4	149.0	1800	0	0	0	1
4	148.0	1800	0	0	0	1
4	148.0	1800	0	0	0	1
4	149.0	1800	0	0	0	1
4	148.0	1800	0	0	0	1
4	148.0	1800	0	0	0	1
4	149.0	1800	0	0	0	1
4	147.0	1800	0	0	0	1
4	148.0	1800	0	0	0	1
4	147.0	1800	0	0	0	1
4	148.0	1800	0	0	0	1
4	148.0	1800	0	0	0	1
4	147.0	1800	0	0	0	1
4	147.0	1800	0	0	0	1
4	148.0	1800	0	0	0	1
4	96.0	1800	0	0	0	0
4	67.0	1800	0	0	0	0
4	67.0	1800	0	0	0	0
4	67.0	1800	0	0	0	0
4	67.0	1800	0	0	0	0
5	67.0	1800	0	131	0	1
5	152.0	1800	0	131	0	1
5	151.0	1800	0	131	0	1
5	151.0	1800	0	131	0	1
5	151.0	1800	0	131	0	1
5	151.0	1800	0	131	0	1
5	152.0	1800	0	131	0	1
5	152.0	1800	0	131	0	1
5	150.0	1800	0	131	0	1
5	152.0	1800	0	131	0	1
5	151.0	1800	0	131	0	1
5	152.0	1800	0	131	0	1
5	152.0	1800	0	131	0	1
5	150.0	1800	0	131	0	1
5	151.0	1800	0	131	0	1
5	151.0	1800	0	131	0	1
5	151.0	1800	0	131	0	1
5	152.0	1800	0	131	0	1
5	150.0	1800	0	131	0	1
5	150.0	1800	0	131	0	1
5	151.0	1800	0	131	0	0
5	67.0	1800	0	131	0	0
5	67.0	1800	0	131	0	0
5	67.0	1800	0	131	0	0
5	67.0	1800	0	131	0	0
6	97.0	1800	0	263	0	1
6	162.0	1800	0	263	0	1
6	163.0	1800	0	263	0	1
6	162.0	1800	0	263	0	1
6	162.0	1800	0	263	0	1
6	163.0	1800	0	263	0	1
6	161.0	1800	0	263	0	1
6	163.0	1800	0	263	0	1
6	162.0	1800	0	263	0	1
6	161.0	1800	0	263	0	1
6	163.0	1800	0	263	0	1
6	162.0	1800	0	263	0	1
6	161.0	1800	0	263	0	1
6	163.0	1800	0	263	0	1
6	162.0	1800	0	263	0	1
6	163.0	1800	0	263	0	1
6	163.0	1800	0	263	0	1
6	162.0	1800	0	263	0	1
6	163.0	1800	0	263	0	1
6	163.0	1800	0	263	0	1
6	161.0	1800	0	263	0	0
6	67.0	1800	0	263	0	0
6	67.0	1800	0	263	0	0
6	67.0	1800	0	263	0	0
6	67.0	1800	0	263	0	0
7	67.0	1800	0	394	0	1
7	176.0	1800	0	394	0	1
7	175.0	1800	0	394	0	1
7	176.0	1800	0	394	0	1
7	175.0	1800	0	394	0	1
7	174.0	1800	0	394	0	1
7	176.0	1800	0	394	0	1
7	174.0	1800	0	394	0	1
7	174.0	1800	0	394	0	1
7	176.0	1800	0	394	0	1
7	174.0	1800	0	394	0	1
7	176.0	1800	0	394	0	1
7	175.0	1800	0	394	0	1
7	174.0	1800	0	394	0	1
7	176.0	1800	0	394	0	1
7	176.0	1800	0	394	0	1
7	174.0	1800	0	394	0	1
7	176.0	1800	0	394	0	1
7	174.0	1800	0	394	0	1
7	176.0	1800	0	394	0	1
7	176.0	1800	0	394	0	0
7	67.0	1800	0	394	0	0
7	67.0	1800	0	394	0	0
7	67.0	1800	0	394	0	0
7	67.0	1800	0	394	0	0
8	140.0	1800	0	526	0	1
8	190.0	1800	0	526	0	1
8	190.0	1800	0	526	0	1
8	188.0	1800	0	526	0	1
8	190.0	1800	0	526	0	1
8	190.0	1800	0	526	0	1
8	188.0	1800	0	526	0	1
8	190.0	1800	0	526	0	1
8	188.0	1800	0	526	0	1
8	189.0	1800	0	526	0	1
8	190.0	1800	0	526	0	1
8	188.0	1800	0	526	0	1
8	188.0	1800	0	526	0	1
8	190.0	1800	0	526	0	1
8	188.0	1800	0	526	0	1
8	190.0	1800	0	526	0	1
8	188.0	1800	0	526	0	1
8	188.0	1800	0	526	0	1
8	190.0	1800	0	526	0	1
8	188.0	1800	0	526	0	1
8	188.0	1800	0	526	0	0
