Stim	Lux	Yellow	Red	Blue	Blue2	Trig
1	56.0	0	0	0	0	1
1	56.0	0	0	0	0	1
1	56.0	0	0	0	0	1
1	56.0	0	0	0	0	1
1	56.0	0	0	0	0	1
1	56.0	0	0	0	0	1
1	56.0	0	0	0	0	1
1	56.0	0	0	0	0	1
1	56.0	0	0	0	0	1
1	56.0	0	0	0	0	1
1	56.0	0	0	0	0	1
1	56.0	0	0	0	0	1
1	56.0	0	0	0	0	1
1	56.0	0	0	0	0	1
1	56.0	0	0	0	0	1
1	56.0	0	0	0	0	1
1	56.0	0	0	0	0	1
1	56.0	0	0	0	0	1
1	56.0	0	0	0	0	1
1	56.0	0	0	0	0	1
1	56.0	0	0	0	0	0
1	56.0	0	0	0	0	0
1	56.0	0	0	0	0	0
1	56.0	0	0	0	0	0
1	56.0	0	0	0	0	0
2	56.0	0	0	0	0	1
2	56.0	0	0	0	0	1
2	56.0	0	0	0	0	1
2	56.0	0	0	0	0	1
2	56.0	0	0	0	0	1
2	56.0	0	0	0	0	1
2	56.0	0	0	0	0	1
2	56.0	0	0	0	0	1
2	56.0	0	0	0	0	1
2	56.0	0	0	0	0	1
2	56.0	0	0	0	0	1
2	56.0	0	0	0	0	1
2	56.0	0	0	0	0	1
2	56.0	0	0	0	0	1
2	56.0	0	0	0	0	1
2	56.0	0	0	0	0	1
2	56.0	0	0	0	0	1
2	56.0	0	0	0	0	1
2	56.0	0	0	0	0	1
2	56.0	0	0	0	0	1
2	56.0	0	0	0	0	0
2	56.0	0	0	0	0	0
2	56.0	0	0	0	0	0
2	56.0	0	0	0	0	0
2	56.0	0	0	0	0	0
3	56.0	0	0	0	0	1
3	56.0	0	0	0	0	1
3	56.0	0	0	0	0	1
3	56.0	0	0	0	0	1
3	56.0	0	0	0	0	1
3	56.0	0	0	0	0	1
3	56.0	0	0	0	0	1
3	56.0	0	0	0	0	1
3	56.0	0	0	0	0	1
3	56.0	0	0	0	0	1
3	56.0	0	0	0	0	1
3	56.0	0	0	0	0	1
3	56.0	0	0	0	0	1
3	56.0	0	0	0	0	1
3	56.0	0	0	0	0	1
3	56.0	0	0	0	0	1
3	56.0	0	0	0	0	1
3	56.0	0	0	0	0	1
3	56.0	0	0	0	0	1
3	56.0	0	0	0	0	1
3	56.0	0	0	0	0	0
3	56.0	0	0	0	0	0
3	56.0	0	0	0	0	0
3	56.0	0	0	0	0	0
3	56.0	0	0	0	0	0
4	56.0	0	0	0	0	1
4	56.0	0	0	0	0	1
4	56.0	0	0	0	0	1
4	56.0	0	0	0	0	1
4	56.0	0	0	0	0	1
4	56.0	0	0	0	0	1
4	56.0	0	0	0	0	1
4	56.0	0	0	0	0	1
4	56.0	0	0	0	0	1
4	56.0	0	0	0	0	1
4	56.0	0	0	0	0	1
4	56.0	0	0	0	0	1
4	56.0	0	0	0	0	1
4	56.0	0	0	0	0	1
4	56.0	0	0	0	0	1
4	56.0	0	0	0	0	1
4	56.0	0	0	0	0	1
4	56.0	0	0	0	0	1
4	56.0	0	0	0	0	1
4	56.0	0	0	0	0	1
4	56.0	0	0	0	0	0
4	56.0	0	0	0	0	0
4	56.0	0	0	0	0	0
4	56.0	0	0	0	0	0
4	56.0	0	0	0	0	0
5	56.0	0	0	131	0	1
5	56.0	0	0	131	0	1
5	56.0	0	0	131	0	1
5	56.0	0	0	131	0	1
5	56.0	0	0	131	0	1
5	56.0	0	0	131	0	1
5	56.0	0	0	131	0	1
5	56.0	0	0	131	0	1
5	56.0	0	0	131	0	1
5	56.0	0	0	131	0	1
5	56.0	0	0	131	0	1
5	56.0	0	0	131	0	1
5	56.0	0	0	131	0	1
5	56.0	0	0	131	0	1
5	56.0	0	0	131	0	1
5	56.0	0	0	131	0	1
5	56.0	0	0	131	0	1
5	56.0	0	0	131	0	1
5	56.0	0	0	131	0	1
5	56.0	0	0	131	0	1
5	56.0	0	0	131	0	0
5	56.0	0	0	131	0	0
5	56.0	0	0	131	0	0
5	56.0	0	0	131	0	0
5	56.0	0	0	131	0	0
6	56.0	0	0	263	0	1
