Stim	Lux	Yellow	Red	Blue	Blue2	Trig
1	67.0	0	0	0	0	1
1	67.0	0	0	0	0	1
1	67.0	0	0	0	0	1
1	67.0	0	0	0	0	1
1	67.0	0	0	0	0	1
1	67.0	0	0	0	0	1
1	67.0	0	0	0	0	1
1	67.0	0	0	0	0	1
1	67.0	0	0	0	0	1
1	67.0	0	0	0	0	1
1	67.0	0	0	0	0	1
1	67.0	0	0	0	0	1
1	67.0	0	0	0	0	1
1	67.0	0	0	0	0	1
1	67.0	0	0	0	0	1
1	67.0	0	0	0	0	1
1	67.0	0	0	0	0	1
1	67.0	0	0	0	0	1
1	67.0	0	0	0	0	1
1	67.0	0	0	0	0	1
1	67.0	0	0	0	0	0
1	67.0	0	0	0	0	0
1	67.0	0	0	0	0	0
1	67.0	0	0	0	0	0
1	67.0	0	0	0	0	0
2	67.0	0	0	0	0	1
2	67.0	0	0	0	0	1
2	67.0	0	0	0	0	1
2	67.0	0	0	0	0	1
2	67.0	0	0	0	0	1
2	67.0	0	0	0	0	1
2	67.0	0	0	0	0	1
2	67.0	0	0	0	0	1
2	67.0	0	0	0	0	1
2	67.0	0	0	0	0	1
2	67.0	0	0	0	0	1
2	67.0	0	0	0	0	1
2	67.0	0	0	0	0	1
2	67.0	0	0	0	0	1
2	67.0	0	0	0	0	1
2	67.0	0	0	0	0	1
2	67.0	0	0	0	0	1
2	67.0	0	0	0	0	1
2	67.0	0	0	0	0	1
2	67.0	0	0	0	0	1
2	67.0	0	0	0	0	0
2	67.0	0	0	0	0	0
2	67.0	0	0	0	0	0
2	67.0	0	0	0	0	0
2	67.0	0	0	0	0	0
3	67.0	0	0	0	0	1
3	67.0	0	0	0	0	1
3	67.0	0	0	0	0	1
3	67.0	0	0	0	0	1
3	67.0	0	0	0	0	1
3	67.0	0	0	0	0	1
3	67.0	0	0	0	0	1
3	67.0	0	0	0	0	1
3	67.0	0	0	0	0	1
3	67.0	0	0	0	0	1
3	67.0	0	0	0	0	1
3	67.0	0	0	0	0	1
3	67.0	0	0	0	0	1
3	67.0	0	0	0	0	1
3	67.0	0	0	0	0	1
3	67.0	0	0	0	0	1
3	67.0	0	0	0	0	1
3	67.0	0	0	0	0	1
3	67.0	0	0	0	0	1
3	67.0	0	0	0	0	1
3	67.0	0	0	0	0	0
3	67.0	0	0	0	0	0
3	67.0	0	0	0	0	0
3	67.0	0	0	0	0	0
3	67.0	0	0	0	0	0
4	67.0	0	0	0	0	1
4	67.0	0	0	0	0	1
4	67.0	0	0	0	0	1
4	67.0	0	0	0	0	1
4	67.0	0	0	0	0	1
4	67.0	0	0	0	0	1
4	67.0	0	0	0	0	1
4	67.0	0	0	0	0	1
4	67.0	0	0	0	0	1
4	67.0	0	0	0	0	1
4	67.0	0	0	0	0	1
4	67.0	0	0	0	0	1
4	67.0	0	0	0	0	1
4	67.0	0	0	0	0	1
4	67.0	0	0	0	0	1
4	67.0	0	0	0	0	1
4	67.0	0	0	0	0	1
4	67.0	0	0	0	0	1
4	67.0	0	0	0	0	1
4	67.0	0	0	0	0	1
4	67.0	0	0	0	0	0
4	67.0	0	0	0	0	0
4	67.0	0	0	0	0	0
4	67.0	0	0	0	0	0
4	67.0	0	0	0	0	0
5	67.0	0	0	131	0	1
5	68.0	0	0	131	0	1
5	68.0	0	0	131	0	1
5	69.0	0	0	131	0	1
5	69.0	0	0	131	0	1
5	69.0	0	0	131	0	1
5	68.0	0	0	131	0	1
5	68.0	0	0	131	0	1
5	68.0	0	0	131	0	1
5	69.0	0	0	131	0	1
5	69.0	0	0	131	0	1
5	69.0	0	0	131	0	1
5	68.0	0	0	131	0	1
5	68.0	0	0	131	0	1
5	69.0	0	0	131	0	1
5	69.0	0	0	131	0	1
5	69.0	0	0	131	0	1
5	68.0	0	0	131	0	1
5	68.0	0	0	131	0	1
5	69.0	0	0	131	0	1
5	69.0	0	0	131	0	0
5	67.0	0	0	131	0	0
5	67.0	0	0	131	0	0
5	67.0	0	0	131	0	0
5	67.0	0	0	131	0	0
6	71.0	0	0	263	0	1
6	79.0	0	0	263	0	1
6	79.0	0	0	263	0	1
6	79.0	0	0	263	0	1
6	79.0	0	0	263	0	1
6	79.0	0	0	263	0	1
6	79.0	0	0	263	0	1
6	79.0	0	0	263	0	1
6	79.0	0	0	263	0	1
6	79.0	0	0	263	0	1
6	79.0	0	0	263	0	1
6	79.0	0	0	263	0	1
6	79.0	0	0	263	0	1
6	79.0	0	0	263	0	1
