Stim	R	G	B	C	Temp	HueLux	Yellow	Red	Blue	Blue2	Trig
1	414	497	247	1209	3664	469.0	0	0	0	1200	1
1	423	531	321	1326	4282	465.0	0	0	0	1200	1
1	437	572	401	1460	4887	467.0	0	0	0	1200	1
1	436	570	400	1456	4886	465.0	0	0	0	1200	1
1	437	571	401	1459	4887	465.0	0	0	0	1200	1
1	436	570	401	1457	4895	464.0	0	0	0	1200	1
1	436	571	401	1458	4895	466.0	0	0	0	1200	1
1	436	571	401	1458	4895	466.0	0	0	0	1200	1
1	436	571	401	1457	4895	466.0	0	0	0	1200	1
1	437	571	401	1459	4887	465.0	0	0	0	1200	1
1	436	570	400	1456	4886	465.0	0	0	0	1200	1
1	435	570	400	1455	4894	465.0	0	0	0	1200	1
1	437	572	401	1461	4887	467.0	0	0	0	1200	1
1	435	569	400	1454	4894	464.0	0	0	0	1200	1
1	437	572	401	1461	4887	467.0	0	0	0	1200	1
1	435	569	400	1454	4894	464.0	0	0	0	1200	1
1	438	573	402	1462	4887	467.0	0	0	0	1200	1
1	435	569	400	1454	4894	464.0	0	0	0	1200	1
1	438	573	402	1462	4887	467.0	0	0	0	1200	1
1	435	569	400	1454	4894	464.0	0	0	0	1200	1
1	438	573	402	1462	4887	467.0	0	0	0	1200	1
1	435	569	400	1454	4894	464.0	0	0	0	1200	1
1	438	572	401	1462	4879	467.0	0	0	0	1200	1
1	435	570	400	1455	4894	465.0	0	0	0	1200	1
1	437	572	402	1462	4895	466.0	0	0	0	1200	1
1	435	570	400	1455	4894	465.0	0	0	0	1200	1
1	437	572	401	1461	4887	467.0	0	0	0	1200	1
1	436	570	400	1456	4886	465.0	0	0	0	1200	0
1	437	572	401	1460	4887	467.0	0	0	0	1200	0
1	419	515	247	1269	3636	496.0	0	0	0	1200	0
1	413	496	246	1206	3660	468.0	0	0	0	1200	0
1	413	496	246	1206	3660	468.0	0	0	0	1200	0
1	413	497	247	1207	3669	469.0	0	0	0	1200	0
1	413	496	246	1205	3660	468.0	0	0	0	1200	0
2	414	497	247	1208	3664	469.0	0	0	0	1200	1
2	425	536	332	1343	4367	465.0	0	0	0	1200	1
2	437	572	401	1461	4887	467.0	0	0	0	1200	1
2	435	569	400	1455	4894	464.0	0	0	0	1200	1
2	437	572	402	1461	4895	466.0	0	0	0	1200	1
2	435	569	400	1454	4894	464.0	0	0	0	1200	1
2	438	572	402	1462	4887	466.0	0	0	0	1200	1
2	435	569	400	1454	4894	464.0	0	0	0	1200	1
2	438	573	402	1462	4887	467.0	0	0	0	1200	1
2	435	569	400	1454	4894	464.0	0	0	0	1200	1
2	438	573	402	1462	4887	467.0	0	0	0	1200	1
2	435	569	400	1454	4894	464.0	0	0	0	1200	1
2	438	572	402	1462	4887	466.0	0	0	0	1200	1
2	435	570	400	1455	4894	465.0	0	0	0	1200	1
2	436	570	400	1456	4886	465.0	0	0	0	1200	1
2	437	572	401	1461	4887	467.0	0	0	0	1200	1
2	436	571	401	1458	4895	466.0	0	0	0	1200	1
2	438	572	402	1462	4887	466.0	0	0	0	1200	1
2	437	572	401	1461	4887	467.0	0	0	0	1200	1
2	437	572	401	1461	4887	467.0	0	0	0	1200	1
2	438	572	401	1461	4879	467.0	0	0	0	1200	1
2	437	571	401	1459	4887	465.0	0	0	0	1200	1
2	438	573	402	1462	4887	467.0	0	0	0	1200	1
2	437	571	401	1458	4887	465.0	0	0	0	1200	1
2	438	573	402	1464	4887	467.0	0	0	0	1200	1
2	436	571	401	1458	4895	466.0	0	0	0	1200	1
2	439	574	402	1465	4879	469.0	0	0	0	1200	1
2	436	571	401	1457	4895	466.0	0	0	0	1200	0
2	439	574	402	1466	4879	469.0	0	0	0	1200	0
2	418	512	280	1261	3943	467.0	0	0	0	1200	0
2	416	499	248	1214	3662	471.0	0	0	0	1200	0
2	413	496	246	1205	3660	468.0	0	0	0	1200	0
