Stim	R	G	B	C	Temp	HueLux	Yellow	Red	Blue	Blue2	Trig
1	419	510	420	1377	5210	361.0	0	0	0	1200	1
1	484	873	2345	3792	19850	0.0	0	0	0	1200	1
1	523	1082	3446	5176	26494	0.0	0	0	0	1200	1
1	523	1082	3444	5173	26480	0.0	0	0	0	1200	1
1	523	1082	3447	5177	26502	0.0	0	0	0	1200	1
1	524	1084	3448	5180	26461	0.0	0	0	0	1200	1
1	523	1082	3447	5176	26502	0.0	0	0	0	1200	1
1	525	1084	3448	5182	26413	0.0	0	0	0	1200	1
1	523	1081	3444	5172	26480	0.0	0	0	0	1200	1
1	525	1085	3448	5182	26413	0.0	0	0	0	1200	1
1	523	1082	3446	5175	26494	0.0	0	0	0	1200	1
1	525	1085	3449	5184	26420	0.0	0	0	0	1200	1
1	523	1082	3446	5174	26494	0.0	0	0	0	1200	1
1	525	1085	3448	5182	26413	0.0	0	0	0	1200	1
1	525	1085	3448	5183	26413	0.0	0	0	0	1200	1
1	523	1082	3446	5175	26494	0.0	0	0	0	1200	1
1	525	1084	3448	5182	26413	0.0	0	0	0	1200	1
1	523	1082	3446	5174	26494	0.0	0	0	0	1200	1
1	524	1083	3445	5177	26439	0.0	0	0	0	1200	1
1	524	1083	3446	5177	26446	0.0	0	0	0	1200	1
1	524	1083	3447	5179	26454	0.0	0	0	0	1200	1
1	524	1083	3447	5178	26454	0.0	0	0	0	1200	1
1	524	1083	3447	5177	26454	0.0	0	0	0	1200	1
1	524	1083	3445	5176	26439	0.0	0	0	0	1200	1
1	522	1081	3444	5171	26528	0.0	0	0	0	1200	1
1	524	1083	3447	5179	26454	0.0	0	0	0	1200	1
1	522	1081	3445	5172	26535	0.0	0	0	0	1200	1
1	524	1083	3447	5179	26454	0.0	0	0	0	1200	0
1	522	1080	3444	5170	26528	0.0	0	0	0	1200	0
1	431	570	729	1768	7835	226.0	0	0	0	1200	0
1	418	508	419	1373	5210	359.0	0	0	0	1200	0
1	421	512	421	1383	5201	363.0	0	0	0	1200	0
1	421	512	421	1383	5201	363.0	0	0	0	1200	0
1	418	509	419	1374	5210	361.0	0	0	0	1200	0
2	420	512	421	1382	5210	363.0	0	0	0	1200	1
2	492	915	2564	4067	21246	0.0	0	0	0	1200	1
2	524	1083	3447	5178	26454	0.0	0	0	0	1200	1
2	523	1082	3446	5175	26494	0.0	0	0	0	1200	1
2	523	1083	3446	5177	26494	0.0	0	0	0	1200	1
2	523	1082	3444	5173	26480	0.0	0	0	0	1200	1
2	523	1082	3445	5173	26487	0.0	0	0	0	1200	1
2	524	1083	3446	5177	26446	0.0	0	0	0	1200	1
2	522	1081	3445	5173	26535	0.0	0	0	0	1200	1
2	524	1083	3447	5178	26454	0.0	0	0	0	1200	1
2	522	1080	3442	5168	26513	0.0	0	0	0	1200	1
2	524	1083	3445	5177	26439	0.0	0	0	0	1200	1
2	522	1080	3444	5170	26528	0.0	0	0	0	1200	1
2	525	1084	3447	5180	26406	0.0	0	0	0	1200	1
2	522	1080	3444	5171	26528	0.0	0	0	0	1200	1
2	525	1084	3447	5181	26406	0.0	0	0	0	1200	1
2	522	1080	3442	5168	26513	0.0	0	0	0	1200	1
2	522	1081	3444	5172	26528	0.0	0	0	0	1200	1
2	524	1083	3447	5178	26454	0.0	0	0	0	1200	1
2	522	1081	3445	5173	26535	0.0	0	0	0	1200	1
2	524	1083	3445	5176	26439	0.0	0	0	0	1200	1
2	523	1081	3443	5172	26472	0.0	0	0	0	1200	1
2	523	1082	3445	5175	26487	0.0	0	0	0	1200	1
2	523	1082	3446	5176	26494	0.0	0	0	0	1200	1
2	523	1081	3445	5173	26487	0.0	0	0	0	1200	1
2	524	1083	3446	5177	26446	0.0	0	0	0	1200	1
2	522	1081	3444	5170	26528	0.0	0	0	0	1200	1
2	524	1083	3444	5175	26432	0.0	0	0	0	1200	0
2	522	1080	3444	5170	26528	0.0	0	0	0	1200	0
2	427	550	626	1639	6976	271.0	0	0	0	1200	0
2	417	508	418	1372	5210	360.0	0	0	0	1200	0
2	420	512	421	1382	5210	363.0	0	0	0	1200	0
2	417	508	418	1373	5210	360.0	0	0	0	1200	0
2	420	512	421	1382	5210	363.0	0	0	0	1200	0
3	418	509	419	1374	5210	361.0	0	0	0	1200	1
3	495	933	2662	1382	1468	0.0	0	0	0	1200	1
3	524	1083	3446	5178	26446	0.0	0	0	0	1200	1
3	523	1081	3443	5171	26472	0.0	0	0	0	1200	1
3	523	1082	3445	5174	26487	0.0	0	0	0	1200	1
3	523	1082	3446	5175	26494	0.0	0	0	0	1200	1
