Stim	R	G	B	C	Temp	HueLux	Yellow	Red	Blue	Blue2	Trig
1	412	495	245	1203	3656	468.0	0	1500	0	0	1
1	2354	605	459	3263	2030	0.0	0	1500	0	0	1
1	2795	628	507	3726	1963	0.0	0	1500	0	0	1
1	2796	630	508	3731	1966	0.0	0	1500	0	0	1
1	2794	627	507	3724	1964	0.0	0	1500	0	0	1
1	2795	630	508	3730	1966	0.0	0	1500	0	0	1
1	2791	627	506	3721	1964	0.0	0	1500	0	0	1
1	2796	630	508	3731	1966	0.0	0	1500	0	0	1
1	2793	627	506	3723	1964	0.0	0	1500	0	0	1
1	2796	631	508	3732	1966	0.0	0	1500	0	0	1
1	2792	627	506	3722	1964	0.0	0	1500	0	0	1
1	2794	631	508	3730	1966	0.0	0	1500	0	0	1
1	2793	628	507	3724	1964	0.0	0	1500	0	0	1
1	2796	631	508	3731	1965	0.0	0	1500	0	0	1
1	2792	628	507	3723	1964	0.0	0	1500	0	0	1
1	2793	630	508	3728	1967	0.0	0	1500	0	0	1
1	2794	629	507	3726	1964	0.0	0	1500	0	0	1
1	2794	629	507	3727	1965	0.0	0	1500	0	0	1
1	2792	630	507	3727	1965	0.0	0	1500	0	0	1
1	2792	629	507	3726	1965	0.0	0	1500	0	0	1
1	2794	630	507	3728	1965	0.0	0	1500	0	0	1
1	2794	630	507	3727	1964	0.0	0	1500	0	0	1
1	2793	629	507	3725	1964	0.0	0	1500	0	0	1
1	2792	630	507	3727	1965	0.0	0	1500	0	0	1
1	2793	629	507	3725	1964	0.0	0	1500	0	0	1
1	2794	630	508	3729	1966	0.0	0	1500	0	0	1
1	2792	628	507	3723	1964	0.0	0	1500	0	0	1
1	2793	630	507	3728	1965	0.0	0	1500	0	0	0
1	2668	620	493	3591	1980	0.0	0	1500	0	0	0
1	414	497	246	1207	3654	469.0	0	1500	0	0	0
1	411	493	245	1199	3662	465.0	0	1500	0	0	0
1	414	497	246	1208	3654	469.0	0	1500	0	0	0
1	411	494	245	1200	3662	466.0	0	1500	0	0	0
1	414	497	246	1208	3654	469.0	0	1500	0	0	0
2	411	494	245	1200	3662	466.0	0	1500	0	0	1
2	414	612	476	1208	6085	483.0	0	1500	0	0	1
2	2793	630	508	3728	1967	0.0	0	1500	0	0	1
2	2790	628	506	3721	1964	0.0	0	1500	0	0	1
2	2793	630	508	3728	1967	0.0	0	1500	0	0	1
2	2792	628	507	3723	1964	0.0	0	1500	0	0	1
2	2793	630	507	3727	1965	0.0	0	1500	0	0	1
2	2790	628	507	3722	1966	0.0	0	1500	0	0	1
2	2791	629	507	3724	1966	0.0	0	1500	0	0	1
2	2792	629	507	3725	1965	0.0	0	1500	0	0	1
2	2792	628	507	3724	1965	0.0	0	1500	0	0	1
2	2792	629	507	3726	1965	0.0	0	1500	0	0	1
2	2791	628	506	3722	1964	0.0	0	1500	0	0	1
2	2791	629	507	3724	1966	0.0	0	1500	0	0	1
2	2791	627	506	3721	1964	0.0	0	1500	0	0	1
2	2793	630	508	3727	1965	0.0	0	1500	0	0	1
2	2791	627	506	3721	1964	0.0	0	1500	0	0	1
2	2793	630	508	3728	1967	0.0	0	1500	0	0	1
