Stim	R	G	B	C	Temp	HueLux	Yellow	Red	Blue	Blue2	Trig
1	418	510	419	1376	5210	362.0	0	1500	0	0	1
1	2458	622	642	3533	2274	0.0	0	1500	0	0	1
1	2781	642	678	3877	2198	0.0	0	1500	0	0	1
1	2777	641	677	3871	2198	0.0	0	1500	0	0	1
1	2780	642	678	3876	2199	0.0	0	1500	0	0	1
1	2780	641	678	3875	2199	0.0	0	1500	0	0	1
1	2780	641	677	3874	2197	0.0	0	1500	0	0	1
1	2778	642	678	3874	2199	0.0	0	1500	0	0	1
1	2778	640	677	3871	2198	0.0	0	1500	0	0	1
1	2780	642	678	3877	2200	0.0	0	1500	0	0	1
1	2778	640	677	3871	2198	0.0	0	1500	0	0	1
1	2779	643	679	3877	2201	0.0	0	1500	0	0	1
1	2776	640	676	3868	2197	0.0	0	1500	0	0	1
1	2780	643	679	3878	2200	0.0	0	1500	0	0	1
1	2778	640	676	3870	2197	0.0	0	1500	0	0	1
1	2780	643	679	3878	2200	0.0	0	1500	0	0	1
1	2775	639	676	3866	2197	0.0	0	1500	0	0	1
1	2781	643	679	3878	2200	0.0	0	1500	0	0	1
1	2780	643	679	3879	2201	0.0	0	1500	0	0	1
1	2775	640	676	3867	2197	0.0	0	1500	0	0	1
1	2779	643	679	3876	2201	0.0	0	1500	0	0	1
1	2778	640	677	3871	2198	0.0	0	1500	0	0	1
1	2779	642	679	3876	2201	0.0	0	1500	0	0	1
1	2777	641	677	3870	2198	0.0	0	1500	0	0	1
1	2777	642	678	3874	2201	0.0	0	1500	0	0	1
1	2778	641	677	3872	2198	0.0	0	1500	0	0	1
1	2776	641	677	3871	2200	0.0	0	1500	0	0	1
1	2778	641	677	3873	2199	0.0	0	1500	0	0	0
1	2553	628	653	3634	2249	0.0	0	1500	0	0	0
1	418	509	419	1375	5210	361.0	0	1500	0	0	0
1	417	508	418	1372	5210	360.0	0	1500	0	0	0
1	418	510	419	1376	5210	362.0	0	1500	0	0	0
1	416	507	418	1370	5219	359.0	0	1500	0	0	0
1	419	510	420	1377	5210	361.0	0	1500	0	0	0
2	416	507	417	1369	5210	359.0	0	1500	0	0	1
2	419	510	420	1378	5210	361.0	0	1500	0	0	1
2	2778	643	679	3877	2202	0.0	0	1500	0	0	1
2	2778	640	676	3870	2197	0.0	0	1500	0	0	1
2	2780	643	679	3879	2201	0.0	0	1500	0	0	1
2	2777	640	676	3869	2197	0.0	0	1500	0	0	1
2	2777	643	679	3875	2201	0.0	0	1500	0	0	1
2	2777	640	676	3869	2197	0.0	0	1500	0	0	1
2	2779	643	678	3876	2199	0.0	0	1500	0	0	1
2	2777	640	677	3870	2198	0.0	0	1500	0	0	1
2	2776	642	678	3873	2201	0.0	0	1500	0	0	1
2	2774	640	677	3868	2200	0.0	0	1500	0	0	1
2	2778	642	678	3874	2199	0.0	0	1500	0	0	1
2	2778	641	677	3872	2198	0.0	0	1500	0	0	1
2	2778	641	677	3872	2198	0.0	0	1500	0	0	1
2	2775	641	677	3870	2200	0.0	0	1500	0	0	1
2	2776	641	677	3870	2199	0.0	0	1500	0	0	1
2	2778	642	678	3874	2199	0.0	0	1500	0	0	1
2	2776	640	677	3869	2199	0.0	0	1500	0	0	1
2	2776	642	678	3872	2200	0.0	0	1500	0	0	1
2	2775	640	676	3867	2197	0.0	0	1500	0	0	1
2	2776	640	676	3867	2197	0.0	0	1500	0	0	1
2	2776	643	678	3874	2201	0.0	0	1500	0	0	1
2	2775	639	676	3866	2197	0.0	0	1500	0	0	1
2	2778	643	679	3876	2201	0.0	0	1500	0	0	1
2	2775	639	676	3867	2199	0.0	0	1500	0	0	1
2	2776	643	679	3874	2201	0.0	0	1500	0	0	1
2	2774	640	676	3866	2198	0.0	0	1500	0	0	0
2	2483	626	646	3564	2270	0.0	0	1500	0	0	0
2	416	507	418	1370	5219	359.0	0	1500	0	0	0
2	418	510	420	1377	5219	361.0	0	1500	0	0	0
2	416	508	418	1371	5219	360.0	0	1500	0	0	0
2	418	510	419	1376	5210	362.0	0	1500	0	0	0
2	417	508	418	1372	5210	360.0	0	1500	0	0	0
3	418	509	419	1375	5210	361.0	0	1500	0	0	1
3	417	508	418	1373	5210	360.0	0	1500	0	0	1
3	2674	635	666	3763	2221	0.0	0	1500	0	0	1
3	2777	641	678	3873	2201	0.0	0	1500	0	0	1
3	2774	640	677	3867	2199	0.0	0	1500	0	0	1
3	2776	640	676	3868	2197	0.0	0	1500	0	0	1
3	2777	642	678	3874	2201	0.0	0	1500	0	0	1
3	2773	640	676	3865	2198	0.0	0	1500	0	0	1
3	2776	642	678	3873	2201	0.0	0	1500	0	0	1
3	2775	640	676	3867	2197	0.0	0	1500	0	0	1
3	2777	643	678	3875	2201	0.0	0	1500	0	0	1
3	2772	639	676	3864	2199	0.0	0	1500	0	0	1
3	2777	643	679	3876	2202	0.0	0	1500	0	0	1
3	2775	640	676	3866	2197	0.0	0	1500	0	0	1
3	2778	643	679	3875	2201	0.0	0	1500	0	0	1
3	2772	639	676	3863	2198	0.0	0	1500	0	0	1
3	2777	643	679	3875	2201	0.0	0	1500	0	0	1
3	2775	640	676	3867	2197	0.0	0	1500	0	0	1
3	2777	642	678	3874	2201	0.0	0	1500	0	0	1
3	2773	640	676	3865	2198	0.0	0	1500	0	0	1
3	2776	642	678	3873	2201	0.0	0	1500	0	0	1
3	2775	640	677	3868	2199	0.0	0	1500	0	0	1
3	2776	642	678	3871	2200	0.0	0	1500	0	0	1
3	2773	641	677	3867	2199	0.0	0	1500	0	0	1
3	2775	641	677	3870	2200	0.0	0	1500	0	0	1
3	2773	640	677	3867	2201	0.0	0	1500	0	0	1
3	2773	642	677	3869	2201	0.0	0	1500	0	0	1
3	2774	640	676	3867	2199	0.0	0	1500	0	0	0
3	2327	617	629	3397	2311	0.0	0	1500	0	0	0
3	416	507	417	1370	5210	359.0	0	1500	0	0	0
3	418	510	420	1377	5219	361.0	0	1500	0	0	0
3	416	507	417	1368	5210	359.0	0	1500	0	0	0
3	418	510	420	1377	5219	361.0	0	1500	0	0	0
3	416	506	417	1368	5210	358.0	0	1500	0	0	0
4	418	510	420	1377	5219	361.0	0	1500	0	0	1
4	415	506	417	1367	5219	358.0	0	1500	0	0	1
4	418	510	420	1377	5219	361.0	0	1500	0	0	1
4	1572	572	544	2592	2631	0.0	0	1500	0	0	1
4	1621	578	552	2650	2608	0.0	0	1500	0	0	1
4	1619	575	549	2643	2602	0.0	0	1500	0	0	1
4	1615	577	551	2644	2612	0.0	0	1500	0	0	1
4	1616	575	549	2641	2606	0.0	0	1500	0	0	1
4	1619	576	550	2645	2605	0.0	0	1500	0	0	1
4	1618	576	550	2645	2607	0.0	0	1500	0	0	1
4	1618	576	550	2644	2605	0.0	0	1500	0	0	1
4	1620	576	550	2646	2604	0.0	0	1500	0	0	1
4	1620	576	551	2647	2606	0.0	0	1500	0	0	1
4	1616	575	549	2641	2606	0.0	0	1500	0	0	1
4	1604	576	549	2631	2616	0.0	0	1500	0	0	1
4	1572	572	544	2594	2632	0.0	0	1500	0	0	1
4	1574	574	546	2600	2636	0.0	0	1500	0	0	1
