Stim	R	G	B	C	Temp	HueLux	Yellow	Red	Blue	Blue2	Trig
1	417	500	248	1216	3656	472.0	0	0	0	0	1
1	414	496	247	1209	3664	467.0	0	0	0	0	1
1	417	500	249	1217	3666	471.0	0	0	0	0	1
1	414	496	247	1209	3664	467.0	0	0	0	0	1
1	417	500	248	1217	3656	472.0	0	0	0	0	1
1	414	496	247	1209	3664	467.0	0	0	0	0	1
1	416	500	248	1217	3662	472.0	0	0	0	0	1
1	414	497	247	1209	3664	469.0	0	0	0	0	1
1	414	497	247	1211	3664	469.0	0	0	0	0	1
1	416	499	248	1216	3662	471.0	0	0	0	0	1
1	415	498	247	1212	3658	470.0	0	0	0	0	1
1	416	499	248	1215	3662	471.0	0	0	0	0	1
1	415	498	248	1213	3667	469.0	0	0	0	0	1
1	415	498	248	1214	3667	469.0	0	0	0	0	1
1	416	499	248	1214	3662	471.0	0	0	0	0	1
1	415	498	247	1212	3658	470.0	0	0	0	0	1
1	416	499	248	1215	3662	471.0	0	0	0	0	1
1	414	497	247	1211	3664	469.0	0	0	0	0	1
1	416	499	248	1216	3662	471.0	0	0	0	0	1
1	414	497	247	1210	3664	469.0	0	0	0	0	1
1	417	500	248	1217	3656	472.0	0	0	0	0	1
1	414	497	247	1210	3664	469.0	0	0	0	0	1
1	417	500	249	1218	3666	471.0	0	0	0	0	1
1	414	497	247	1210	3664	469.0	0	0	0	0	1
1	417	500	249	1219	3666	471.0	0	0	0	0	1
1	414	497	247	1210	3664	469.0	0	0	0	0	1
1	413	496	247	1207	3669	468.0	0	0	0	0	1
1	415	498	248	1213	3667	469.0	0	0	0	0	0
1	413	495	246	1206	3660	467.0	0	0	0	0	0
1	414	497	247	1211	3664	469.0	0	0	0	0	0
1	413	495	246	1206	3660	467.0	0	0	0	0	0
1	414	497	247	1209	3664	469.0	0	0	0	0	0
1	413	496	247	1207	3669	468.0	0	0	0	0	0
1	413	496	247	1209	3669	468.0	0	0	0	0	0
2	414	496	247	1209	3664	467.0	0	0	0	0	1
2	413	496	247	1208	3669	468.0	0	0	0	0	1
2	414	497	247	1210	3664	469.0	0	0	0	0	1
2	413	495	246	1206	3660	467.0	0	0	0	0	1
2	414	497	247	1211	3664	469.0	0	0	0	0	1
2	412	495	246	1205	3665	467.0	0	0	0	0	1
2	415	498	248	1212	3667	469.0	0	0	0	0	1
2	412	495	246	1205	3665	467.0	0	0	0	0	1
2	415	498	248	1213	3667	469.0	0	0	0	0	1
2	412	495	246	1205	3665	467.0	0	0	0	0	1
2	415	498	248	1214	3667	469.0	0	0	0	0	1
2	415	498	248	1213	3667	469.0	0	0	0	0	1
2	412	495	246	1205	3665	467.0	0	0	0	0	1
2	415	498	248	1213	3667	469.0	0	0	0	0	1
2	413	495	246	1206	3660	467.0	0	0	0	0	1
2	415	498	248	1212	3667	469.0	0	0	0	0	1
2	413	496	247	1207	3669	468.0	0	0	0	0	1
2	414	497	247	1211	3664	469.0	0	0	0	0	1
2	413	496	247	1208	3669	468.0	0	0	0	0	1
2	414	497	247	1210	3664	469.0	0	0	0	0	1
2	414	497	247	1210	3664	469.0	0	0	0	0	1
2	413	496	247	1208	3669	468.0	0	0	0	0	1
2	414	497	247	1211	3664	469.0	0	0	0	0	1
2	413	496	247	1207	3669	468.0	0	0	0	0	1
2	414	497	248	1211	3673	468.0	0	0	0	0	1
2	412	495	246	1205	3665	467.0	0	0	0	0	1
