Stim	R	G	B	C	Temp	HueLux	Yellow	Red	Blue	Blue2	Trig
1	422	513	422	1385	5201	363.0	0	0	0	0	1
1	420	510	420	1378	5201	361.0	0	0	0	0	1
1	422	513	422	1386	5201	363.0	0	0	0	0	1
1	420	511	420	1380	5201	362.0	0	0	0	0	1
1	422	512	422	1384	5201	362.0	0	0	0	0	1
1	420	511	421	1380	5210	362.0	0	0	0	0	1
1	421	512	421	1382	5201	363.0	0	0	0	0	1
1	421	512	421	1383	5201	363.0	0	0	0	0	1
1	422	512	422	1384	5201	362.0	0	0	0	0	1
1	420	511	420	1379	5201	362.0	0	0	0	0	1
1	421	511	421	1381	5201	361.0	0	0	0	0	1
1	418	508	418	1373	5201	360.0	0	0	0	0	1
1	420	511	420	1380	5201	362.0	0	0	0	0	1
1	418	508	418	1371	5201	360.0	0	0	0	0	1
1	420	511	420	1379	5201	362.0	0	0	0	0	1
1	417	507	417	1370	5201	359.0	0	0	0	0	1
1	420	511	420	1379	5201	362.0	0	0	0	0	1
1	417	507	417	1370	5201	359.0	0	0	0	0	1
1	420	510	420	1379	5201	361.0	0	0	0	0	1
1	417	507	418	1370	5210	358.0	0	0	0	0	1
1	420	510	420	1379	5201	361.0	0	0	0	0	1
1	418	508	418	1373	5201	360.0	0	0	0	0	1
1	421	512	421	1383	5201	363.0	0	0	0	0	1
1	420	510	420	1378	5201	361.0	0	0	0	0	1
1	421	512	421	1382	5201	363.0	0	0	0	0	1
1	420	510	420	1379	5201	361.0	0	0	0	0	1
1	420	511	420	1382	5201	362.0	0	0	0	0	1
1	420	511	420	1380	5201	362.0	0	0	0	0	0
1	421	511	421	1382	5201	361.0	0	0	0	0	0
1	420	510	420	1378	5201	361.0	0	0	0	0	0
1	421	512	421	1383	5201	363.0	0	0	0	0	0
1	420	510	420	1378	5201	361.0	0	0	0	0	0
1	422	512	422	1384	5201	362.0	0	0	0	0	0
1	419	510	419	1377	5201	362.0	0	0	0	0	0
2	422	513	422	1385	5201	363.0	0	0	0	0	1
2	419	509	419	1376	5201	360.0	0	0	0	0	1
