Stim	R	G	B	C	Temp	HueLux	Yellow	Red	Blue	Blue2	Trig
1	410	492	244	1197	3658	464.0	1800	0	0	0	1
1	822	646	307	1841	2813	528.0	1800	0	0	0	1
1	2275	1181	525	4094	2270	741.0	1800	0	0	0	1
1	2272	1180	525	4091	2271	740.0	1800	0	0	0	1
1	2270	1179	524	4086	2270	740.0	1800	0	0	0	1
1	2271	1180	524	4088	2270	741.0	1800	0	0	0	1
1	2270	1179	524	4087	2270	740.0	1800	0	0	0	1
1	2270	1180	525	4088	2272	741.0	1800	0	0	0	1
1	2268	1178	524	4083	2271	739.0	1800	0	0	0	1
1	2271	1180	525	4090	2271	740.0	1800	0	0	0	1
1	2269	1178	524	4084	2270	739.0	1800	0	0	0	1
1	2270	1180	525	4088	2272	741.0	1800	0	0	0	1
1	2267	1177	523	4081	2269	738.0	1800	0	0	0	1
1	2272	1181	525	4091	2271	742.0	1800	0	0	0	1
1	2269	1178	523	4083	2269	739.0	1800	0	0	0	1
1	2270	1181	525	4089	2272	742.0	1800	0	0	0	1
1	2267	1177	523	4081	2269	738.0	1800	0	0	0	1
1	2271	1181	525	4091	2271	742.0	1800	0	0	0	1
1	2269	1178	524	4084	2270	739.0	1800	0	0	0	1
1	2270	1181	525	4089	2272	742.0	1800	0	0	0	1
1	2267	1177	523	4082	2269	738.0	1800	0	0	0	1
1	2271	1180	525	4090	2271	740.0	1800	0	0	0	1
1	2269	1178	524	4085	2270	739.0	1800	0	0	0	1
1	2270	1180	525	4088	2272	741.0	1800	0	0	0	1
1	2268	1178	524	4083	2271	739.0	1800	0	0	0	1
1	2270	1179	524	4087	2270	740.0	1800	0	0	0	1
1	2269	1179	524	4086	2270	740.0	1800	0	0	0	1
1	2268	1179	524	4085	2271	741.0	1800	0	0	0	0
1	1385	852	391	2712	2466	608.0	1800	0	0	0	0
1	412	494	245	1202	3656	466.0	1800	0	0	0	0
1	410	492	244	1196	3658	464.0	1800	0	0	0	0
1	412	495	245	1202	3656	468.0	1800	0	0	0	0
1	410	492	244	1195	3658	464.0	1800	0	0	0	0
1	412	495	245	1204	3656	468.0	1800	0	0	0	0
2	410	492	244	1196	3658	464.0	1800	0	0	0	1
2	944	691	325	2029	2702	546.0	1800	0	0	0	1
2	2267	1177	523	4080	2269	738.0	1800	0	0	0	1
2	2269	1180	525	4087	2272	741.0	1800	0	0	0	1
2	2268	1177	523	4081	2269	738.0	1800	0	0	0	1
2	2270	1180	525	4089	2272	741.0	1800	0	0	0	1
2	2267	1177	523	4081	2269	738.0	1800	0	0	0	1
2	2269	1179	524	4086	2270	740.0	1800	0	0	0	1
2	2267	1177	523	4081	2269	738.0	1800	0	0	0	1
2	2269	1178	524	4084	2270	739.0	1800	0	0	0	1
2	2268	1179	524	4085	2271	741.0	1800	0	0	0	1
2	2267	1178	524	4082	2271	739.0	1800	0	0	0	1
2	2269	1179	524	4085	2270	740.0	1800	0	0	0	1
2	2269	1179	524	4086	2270	740.0	1800	0	0	0	1
2	2268	1178	524	4083	2271	739.0	1800	0	0	0	1
2	2268	1179	524	4085	2271	741.0	1800	0	0	0	1
2	2268	1177	523	4082	2269	738.0	1800	0	0	0	1
2	2270	1180	525	4088	2272	741.0	1800	0	0	0	1
2	2268	1177	523	4082	2269	738.0	1800	0	0	0	1
2	2269	1180	525	4087	2272	741.0	1800	0	0	0	1
2	2266	1176	523	4079	2270	737.0	1800	0	0	0	1
2	2270	1180	525	4089	2272	741.0	1800	0	0	0	1
