Stim	R	G	B	C	Temp	HueLux	Yellow	Red	Blue	Blue2	Trig
1	396	475	234	1153	3642	449.0	0	0	0	0	1
1	398	478	236	1162	3650	452.0	0	0	0	0	1
1	396	475	235	1153	3651	449.0	0	0	0	0	1
1	398	478	236	1161	3650	452.0	0	0	0	0	1
1	396	475	235	1154	3651	449.0	0	0	0	0	1
1	398	478	236	1161	3650	452.0	0	0	0	0	1
1	396	476	235	1155	3651	450.0	0	0	0	0	1
1	398	478	236	1161	3650	452.0	0	0	0	0	1
1	397	476	235	1157	3646	450.0	0	0	0	0	1
1	397	477	235	1158	3646	451.0	0	0	0	0	1
1	398	478	236	1160	3650	452.0	0	0	0	0	1
1	399	478	236	1162	3644	452.0	0	0	0	0	1
1	398	477	236	1159	3650	450.0	0	0	0	0	1
1	399	479	236	1163	3644	453.0	0	0	0	0	1
1	396	475	235	1154	3651	449.0	0	0	0	0	1
1	397	477	236	1159	3655	451.0	0	0	0	0	1
1	395	474	234	1152	3648	448.0	0	0	0	0	1
1	398	478	236	1160	3650	452.0	0	0	0	0	1
1	396	475	235	1154	3651	449.0	0	0	0	0	1
1	399	479	236	1163	3644	453.0	0	0	0	0	1
1	396	476	235	1155	3651	450.0	0	0	0	0	1
1	399	479	237	1164	3654	453.0	0	0	0	0	1
1	397	476	235	1156	3646	450.0	0	0	0	0	1
1	399	479	237	1164	3654	453.0	0	0	0	0	1
1	397	477	235	1158	3646	451.0	0	0	0	0	1
1	399	479	237	1164	3654	453.0	0	0	0	0	1
1	398	477	236	1159	3650	450.0	0	0	0	0	1
1	398	478	236	1163	3650	452.0	0	0	0	0	0
1	398	478	236	1162	3650	452.0	0	0	0	0	0
1	399	479	236	1162	3644	453.0	0	0	0	0	0
1	398	478	236	1161	3650	452.0	0	0	0	0	0
1	399	480	237	1164	3654	454.0	0	0	0	0	0
1	398	478	236	1161	3650	452.0	0	0	0	0	0
1	400	480	237	1167	3648	454.0	0	0	0	0	0
2	398	478	236	1160	3650	452.0	0	0	0	0	1
2	401	481	237	1168	3642	455.0	0	0	0	0	1
2	398	478	236	1161	3650	452.0	0	0	0	0	1
2	401	481	238	1169	3652	454.0	0	0	0	0	1
2	398	478	236	1161	3650	452.0	0	0	0	0	1
2	401	482	238	1169	3652	456.0	0	0	0	0	1
2	398	478	236	1161	3650	452.0	0	0	0	0	1
2	401	481	238	1169	3652	454.0	0	0	0	0	1
2	399	479	236	1162	3644	453.0	0	0	0	0	1
2	401	481	237	1169	3642	455.0	0	0	0	0	1
2	399	479	237	1164	3654	453.0	0	0	0	0	1
2	401	481	237	1168	3642	455.0	0	0	0	0	1
