Stim	R	G	B	C	Temp	HueLux	Yellow	Red	Blue	Blue2	Trig
1	56	187	272	527	19896	77.0	0	0	0	1200	1
1	91	419	1507	2066	64486	0.0	0	0	0	1200	1
1	144	770	3388	4410	25495	0.0	0	0	0	1200	1
1	144	771	3386	4409	25442	0.0	0	0	0	1200	1
1	144	771	3392	4415	25601	0.0	0	0	0	1200	1
1	144	771	3388	4411	25495	0.0	0	0	0	1200	1
1	144	770	3384	4406	25390	0.0	0	0	0	1200	1
1	144	772	3393	4417	25628	0.0	0	0	0	1200	1
1	144	770	3387	4409	25469	0.0	0	0	0	1200	1
1	144	771	3391	4414	25575	0.0	0	0	0	1200	1
1	144	771	3386	4409	25442	0.0	0	0	0	1200	1
1	144	770	3385	4407	25416	0.0	0	0	0	1200	1
1	144	772	3393	4417	25628	0.0	0	0	0	1200	1
1	144	770	3384	4406	25390	0.0	0	0	0	1200	1
1	144	771	3387	4410	25469	0.0	0	0	0	1200	1
1	144	771	3391	4414	25575	0.0	0	0	0	1200	1
1	144	771	3386	4408	25442	0.0	0	0	0	1200	1
1	144	770	3386	4408	25442	0.0	0	0	0	1200	1
1	144	772	3392	4417	25601	0.0	0	0	0	1200	1
1	144	770	3384	4405	25390	0.0	0	0	0	1200	1
1	144	772	3390	4414	25548	0.0	0	0	0	1200	1
1	144	770	3389	4412	25522	0.0	0	0	0	1200	1
1	144	771	3386	4409	25442	0.0	0	0	0	1200	1
1	144	770	3389	4411	25522	0.0	0	0	0	1200	1
1	144	772	3390	4414	25548	0.0	0	0	0	1200	1
1	144	769	3384	4405	25390	0.0	0	0	0	1200	1
1	144	772	3391	4415	25575	0.0	0	0	0	1200	1
1	144	771	3385	4410	25416	0.0	0	0	0	1200	0
1	89	404	1432	1972	62693	0.0	0	0	0	1200	0
1	56	188	273	529	19964	78.0	0	0	0	1200	0
1	56	187	271	525	19828	78.0	0	0	0	1200	0
1	56	188	273	529	19964	78.0	0	0	0	1200	0
1	56	187	272	525	19896	77.0	0	0	0	1200	0
1	56	188	273	528	19964	78.0	0	0	0	1200	0
2	56	187	272	525	19896	77.0	0	0	0	1200	1
2	94	439	1617	2203	1395	0.0	0	0	0	1200	1
2	144	770	3384	4406	25390	0.0	0	0	0	1200	1
2	144	772	3392	4417	25601	0.0	0	0	0	1200	1
2	144	770	3384	4406	25390	0.0	0	0	0	1200	1
2	144	771	3386	4409	25442	0.0	0	0	0	1200	1
2	144	771	3391	4414	25575	0.0	0	0	0	1200	1
2	144	770	3385	4408	25416	0.0	0	0	0	1200	1
2	144	770	3386	4408	25442	0.0	0	0	0	1200	1
2	144	772	3392	4416	25601	0.0	0	0	0	1200	1
2	144	770	3384	4406	25390	0.0	0	0	0	1200	1
2	144	771	3388	4412	25495	0.0	0	0	0	1200	1
2	144	770	3385	4407	25416	0.0	0	0	0	1200	1
2	144	771	3389	4413	25522	0.0	0	0	0	1200	1
2	144	771	3388	4412	25495	0.0	0	0	0	1200	1
2	144	770	3384	4407	25390	0.0	0	0	0	1200	1
2	144	771	3391	4415	25575	0.0	0	0	0	1200	1
2	144	770	3385	4407	25416	0.0	0	0	0	1200	1
2	144	770	3387	4410	25469	0.0	0	0	0	1200	1
2	144	771	3391	4415	25575	0.0	0	0	0	1200	1
2	144	770	3384	4406	25390	0.0	0	0	0	1200	1
2	144	771	3391	4415	25575	0.0	0	0	0	1200	1
2	144	770	3387	4410	25469	0.0	0	0	0	1200	1
2	144	770	3385	4407	25416	0.0	0	0	0	1200	1
2	144	771	3390	4414	25548	0.0	0	0	0	1200	1
2	144	770	3386	4409	25442	0.0	0	0	0	1200	1
2	144	770	3384	4406	25390	0.0	0	0	0	1200	1
2	144	772	3392	4416	25601	0.0	0	0	0	1200	0
2	144	770	3384	4405	25390	0.0	0	0	0	1200	0
2	89	406	1440	1983	63035	0.0	0	0	0	1200	0
2	56	188	273	528	19964	78.0	0	0	0	1200	0
2	56	187	272	525	19896	77.0	0	0	0	1200	0
2	56	188	273	528	19964	78.0	0	0	0	1200	0
2	56	187	272	525	19896	77.0	0	0	0	1200	0
3	56	188	273	528	19964	78.0	0	0	0	1200	1
3	93	436	1601	2183	1444	0.0	0	0	0	1200	1
3	144	770	3385	4408	25416	0.0	0	0	0	1200	1
3	144	770	3389	4412	25522	0.0	0	0	0	1200	1
3	144	771	3388	4412	25495	0.0	0	0	0	1200	1
3	144	769	3383	4404	25363	0.0	0	0	0	1200	1
3	144	772	3392	4416	25601	0.0	0	0	0	1200	1
3	144	769	3385	4406	25416	0.0	0	0	0	1200	1
3	144	770	3384	4407	25390	0.0	0	0	0	1200	1
3	144	770	3390	4412	25548	0.0	0	0	0	1200	1
3	144	771	3386	4409	25442	0.0	0	0	0	1200	1
3	144	769	3383	4404	25363	0.0	0	0	0	1200	1
3	144	772	3392	4416	25601	0.0	0	0	0	1200	1
3	144	769	3383	4405	25363	0.0	0	0	0	1200	1
3	144	770	3390	4413	25548	0.0	0	0	0	1200	1
3	144	770	3385	4407	25416	0.0	0	0	0	1200	1
3	144	770	3385	4407	25416	0.0	0	0	0	1200	1
3	144	772	3391	4415	25575	0.0	0	0	0	1200	1
3	144	769	3383	4404	25363	0.0	0	0	0	1200	1
3	144	771	3389	4413	25522	0.0	0	0	0	1200	1
3	144	770	3388	4410	25495	0.0	0	0	0	1200	1
3	144	770	3384	4407	25390	0.0	0	0	0	1200	1
3	144	770	3389	4411	25522	0.0	0	0	0	1200	1
3	144	771	3388	4411	25495	0.0	0	0	0	1200	1
3	144	769	3383	4404	25363	0.0	0	0	0	1200	1
3	144	772	3391	4415	25575	0.0	0	0	0	1200	1
3	144	770	3385	4407	25416	0.0	0	0	0	1200	1
3	144	770	3384	4406	25390	0.0	0	0	0	1200	0
3	144	771	3390	4413	25548	0.0	0	0	0	1200	0
3	86	386	1330	1846	60313	0.0	0	0	0	1200	0
3	56	187	272	526	19896	77.0	0	0	0	1200	0
3	56	188	273	527	19964	78.0	0	0	0	1200	0
3	56	188	273	527	19964	78.0	0	0	0	1200	0
3	56	187	272	526	19896	77.0	0	0	0	1200	0
4	56	188	272	527	19896	79.0	0	0	0	1200	1
4	56	187	272	526	19896	77.0	0	0	0	1200	1
4	92	425	1540	2107	65167	0.0	0	0	0	1200	1
4	101	484	1855	2499	5830	0.0	0	0	0	1200	1
4	101	485	1861	2507	6057	0.0	0	0	0	1200	1
4	99	473	1800	2431	5127	0.0	0	0	0	1200	1
4	99	474	1807	2439	5397	0.0	0	0	0	1200	1
4	99	473	1800	2432	5127	0.0	0	0	0	1200	1
4	99	473	1800	2431	5127	0.0	0	0	0	1200	1
4	99	474	1800	2432	5127	0.0	0	0	0	1200	1
4	99	473	1800	2430	5127	0.0	0	0	0	1200	1
4	99	474	1801	2432	5166	0.0	0	0	0	1200	1
