Stim	R	G	B	C	Temp	HueLux	Yellow	Red	Blue	Blue2	Trig
1	94	319	252	692	11605	288.0	0	0	0	1200	1
1	142	650	1841	2700	50786	0.0	0	0	0	1200	1
1	154	735	2253	3218	57130	0.0	0	0	0	1200	1
1	154	737	2258	3227	57254	0.0	0	0	0	1200	1
1	154	734	2253	3219	57130	0.0	0	0	0	1200	1
1	154	736	2254	3222	57155	0.0	0	0	0	1200	1
1	154	735	2257	3222	57229	0.0	0	0	0	1200	1
1	154	736	2254	3221	57155	0.0	0	0	0	1200	1
1	153	734	2255	3219	57544	0.0	0	0	0	1200	1
1	154	735	2256	3223	57205	0.0	0	0	0	1200	1
1	153	732	2251	3214	57445	0.0	0	0	0	1200	1
1	153	735	2257	3223	57594	0.0	0	0	0	1200	1
1	153	732	2252	3214	57470	0.0	0	0	0	1200	1
1	153	734	2254	3219	57520	0.0	0	0	0	1200	1
1	153	733	2256	3219	57569	0.0	0	0	0	1200	1
1	154	735	2253	3219	57130	0.0	0	0	0	1200	1
1	154	735	2256	3222	57205	0.0	0	0	0	1200	1
1	153	732	2251	3214	57445	0.0	0	0	0	1200	1
1	154	735	2258	3224	57254	0.0	0	0	0	1200	1
1	153	732	2252	3214	57470	0.0	0	0	0	1200	1
1	154	735	2256	3222	57205	0.0	0	0	0	1200	1
1	153	733	2255	3218	57544	0.0	0	0	0	1200	1
1	154	734	2253	3218	57130	0.0	0	0	0	1200	1
1	153	733	2256	3219	57569	0.0	0	0	0	1200	1
1	153	734	2253	3218	57495	0.0	0	0	0	1200	1
1	153	732	2253	3215	57495	0.0	0	0	0	1200	1
1	153	734	2256	3221	57569	0.0	0	0	0	1200	1
1	152	731	2250	3211	57789	0.0	0	0	0	1200	0
1	153	731	2247	3208	57345	0.0	0	0	0	1200	0
1	93	315	249	684	11591	284.0	0	0	0	1200	0
1	93	316	250	687	11632	285.0	0	0	0	1200	0
1	93	315	249	683	11591	284.0	0	0	0	1200	0
1	93	316	250	686	11632	285.0	0	0	0	1200	0
1	93	315	249	683	11591	284.0	0	0	0	1200	0
2	93	316	249	685	11591	286.0	0	0	0	1200	1
2	143	661	1912	2784	52333	0.0	0	0	0	1200	1
2	152	730	2251	3212	57814	0.0	0	0	0	1200	1
2	153	731	2251	3212	57445	0.0	0	0	0	1200	1
2	153	731	2254	3216	57520	0.0	0	0	0	1200	1
2	153	731	2251	3212	57445	0.0	0	0	0	1200	1
2	153	732	2252	3214	57470	0.0	0	0	0	1200	1
2	153	732	2255	3218	57544	0.0	0	0	0	1200	1
2	153	732	2251	3213	57445	0.0	0	0	0	1200	1
2	153	732	2254	3217	57520	0.0	0	0	0	1200	1
2	153	733	2254	3217	57520	0.0	0	0	0	1200	1
2	153	732	2251	3213	57445	0.0	0	0	0	1200	1
2	153	733	2256	3219	57569	0.0	0	0	0	1200	1
2	153	732	2252	3214	57470	0.0	0	0	0	1200	1
2	153	732	2252	3214	57470	0.0	0	0	0	1200	1
2	153	733	2255	3218	57544	0.0	0	0	0	1200	1
2	153	732	2251	3214	57445	0.0	0	0	0	1200	1
2	153	732	2252	3214	57470	0.0	0	0	0	1200	1
2	153	733	2256	3219	57569	0.0	0	0	0	1200	1
2	153	733	2254	3218	57520	0.0	0	0	0	1200	1
2	153	732	2254	3216	57520	0.0	0	0	0	1200	1
2	153	733	2251	3214	57445	0.0	0	0	0	1200	1
2	153	732	2253	3215	57495	0.0	0	0	0	1200	1
2	153	733	2254	3217	57520	0.0	0	0	0	1200	1
2	153	731	2250	3211	57420	0.0	0	0	0	1200	1
2	153	734	2256	3220	57569	0.0	0	0	0	1200	1
2	153	731	2251	3212	57445	0.0	0	0	0	1200	1
2	153	733	2251	3214	57445	0.0	0	0	0	1200	0
2	153	731	2250	3211	57420	0.0	0	0	0	1200	0
2	93	317	250	688	11632	287.0	0	0	0	1200	0
2	93	315	249	684	11591	284.0	0	0	0	1200	0
2	93	317	251	688	11673	286.0	0	0	0	1200	0
2	93	316	249	685	11591	286.0	0	0	0	1200	0
2	94	318	251	689	11564	287.0	0	0	0	1200	0
3	93	316	249	684	11591	286.0	0	0	0	1200	1
3	94	318	251	689	11564	287.0	0	0	0	1200	1
3	142	660	1906	2777	52530	0.0	0	0	0	1200	1
3	153	731	2250	3211	57420	0.0	0	0	0	1200	1
3	153	734	2255	3220	57544	0.0	0	0	0	1200	1
3	153	731	2252	3213	57470	0.0	0	0	0	1200	1
3	153	733	2251	3215	57445	0.0	0	0	0	1200	1
3	153	731	2254	3215	57520	0.0	0	0	0	1200	1
3	153	733	2253	3216	57495	0.0	0	0	0	1200	1
3	153	731	2250	3210	57420	0.0	0	0	0	1200	1
3	153	734	2256	3220	57569	0.0	0	0	0	1200	1
3	153	731	2251	3211	57445	0.0	0	0	0	1200	1
3	153	733	2251	3214	57445	0.0	0	0	0	1200	1
3	153	732	2254	3216	57520	0.0	0	0	0	1200	1
3	153	733	2252	3216	57470	0.0	0	0	0	1200	1
3	153	731	2251	3211	57445	0.0	0	0	0	1200	1
3	153	734	2256	3221	57569	0.0	0	0	0	1200	1
3	153	731	2250	3212	57420	0.0	0	0	0	1200	1
3	153	733	2252	3216	57470	0.0	0	0	0	1200	1
3	153	732	2255	3217	57544	0.0	0	0	0	1200	1
3	153	733	2251	3215	57445	0.0	0	0	0	1200	1
3	153	734	2256	3220	57569	0.0	0	0	0	1200	1
3	153	731	2250	3211	57420	0.0	0	0	0	1200	1
3	153	733	2253	3217	57495	0.0	0	0	0	1200	1
3	153	732	2254	3217	57520	0.0	0	0	0	1200	1
3	153	733	2251	3215	57445	0.0	0	0	0	1200	1
3	153	732	2253	3215	57495	0.0	0	0	0	1200	1
3	153	734	2255	3219	57544	0.0	0	0	0	1200	0
3	151	717	2180	3123	56396	0.0	0	0	0	1200	0
3	93	317	250	688	11632	287.0	0	0	0	1200	0
3	93	316	249	685	11591	286.0	0	0	0	1200	0
3	93	316	250	686	11632	285.0	0	0	0	1200	0
3	93	315	249	683	11591	284.0	0	0	0	1200	0
3	93	316	249	685	11591	286.0	0	0	0	1200	0
4	93	314	249	683	11591	283.0	0	0	0	1200	1
4	93	315	249	684	11591	284.0	0	0	0	1200	1
4	109	427	792	1369	29074	58.0	0	0	0	1200	1
4	123	527	1267	1969	40637	0.0	0	0	0	1200	1
4	123	527	1271	1974	40761	0.0	0	0	0	1200	1
4	123	525	1262	1963	40482	0.0	0	0	0	1200	1
4	123	527	1271	1975	40761	0.0	0	0	0	1200	1
4	122	519	1231	1924	39834	0.0	0	0	0	1200	1
4	122	519	1231	1924	39834	0.0	0	0	0	1200	1
4	122	519	1231	1925	39834	0.0	0	0	0	1200	1
4	122	519	1231	1924	39834	0.0	0	0	0	1200	1
4	122	519	1232	1925	39865	0.0	0	0	0	1200	1
4	122	519	1231	1924	39834	0.0	0	0	0	1200	1
4	122	520	1236	1931	39990	0.0	0	0	0	1200	1
4	122	519	1231	1924	39834	0.0	0	0	0	1200	1
4	122	519	1232	1925	39865	0.0	0	0	0	1200	1
4	122	518	1231	1922	39834	0.0	0	0	0	1200	1
4	122	519	1232	1925	39865	0.0	0	0	0	1200	1
4	122	520	1235	1929	39959	0.0	0	0	0	1200	1
4	123	527	1267	1970	40637	0.0	0	0	0	1200	1
4	123	527	1269	1972	40699	0.0	0	0	0	1200	1
4	123	527	1266	1968	40606	0.0	0	0	0	1200	1
4	123	526	1266	1968	40606	0.0	0	0	0	1200	1
4	123	526	1269	1974	40699	0.0	0	0	0	1200	1
4	123	527	1267	1970	40637	0.0	0	0	0	1200	1
4	123	527	1270	1973	40730	0.0	0	0	0	1200	1
4	123	528	1269	1973	40699	0.0	0	0	0	1200	1
4	123	526	1266	1967	40606	0.0	0	0	0	1200	0
4	123	528	1272	1976	40791	0.0	0	0	0	1200	0
4	93	316	254	689	11796	282.0	0	0	0	1200	0
4	93	316	250	686	11632	285.0	0	0	0	1200	0
4	92	314	248	682	11661	284.0	0	0	0	1200	0
4	93	316	250	686	11632	285.0	0	0	0	1200	0
4	92	314	248	681	11661	284.0	0	0	0	1200	0
5	93	316	250	686	11632	285.0	0	0	131	1200	1
5	92	314	248	682	11661	284.0	0	0	131	1200	1
5	93	318	261	700	12083	280.0	0	0	131	1200	1
5	122	523	1254	1952	40552	0.0	0	0	131	1200	1
5	123	524	1252	1951	40172	0.0	0	0	131	1200	1
5	122	522	1250	1946	40427	0.0	0	0	131	1200	1
5	123	524	1252	1951	40172	0.0	0	0	131	1200	1
5	123	528	1280	1985	41039	0.0	0	0	131	1200	1
5	123	530	1289	1995	41318	0.0	0	0	131	1200	1
5	124	531	1286	1995	40904	0.0	0	0	131	1200	1
5	123	530	1286	1992	41225	0.0	0	0	131	1200	1
5	124	532	1290	2000	41027	0.0	0	0	131	1200	1
5	123	529	1285	1990	41194	0.0	0	0	131	1200	1
5	124	532	1289	1998	40996	0.0	0	0	131	1200	1
5	123	530	1288	1994	41287	0.0	0	0	131	1200	1
5	124	531	1286	1995	40904	0.0	0	0	131	1200	1
5	123	530	1289	1995	41318	0.0	0	0	131	1200	1
5	124	532	1288	1997	40965	0.0	0	0	131	1200	1
5	122	522	1250	1947	40427	0.0	0	0	131	1200	1
5	123	524	1252	1951	40172	0.0	0	0	131	1200	1
5	122	522	1250	1947	40427	0.0	0	0	131	1200	1
5	123	524	1252	1951	40172	0.0	0	0	131	1200	1
5	122	522	1250	1947	40427	0.0	0	0	131	1200	1
5	123	525	1256	1957	40296	0.0	0	0	131	1200	1
5	122	522	1250	1947	40427	0.0	0	0	131	1200	1
5	123	524	1252	1951	40172	0.0	0	0	131	1200	1
5	123	524	1252	1951	40172	0.0	0	0	131	1200	1
5	122	522	1250	1947	40427	0.0	0	0	131	1200	0
5	123	527	1264	1967	40544	0.0	0	0	131	1200	0
