Stim	R	G	B	C	Temp	HueLux	Yellow	Red	Blue	Blue2	Trig
1	383	364	277	1056	4146	247.0	0	0	0	1200	1
1	494	587	1109	2254	9944	0.0	0	0	0	1200	1
1	720	1039	2768	4652	16038	0.0	0	0	0	1200	1
1	719	1037	2770	4651	16069	0.0	0	0	0	1200	1
1	721	1039	2767	4651	16012	0.0	0	0	0	1200	1
1	718	1036	2765	4645	16063	0.0	0	0	0	1200	1
1	722	1040	2772	4660	16018	0.0	0	0	0	1200	1
1	718	1037	2767	4646	16073	0.0	0	0	0	1200	1
1	719	1037	2769	4650	16064	0.0	0	0	0	1200	1
1	721	1040	2770	4656	16028	0.0	0	0	0	1200	1
1	718	1036	2765	4644	16063	0.0	0	0	0	1200	1
1	721	1040	2770	4656	16028	0.0	0	0	0	1200	1
1	719	1037	2769	4651	16064	0.0	0	0	0	1200	1
1	721	1039	2767	4651	16012	0.0	0	0	0	1200	1
1	718	1037	2766	4646	16068	0.0	0	0	0	1200	1
1	721	1040	2772	4659	16039	0.0	0	0	0	1200	1
1	718	1036	2765	4644	16063	0.0	0	0	0	1200	1
1	720	1038	2766	4650	16027	0.0	0	0	0	1200	1
1	719	1037	2770	4651	16069	0.0	0	0	0	1200	1
1	720	1039	2768	4652	16038	0.0	0	0	0	1200	1
1	718	1036	2764	4643	16057	0.0	0	0	0	1200	1
1	720	1039	2769	4653	16043	0.0	0	0	0	1200	1
1	719	1037	2769	4650	16064	0.0	0	0	0	1200	1
1	720	1038	2766	4649	16027	0.0	0	0	0	1200	1
1	718	1036	2766	4645	16068	0.0	0	0	0	1200	1
1	721	1039	2771	4656	16033	0.0	0	0	0	1200	1
1	720	1038	2766	4648	16027	0.0	0	0	0	1200	1
1	719	1038	2770	4652	16069	0.0	0	0	0	1200	0
1	529	656	1359	2617	11178	0.0	0	0	0	1200	0
1	381	362	276	1052	4151	245.0	0	0	0	1200	0
1	382	363	276	1055	4143	246.0	0	0	0	1200	0
1	382	362	276	1053	4143	245.0	0	0	0	1200	0
1	383	363	276	1055	4136	246.0	0	0	0	1200	0
1	382	363	276	1054	4143	246.0	0	0	0	1200	0
2	382	363	276	1055	4143	246.0	0	0	0	1200	1
2	505	610	1187	2368	10346	0.0	0	0	0	1200	1
2	719	1038	2768	4650	16058	0.0	0	0	0	1200	1
2	719	1038	2770	4653	16069	0.0	0	0	0	1200	1
2	719	1037	2765	4645	16042	0.0	0	0	0	1200	1
2	718	1036	2766	4646	16068	0.0	0	0	0	1200	1
2	718	1037	2770	4649	16089	0.0	0	0	0	1200	1
2	716	1034	2764	4638	16098	0.0	0	0	0	1200	1
2	714	1032	2763	4633	16134	0.0	0	0	0	1200	1
2	714	1033	2768	4639	16161	0.0	0	0	0	1200	1
2	712	1032	2762	4629	16170	0.0	0	0	0	1200	1
2	713	1033	2767	4637	16176	0.0	0	0	0	1200	1
2	714	1033	2765	4637	16145	0.0	0	0	0	1200	1
2	713	1032	2762	4631	16150	0.0	0	0	0	1200	1
2	716	1035	2767	4642	16114	0.0	0	0	0	1200	1
2	714	1033	2766	4638	16150	0.0	0	0	0	1200	1
2	716	1035	2764	4639	16098	0.0	0	0	0	1200	1
2	715	1034	2765	4638	16124	0.0	0	0	0	1200	1
2	718	1037	2769	4649	16084	0.0	0	0	0	1200	1
2	715	1034	2763	4637	16114	0.0	0	0	0	1200	1
2	718	1037	2766	4646	16068	0.0	0	0	0	1200	1
2	718	1036	2769	4648	16084	0.0	0	0	0	1200	1
2	720	1038	2766	4648	16027	0.0	0	0	0	1200	1
2	718	1036	2764	4643	16057	0.0	0	0	0	1200	1
2	722	1040	2772	4659	16018	0.0	0	0	0	1200	1
2	719	1037	2767	4649	16053	0.0	0	0	0	1200	1
2	722	1040	2767	4654	15992	0.0	0	0	0	1200	1
2	721	1039	2770	4655	16028	0.0	0	0	0	1200	0
2	724	1042	2771	4662	15973	0.0	0	0	0	1200	0
2	387	367	279	1067	4137	249.0	0	0	0	1200	0
2	385	365	277	1060	4132	248.0	0	0	0	1200	0
2	387	368	279	1068	4137	250.0	0	0	0	1200	0
2	385	365	278	1061	4142	247.0	0	0	0	1200	0
2	388	368	279	1069	4130	250.0	0	0	0	1200	0
3	385	366	278	1062	4142	249.0	0	0	0	1200	1
3	509	609	1170	2354	10148	0.0	0	0	0	1200	1
3	723	1041	2772	4663	15998	0.0	0	0	0	1200	1
