Stim	R	G	B	C	Temp	HueLux	Yellow	Red	Blue	Blue2	Trig
1	181	98	105	374	3555	19.0	0	0	0	1200	1
1	185	110	175	462	4990	0.0	0	0	0	1200	1
1	200	142	355	694	8168	0.0	0	0	0	1200	1
1	199	141	353	691	8164	0.0	0	0	0	1200	1
1	200	142	355	694	8168	0.0	0	0	0	1200	1
1	199	141	354	691	8183	0.0	0	0	0	1200	1
1	200	142	354	694	8149	0.0	0	0	0	1200	1
1	200	142	354	693	8149	0.0	0	0	0	1200	1
1	199	141	354	692	8183	0.0	0	0	0	1200	1
1	200	142	354	693	8149	0.0	0	0	0	1200	1
1	199	141	354	691	8183	0.0	0	0	0	1200	1
1	200	142	355	694	8168	0.0	0	0	0	1200	1
1	199	141	354	692	8183	0.0	0	0	0	1200	1
1	200	141	354	693	8149	0.0	0	0	0	1200	1
1	200	141	354	692	8149	0.0	0	0	0	1200	1
1	200	141	354	692	8149	0.0	0	0	0	1200	1
1	199	141	354	692	8183	0.0	0	0	0	1200	1
1	199	141	354	692	8183	0.0	0	0	0	1200	1
1	199	141	354	692	8183	0.0	0	0	0	1200	1
1	199	141	354	692	8183	0.0	0	0	0	1200	1
1	200	141	354	693	8149	0.0	0	0	0	1200	1
1	199	141	354	692	8183	0.0	0	0	0	1200	1
1	200	142	354	694	8149	0.0	0	0	0	1200	1
1	199	141	354	691	8183	0.0	0	0	0	1200	1
1	200	142	354	693	8149	0.0	0	0	0	1200	1
1	199	142	354	692	8183	0.0	0	0	0	1200	1
1	199	141	354	692	8183	0.0	0	0	0	1200	1
1	200	142	354	693	8149	0.0	0	0	0	1200	0
1	189	119	224	526	5917	0.0	0	0	0	1200	0
1	181	98	104	374	3543	19.0	0	0	0	1200	0
1	180	98	104	371	3546	20.0	0	0	0	1200	0
1	181	98	104	374	3543	19.0	0	0	0	1200	0
1	180	98	104	372	3546	20.0	0	0	0	1200	0
1	181	98	105	374	3555	19.0	0	0	0	1200	0
2	180	98	104	372	3546	20.0	0	0	0	1200	1
2	187	112	184	476	5138	0.0	0	0	0	1200	1
2	199	141	353	691	8164	0.0	0	0	0	1200	1
2	200	142	355	694	8168	0.0	0	0	0	1200	1
2	199	141	353	691	8164	0.0	0	0	0	1200	1
2	200	142	354	694	8149	0.0	0	0	0	1200	1
2	199	141	354	692	8183	0.0	0	0	0	1200	1
2	200	142	354	693	8149	0.0	0	0	0	1200	1
2	199	141	354	692	8183	0.0	0	0	0	1200	1
2	200	142	354	693	8149	0.0	0	0	0	1200	1
2	200	142	354	693	8149	0.0	0	0	0	1200	1
2	200	141	354	692	8149	0.0	0	0	0	1200	1
2	200	141	354	693	8149	0.0	0	0	0	1200	1
2	200	141	354	693	8149	0.0	0	0	0	1200	1
2	199	141	354	692	8183	0.0	0	0	0	1200	1
2	200	141	354	693	8149	0.0	0	0	0	1200	1
2	199	141	354	692	8183	0.0	0	0	0	1200	1
2	200	141	354	693	8149	0.0	0	0	0	1200	1
2	199	141	354	692	8183	0.0	0	0	0	1200	1
2	200	142	354	693	8149	0.0	0	0	0	1200	1
