Stim	R	G	B	C	Temp	HueLux	Yellow	Red	Blue	Blue2	Trig
1	320	402	205	972	3831	380.0	0	0	0	1200	1
1	333	441	281	1099	4606	382.0	0	0	0	1200	1
1	346	484	376	1250	5531	376.0	0	0	0	1200	1
1	347	486	377	1255	5530	378.0	0	0	0	1200	1
1	346	484	376	1250	5531	376.0	0	0	0	1200	1
1	347	486	377	1254	5530	378.0	0	0	0	1200	1
1	346	485	376	1251	5531	377.0	0	0	0	1200	1
1	347	486	377	1254	5530	378.0	0	0	0	1200	1
1	347	485	376	1252	5519	377.0	0	0	0	1200	1
1	347	486	377	1254	5530	378.0	0	0	0	1200	1
1	347	486	377	1254	5530	378.0	0	0	0	1200	1
1	347	486	377	1254	5530	378.0	0	0	0	1200	1
1	347	485	376	1252	5519	377.0	0	0	0	1200	1
1	347	486	377	1254	5530	378.0	0	0	0	1200	1
1	347	485	376	1252	5519	377.0	0	0	0	1200	1
1	347	486	377	1255	5530	378.0	0	0	0	1200	1
1	346	485	376	1252	5531	377.0	0	0	0	1200	1
1	348	487	377	1256	5518	379.0	0	0	0	1200	1
1	346	485	376	1251	5531	377.0	0	0	0	1200	1
1	348	487	377	1256	5518	379.0	0	0	0	1200	1
1	346	484	376	1250	5531	376.0	0	0	0	1200	1
1	348	487	377	1256	5518	379.0	0	0	0	1200	1
1	346	484	376	1250	5531	376.0	0	0	0	1200	1
1	348	487	377	1256	5518	379.0	0	0	0	1200	1
1	346	484	376	1249	5531	376.0	0	0	0	1200	1
1	348	487	377	1257	5518	379.0	0	0	0	1200	1
1	346	484	376	1250	5531	376.0	0	0	0	1200	1
1	348	487	377	1256	5518	379.0	0	0	0	1200	0
1	331	432	263	1071	4418	381.0	0	0	0	1200	0
1	321	403	205	973	3824	381.0	0	0	0	1200	0
1	323	405	207	979	3832	382.0	0	0	0	1200	0
1	321	403	206	974	3836	381.0	0	0	0	1200	0
1	323	405	207	979	3832	382.0	0	0	0	1200	0
1	321	403	206	973	3836	381.0	0	0	0	1200	0
2	322	404	206	977	3828	382.0	0	0	0	1200	1
2	332	441	286	1103	4673	378.0	0	0	0	1200	1
2	346	485	376	1252	5531	377.0	0	0	0	1200	1
2	345	484	376	1249	5543	376.0	0	0	0	1200	1
2	346	485	376	1251	5531	377.0	0	0	0	1200	1
2	345	484	376	1249	5543	376.0	0	0	0	1200	1
2	346	485	376	1251	5531	377.0	0	0	0	1200	1
2	346	484	376	1250	5531	376.0	0	0	0	1200	1
2	346	484	376	1249	5531	376.0	0	0	0	1200	1
2	346	484	376	1250	5531	376.0	0	0	0	1200	1
2	345	484	376	1249	5543	376.0	0	0	0	1200	1
2	346	484	376	1250	5531	376.0	0	0	0	1200	1
2	346	485	377	1252	5542	377.0	0	0	0	1200	1
2	345	483	376	1248	5543	375.0	0	0	0	1200	1
2	346	485	376	1251	5531	377.0	0	0	0	1200	1
2	345	483	376	1247	5543	375.0	0	0	0	1200	1
2	346	485	377	1252	5542	377.0	0	0	0	1200	1
2	345	483	375	1247	5532	375.0	0	0	0	1200	1
2	346	486	377	1253	5542	378.0	0	0	0	1200	1
2	344	483	375	1246	5544	376.0	0	0	0	1200	1
2	346	485	376	1252	5531	377.0	0	0	0	1200	1
2	344	483	375	1246	5544	376.0	0	0	0	1200	1
2	347	486	377	1253	5530	378.0	0	0	0	1200	1
2	344	483	375	1246	5544	376.0	0	0	0	1200	1
2	347	486	377	1253	5530	378.0	0	0	0	1200	1
2	344	483	375	1246	5544	376.0	0	0	0	1200	1
2	347	485	377	1253	5530	376.0	0	0	0	1200	1
2	344	483	375	1246	5544	376.0	0	0	0	1200	0
2	346	485	377	1253	5542	377.0	0	0	0	1200	0
2	328	429	262	1062	4434	378.0	0	0	0	1200	0
2	321	401	205	975	3824	378.0	0	0	0	1200	0
2	321	403	206	975	3836	381.0	0	0	0	1200	0
2	320	402	205	971	3831	380.0	0	0	0	1200	0
2	321	404	206	976	3836	382.0	0	0	0	1200	0
3	321	403	206	973	3836	381.0	0	0	0	1200	1
3	334	443	286	1106	4653	381.0	0	0	0	1200	1
3	347	486	377	1253	5530	378.0	0	0	0	1200	1
3	348	487	377	1256	5518	379.0	0	0	0	1200	1
3	348	487	377	1255	5518	379.0	0	0	0	1200	1
3	348	488	377	1257	5518	381.0	0	0	0	1200	1
3	348	488	377	1258	5518	381.0	0	0	0	1200	1
3	348	487	377	1257	5518	379.0	0	0	0	1200	1
3	349	488	378	1259	5517	380.0	0	0	0	1200	1
3	349	488	377	1258	5506	381.0	0	0	0	1200	1
3	349	489	378	1260	5517	381.0	0	0	0	1200	1
3	348	488	377	1258	5518	381.0	0	0	0	1200	1
3	350	489	378	1262	5505	381.0	0	0	0	1200	1
3	348	488	377	1257	5518	381.0	0	0	0	1200	1
3	350	490	378	1262	5505	383.0	0	0	0	1200	1
3	350	490	378	1262	5505	383.0	0	0	0	1200	1
3	348	487	377	1257	5518	379.0	0	0	0	1200	1
3	350	490	378	1263	5505	383.0	0	0	0	1200	1
3	348	487	377	1256	5518	379.0	0	0	0	1200	1
3	350	490	379	1263	5516	382.0	0	0	0	1200	1
3	348	487	377	1257	5518	379.0	0	0	0	1200	1
3	350	490	378	1264	5505	383.0	0	0	0	1200	1
3	348	488	377	1257	5518	381.0	0	0	0	1200	1
3	351	490	378	1264	5494	382.0	0	0	0	1200	1
3	348	487	377	1257	5518	379.0	0	0	0	1200	1
3	351	490	379	1264	5504	382.0	0	0	0	1200	1
3	348	488	377	1257	5518	381.0	0	0	0	1200	1
3	351	490	378	1264	5494	382.0	0	0	0	1200	0
3	348	488	377	1258	5518	381.0	0	0	0	1200	0
3	333	433	259	1070	4354	385.0	0	0	0	1200	0
3	323	406	207	981	3832	384.0	0	0	0	1200	0
3	325	408	208	985	3829	386.0	0	0	0	1200	0
3	323	406	207	981	3832	384.0	0	0	0	1200	0
3	324	406	207	981	3825	384.0	0	0	0	1200	0
4	325	408	208	984	3829	386.0	0	0	0	1200	1
4	324	407	207	982	3825	385.0	0	0	0	1200	1
4	337	447	291	1120	4680	383.0	0	0	0	1200	1
4	336	447	291	1119	4690	383.0	0	0	0	1200	1
4	337	449	294	1124	4714	384.0	0	0	0	1200	1
4	337	449	294	1125	4714	384.0	0	0	0	1200	1
4	337	448	294	1123	4714	382.0	0	0	0	1200	1
4	337	449	294	1125	4714	384.0	0	0	0	1200	1
4	337	448	294	1123	4714	382.0	0	0	0	1200	1
4	338	449	294	1126	4705	383.0	0	0	0	1200	1
4	336	448	293	1121	4713	383.0	0	0	0	1200	1
4	338	450	295	1127	4716	384.0	0	0	0	1200	1
4	336	448	293	1121	4713	383.0	0	0	0	1200	1
4	338	450	294	1127	4705	385.0	0	0	0	1200	1
4	336	447	294	1121	4724	381.0	0	0	0	1200	1
4	338	449	294	1126	4705	383.0	0	0	0	1200	1
4	336	446	290	1116	4679	382.0	0	0	0	1200	1
4	336	446	290	1116	4679	382.0	0	0	0	1200	1
4	338	449	292	1123	4682	385.0	0	0	0	1200	1
4	336	446	290	1116	4679	382.0	0	0	0	1200	1
4	338	449	292	1123	4682	385.0	0	0	0	1200	1
4	335	446	290	1116	4689	382.0	0	0	0	1200	1
4	338	449	292	1122	4682	385.0	0	0	0	1200	1
4	335	446	290	1116	4689	382.0	0	0	0	1200	1
4	337	448	291	1122	4680	384.0	0	0	0	1200	1
4	335	446	290	1116	4689	382.0	0	0	0	1200	1
4	338	450	294	1127	4705	385.0	0	0	0	1200	1
4	336	447	293	1121	4713	381.0	0	0	0	1200	0
4	338	449	295	1126	4716	383.0	0	0	0	1200	0
4	332	436	269	1081	4478	383.0	0	0	0	1200	0
4	325	408	208	985	3829	386.0	0	0	0	1200	0
4	323	406	207	981	3832	384.0	0	0	0	1200	0
4	324	407	208	984	3836	384.0	0	0	0	1200	0
4	323	406	207	980	3832	384.0	0	0	0	1200	0
5	324	407	207	984	3825	385.0	0	0	131	1200	1
5	324	407	207	983	3825	385.0	0	0	131	1200	1
5	336	446	290	1117	4679	382.0	0	0	131	1200	1
5	337	448	293	1122	4703	383.0	0	0	131	1200	1
5	337	448	293	1122	4703	383.0	0	0	131	1200	1
5	336	447	292	1120	4702	382.0	0	0	131	1200	1
5	337	448	293	1123	4703	383.0	0	0	131	1200	1
5	336	447	292	1120	4702	382.0	0	0	131	1200	1
5	337	449	293	1123	4703	384.0	0	0	131	1200	1
5	336	447	292	1119	4702	382.0	0	0	131	1200	1
5	337	449	293	1124	4703	384.0	0	0	131	1200	1
5	336	447	292	1119	4702	382.0	0	0	131	1200	1
5	338	449	293	1125	4693	384.0	0	0	131	1200	1
5	336	446	292	1118	4702	381.0	0	0	131	1200	1
5	338	449	293	1124	4693	384.0	0	0	131	1200	1
5	336	448	295	1123	4736	382.0	0	0	131	1200	1
5	338	451	296	1130	4727	385.0	0	0	131	1200	1
