Stim	R	G	B	C	Temp	HueLux	Yellow	Red	Blue	Blue2	Trig
1	56	188	273	528	19964	78.0	0	1500	0	0	1
1	200	196	289	678	6922	32.0	0	1500	0	0	1
1	344	204	306	830	4764	0.0	0	1500	0	0	1
1	344	204	306	829	4764	0.0	0	1500	0	0	1
1	344	204	306	830	4764	0.0	0	1500	0	0	1
1	343	204	306	829	4775	0.0	0	1500	0	0	1
1	344	204	306	829	4764	0.0	0	1500	0	0	1
1	344	204	306	830	4764	0.0	0	1500	0	0	1
1	343	203	305	828	4764	0.0	0	1500	0	0	1
1	344	204	306	830	4764	0.0	0	1500	0	0	1
1	344	203	305	828	4753	0.0	0	1500	0	0	1
1	344	203	305	828	4753	0.0	0	1500	0	0	1
1	344	204	306	830	4764	0.0	0	1500	0	0	1
1	343	203	305	828	4764	0.0	0	1500	0	0	1
1	344	204	306	831	4766	0.0	0	1500	0	0	1
1	343	203	305	828	4764	0.0	0	1500	0	0	1
1	344	204	307	831	4776	0.0	0	1500	0	0	1
1	344	203	305	828	4753	0.0	0	1500	0	0	1
1	344	204	306	830	4764	0.0	0	1500	0	0	1
1	344	203	305	827	4753	0.0	0	1500	0	0	1
1	344	204	306	831	4766	0.0	0	1500	0	0	1
1	343	203	305	827	4763	0.0	0	1500	0	0	1
1	344	204	306	831	4766	0.0	0	1500	0	0	1
1	344	203	305	827	4753	0.0	0	1500	0	0	1
1	344	204	306	830	4764	0.0	0	1500	0	0	1
1	344	203	305	827	4753	0.0	0	1500	0	0	1
1	344	204	306	831	4766	0.0	0	1500	0	0	1
1	343	203	305	827	4763	0.0	0	1500	0	0	0
1	344	204	307	831	4776	0.0	0	1500	0	0	0
1	56	188	273	605	19964	78.0	0	1500	0	0	0
1	56	187	272	525	19896	77.0	0	1500	0	0	0
1	56	188	273	528	19964	78.0	0	1500	0	0	0
1	56	187	272	525	19896	77.0	0	1500	0	0	0
1	56	188	273	528	19964	78.0	0	1500	0	0	0
2	56	187	272	525	19896	77.0	0	1500	0	0	1
2	211	197	291	691	6673	29.0	0	1500	0	0	1
2	344	203	305	828	4753	0.0	0	1500	0	0	1
2	344	204	306	830	4764	0.0	0	1500	0	0	1
2	344	203	305	829	4754	0.0	0	1500	0	0	1
2	344	204	306	830	4764	0.0	0	1500	0	0	1
2	344	203	305	828	4753	0.0	0	1500	0	0	1
2	344	204	306	830	4764	0.0	0	1500	0	0	1
2	343	203	305	828	4764	0.0	0	1500	0	0	1
2	344	204	306	829	4764	0.0	0	1500	0	0	1
2	344	203	306	829	4764	0.0	0	1500	0	0	1
2	343	203	306	829	4776	0.0	0	1500	0	0	1
2	344	203	306	829	4764	0.0	0	1500	0	0	1
2	344	203	306	829	4764	0.0	0	1500	0	0	1
2	344	203	305	829	4754	0.0	0	1500	0	0	1
2	344	204	306	830	4764	0.0	0	1500	0	0	1
2	343	203	305	828	4764	0.0	0	1500	0	0	1
2	344	204	306	830	4764	0.0	0	1500	0	0	1
2	343	203	305	827	4763	0.0	0	1500	0	0	1
2	344	204	306	830	4764	0.0	0	1500	0	0	1
2	343	203	305	828	4764	0.0	0	1500	0	0	1
2	343	204	306	830	4776	0.0	0	1500	0	0	1
2	343	203	305	828	4764	0.0	0	1500	0	0	1
2	344	204	306	830	4764	0.0	0	1500	0	0	1
2	343	203	305	827	4763	0.0	0	1500	0	0	1
2	344	204	306	830	4764	0.0	0	1500	0	0	1
2	343	203	305	827	4763	0.0	0	1500	0	0	1
2	343	204	306	830	4776	0.0	0	1500	0	0	0
2	344	203	305	827	4753	0.0	0	1500	0	0	0
2	133	192	282	609	9469	53.0	0	1500	0	0	0
2	56	187	271	525	19828	78.0	0	1500	0	0	0
2	56	188	273	528	19964	78.0	0	1500	0	0	0
2	56	188	273	529	19964	78.0	0	1500	0	0	0
2	56	187	272	525	19896	77.0	0	1500	0	0	0
3	56	188	273	529	19964	78.0	0	1500	0	0	1
3	209	195	289	687	6680	28.0	0	1500	0	0	1
3	344	204	307	831	4776	0.0	0	1500	0	0	1
3	343	203	305	827	4763	0.0	0	1500	0	0	1
3	344	204	307	831	4776	0.0	0	1500	0	0	1
3	343	203	305	827	4763	0.0	0	1500	0	0	1
3	344	204	307	831	4776	0.0	0	1500	0	0	1
3	344	203	305	828	4753	0.0	0	1500	0	0	1
3	343	204	306	830	4776	0.0	0	1500	0	0	1
3	343	203	305	828	4764	0.0	0	1500	0	0	1
3	344	204	306	830	4764	0.0	0	1500	0	0	1
3	343	203	305	827	4763	0.0	0	1500	0	0	1
3	344	204	306	830	4764	0.0	0	1500	0	0	1
3	343	203	305	828	4764	0.0	0	1500	0	0	1
3	343	204	306	829	4775	0.0	0	1500	0	0	1
3	344	203	305	828	4753	0.0	0	1500	0	0	1
3	343	203	305	828	4764	0.0	0	1500	0	0	1
3	344	204	306	830	4764	0.0	0	1500	0	0	1
3	343	203	305	828	4764	0.0	0	1500	0	0	1
3	344	204	306	830	4764	0.0	0	1500	0	0	1
3	344	204	306	829	4764	0.0	0	1500	0	0	1
3	343	204	306	829	4775	0.0	0	1500	0	0	1
3	344	204	306	829	4764	0.0	0	1500	0	0	1
3	343	204	306	829	4775	0.0	0	1500	0	0	1
3	343	204	306	829	4775	0.0	0	1500	0	0	1
3	344	203	306	829	4764	0.0	0	1500	0	0	1
3	343	204	306	829	4775	0.0	0	1500	0	0	1
3	343	203	305	828	4764	0.0	0	1500	0	0	0
3	344	204	306	830	4764	0.0	0	1500	0	0	0
3	123	191	280	596	10064	56.0	0	1500	0	0	0
3	56	188	273	527	19964	78.0	0	1500	0	0	0
