Stim	R	G	B	C	Temp	HueLux	Yellow	Red	Blue	Blue2	Trig
1	95	320	252	694	11497	289.0	0	1500	0	0	1
1	99	320	252	697	11089	288.0	0	1500	0	0	1
1	529	347	299	1161	3522	157.0	0	1500	0	0	1
1	528	348	300	1160	3530	158.0	0	1500	0	0	1
1	528	347	299	1157	3523	157.0	0	1500	0	0	1
1	528	348	301	1161	3537	157.0	0	1500	0	0	1
1	527	347	299	1157	3527	157.0	0	1500	0	0	1
1	528	349	301	1162	3537	159.0	0	1500	0	0	1
1	527	347	299	1157	3527	157.0	0	1500	0	0	1
1	528	349	301	1161	3537	159.0	0	1500	0	0	1
1	528	347	299	1158	3523	157.0	0	1500	0	0	1
1	528	349	301	1162	3537	159.0	0	1500	0	0	1
1	527	347	299	1157	3527	157.0	0	1500	0	0	1
1	529	349	301	1163	3533	158.0	0	1500	0	0	1
1	527	347	299	1157	3527	157.0	0	1500	0	0	1
1	528	349	301	1161	3537	159.0	0	1500	0	0	1
1	528	347	299	1158	3523	157.0	0	1500	0	0	1
1	528	349	301	1161	3537	159.0	0	1500	0	0	1
1	527	347	299	1156	3527	157.0	0	1500	0	0	1
1	528	349	301	1161	3537	159.0	0	1500	0	0	1
1	527	347	299	1157	3527	157.0	0	1500	0	0	1
1	528	347	299	1158	3523	157.0	0	1500	0	0	1
1	528	348	301	1160	3537	157.0	0	1500	0	0	1
1	527	347	299	1157	3527	157.0	0	1500	0	0	1
1	528	348	301	1161	3537	157.0	0	1500	0	0	1
1	528	347	300	1158	3530	156.0	0	1500	0	0	1
1	527	348	300	1160	3537	158.0	0	1500	0	0	1
1	528	347	300	1158	3530	156.0	0	1500	0	0	0
1	423	341	289	1047	3985	189.0	0	1500	0	0	0
1	94	320	252	693	11605	290.0	0	1500	0	0	0
1	94	320	252	694	11605	290.0	0	1500	0	0	0
1	94	320	252	693	11605	290.0	0	1500	0	0	0
1	94	320	252	693	11605	290.0	0	1500	0	0	0
1	94	320	252	693	11605	290.0	0	1500	0	0	0
2	94	319	251	692	11564	289.0	0	1500	0	0	1
2	113	321	254	713	9955	284.0	0	1500	0	0	1
2	527	347	299	1157	3527	157.0	0	1500	0	0	1
2	528	348	300	1160	3530	158.0	0	1500	0	0	1
2	527	347	299	1157	3527	157.0	0	1500	0	0	1
2	528	346	299	1156	3523	155.0	0	1500	0	0	1
2	528	348	300	1159	3530	158.0	0	1500	0	0	1
2	527	346	299	1155	3527	156.0	0	1500	0	0	1
2	528	348	300	1160	3530	158.0	0	1500	0	0	1
2	527	346	299	1155	3527	156.0	0	1500	0	0	1
2	527	348	300	1159	3534	158.0	0	1500	0	0	1
2	527	346	299	1155	3527	156.0	0	1500	0	0	1
2	528	348	300	1160	3530	158.0	0	1500	0	0	1
2	527	346	299	1155	3527	156.0	0	1500	0	0	1
2	528	348	300	1160	3530	158.0	0	1500	0	0	1
2	527	346	299	1156	3527	156.0	0	1500	0	0	1
2	527	348	300	1159	3534	158.0	0	1500	0	0	1
2	527	346	298	1154	3519	156.0	0	1500	0	0	1
2	528	348	300	1160	3530	158.0	0	1500	0	0	1
2	526	346	299	1154	3531	156.0	0	1500	0	0	1
2	527	348	300	1159	3534	158.0	0	1500	0	0	1
2	527	346	299	1156	3527	156.0	0	1500	0	0	1
2	527	348	300	1159	3534	158.0	0	1500	0	0	1
2	528	348	300	1160	3530	158.0	0	1500	0	0	1
2	527	346	299	1156	3527	156.0	0	1500	0	0	1
2	527	348	300	1159	3534	158.0	0	1500	0	0	1
2	527	346	299	1156	3527	156.0	0	1500	0	0	1
2	527	348	300	1158	3534	158.0	0	1500	0	0	0
2	424	340	288	1045	3970	188.0	0	1500	0	0	0
2	94	320	252	692	11605	290.0	0	1500	0	0	0
2	94	319	251	691	11564	289.0	0	1500	0	0	0
2	94	320	252	692	11605	290.0	0	1500	0	0	0
2	94	319	251	691	11564	289.0	0	1500	0	0	0
2	94	320	252	692	11605	290.0	0	1500	0	0	0
