Stim	R	G	B	C	Temp	HueLux	Yellow	Red	Blue	Blue2	Trig
1	382	362	276	1052	4143	245.0	0	1500	0	0	1
1	2214	466	476	2995	2098	0.0	0	1500	0	0	1
1	3026	511	565	3855	1971	0.0	0	1500	0	0	1
1	3030	511	565	3859	1970	0.0	0	1500	0	0	1
1	3030	511	565	3859	1970	0.0	0	1500	0	0	1
1	3026	511	565	3855	1971	0.0	0	1500	0	0	1
1	3029	511	565	3858	1970	0.0	0	1500	0	0	1
1	3031	511	565	3859	1968	0.0	0	1500	0	0	1
1	3026	511	565	3854	1969	0.0	0	1500	0	0	1
1	3026	511	565	3854	1969	0.0	0	1500	0	0	1
1	3032	512	565	3861	1968	0.0	0	1500	0	0	1
1	3026	511	564	3854	1969	0.0	0	1500	0	0	1
1	3026	511	565	3855	1971	0.0	0	1500	0	0	1
1	3029	511	565	3857	1969	0.0	0	1500	0	0	1
1	3028	510	564	3857	1970	0.0	0	1500	0	0	1
1	3029	512	565	3858	1969	0.0	0	1500	0	0	1
1	3026	510	564	3853	1969	0.0	0	1500	0	0	1
1	3024	512	565	3854	1971	0.0	0	1500	0	0	1
1	3025	510	564	3852	1969	0.0	0	1500	0	0	1
1	3028	512	566	3858	1970	0.0	0	1500	0	0	1
1	3022	510	564	3848	1969	0.0	0	1500	0	0	1
1	3026	512	565	3856	1971	0.0	0	1500	0	0	1
1	3028	510	564	3854	1968	0.0	0	1500	0	0	1
1	3025	512	565	3855	1971	0.0	0	1500	0	0	1
1	3023	510	564	3849	1969	0.0	0	1500	0	0	1
1	3030	512	566	3860	1970	0.0	0	1500	0	0	1
1	3025	510	564	3850	1968	0.0	0	1500	0	0	1
1	3025	512	565	3855	1971	0.0	0	1500	0	0	0
1	3025	510	564	3851	1968	0.0	0	1500	0	0	0
1	590	376	300	1276	3328	182.0	0	1500	0	0	0
1	381	362	275	1050	4141	246.0	0	1500	0	0	0
1	383	364	277	1057	4146	247.0	0	1500	0	0	0
1	381	362	275	1050	4141	246.0	0	1500	0	0	0
1	381	362	275	1050	4141	246.0	0	1500	0	0	0
2	383	364	277	1057	4146	247.0	0	1500	0	0	1
2	2292	469	484	3074	2079	0.0	0	1500	0	0	1
2	3024	512	565	3854	1971	0.0	0	1500	0	0	1
2	3026	510	564	3851	1968	0.0	0	1500	0	0	1
2	3026	512	565	3857	1971	0.0	0	1500	0	0	1
2	3022	509	563	3847	1969	0.0	0	1500	0	0	1
2	3027	512	565	3858	1970	0.0	0	1500	0	0	1
2	3026	510	564	3852	1968	0.0	0	1500	0	0	1
2	3024	512	565	3854	1971	0.0	0	1500	0	0	1
2	3023	510	564	3849	1969	0.0	0	1500	0	0	1
2	3030	512	566	3859	1970	0.0	0	1500	0	0	1
2	3022	510	564	3848	1969	0.0	0	1500	0	0	1
2	3025	512	565	3855	1971	0.0	0	1500	0	0	1
2	3028	510	564	3855	1969	0.0	0	1500	0	0	1
2	3025	512	565	3855	1971	0.0	0	1500	0	0	1
2	3023	510	564	3850	1970	0.0	0	1500	0	0	1
2	3030	512	566	3860	1970	0.0	0	1500	0	0	1
2	3024	512	565	3853	1970	0.0	0	1500	0	0	1
2	3028	511	564	3855	1968	0.0	0	1500	0	0	1
2	3025	512	565	3854	1970	0.0	0	1500	0	0	1
2	3022	510	564	3850	1970	0.0	0	1500	0	0	1
2	3028	511	565	3857	1970	0.0	0	1500	0	0	1
2	3025	510	564	3852	1969	0.0	0	1500	0	0	1
2	3021	511	564	3850	1970	0.0	0	1500	0	0	1
2	3024	511	564	3852	1970	0.0	0	1500	0	0	1
2	3025	511	565	3854	1971	0.0	0	1500	0	0	1
2	3020	510	564	3847	1970	0.0	0	1500	0	0	1
2	3021	510	564	3847	1969	0.0	0	1500	0	0	0
2	3025	510	564	3851	1968	0.0	0	1500	0	0	0
2	607	374	300	1290	3274	173.0	0	1500	0	0	0
2	381	362	275	1051	4141	246.0	0	1500	0	0	0
2	380	361	275	1049	4148	245.0	0	1500	0	0	0
2	381	362	276	1051	4151	245.0	0	1500	0	0	0
2	380	361	275	1049	4148	245.0	0	1500	0	0	0
3	381	362	276	1052	4151	245.0	0	1500	0	0	1
3	2275	468	482	3058	2084	0.0	0	1500	0	0	1
3	3023	509	563	3848	1969	0.0	0	1500	0	0	1
3	3027	511	565	3855	1969	0.0	0	1500	0	0	1
3	3020	509	563	3845	1969	0.0	0	1500	0	0	1
3	3024	511	564	3852	1970	0.0	0	1500	0	0	1
3	3026	509	563	3850	1967	0.0	0	1500	0	0	1
3	3023	511	564	3851	1970	0.0	0	1500	0	0	1
3	3021	509	563	3845	1968	0.0	0	1500	0	0	1
3	3028	511	565	3857	1970	0.0	0	1500	0	0	1
3	3021	509	563	3846	1969	0.0	0	1500	0	0	1
3	3022	511	564	3850	1970	0.0	0	1500	0	0	1
3	3024	509	563	3848	1967	0.0	0	1500	0	0	1
3	3025	511	565	3853	1970	0.0	0	1500	0	0	1
3	3019	508	563	3843	1969	0.0	0	1500	0	0	1
3	3026	511	565	3854	1969	0.0	0	1500	0	0	1
3	3023	509	563	3847	1967	0.0	0	1500	0	0	1
3	3022	511	564	3850	1970	0.0	0	1500	0	0	1
3	3021	509	563	3845	1968	0.0	0	1500	0	0	1
