Stim	R	G	B	C	Temp	HueLux	Yellow	Red	Blue	Blue2	Trig
1	179	98	104	371	3558	20.0	0	1500	0	0	1
1	1521	170	251	1788	1850	0.0	0	1500	0	0	1
1	2740	235	383	3072	1743	0.0	0	1500	0	0	1
1	2745	236	384	3078	1743	0.0	0	1500	0	0	1
1	2740	235	383	3072	1743	0.0	0	1500	0	0	1
1	2739	236	383	3072	1743	0.0	0	1500	0	0	1
1	2743	236	383	3075	1742	0.0	0	1500	0	0	1
1	2738	236	383	3071	1743	0.0	0	1500	0	0	1
1	2741	236	383	3074	1742	0.0	0	1500	0	0	1
1	2741	236	383	3074	1742	0.0	0	1500	0	0	1
1	2738	235	383	3070	1743	0.0	0	1500	0	0	1
1	2745	236	383	3078	1742	0.0	0	1500	0	0	1
1	2742	236	383	3075	1742	0.0	0	1500	0	0	1
1	2743	236	384	3076	1744	0.0	0	1500	0	0	1
1	2740	236	383	3072	1743	0.0	0	1500	0	0	1
1	2744	236	384	3077	1744	0.0	0	1500	0	0	1
1	2740	235	383	3072	1743	0.0	0	1500	0	0	1
1	2741	236	383	3074	1742	0.0	0	1500	0	0	1
1	2745	236	383	3077	1742	0.0	0	1500	0	0	1
1	2740	236	383	3073	1743	0.0	0	1500	0	0	1
1	2742	235	383	3075	1744	0.0	0	1500	0	0	1
1	2743	236	384	3076	1744	0.0	0	1500	0	0	1
1	2739	235	383	3071	1743	0.0	0	1500	0	0	1
1	2745	236	384	3078	1743	0.0	0	1500	0	0	1
1	2739	235	383	3071	1743	0.0	0	1500	0	0	1
1	2741	236	383	3074	1742	0.0	0	1500	0	0	1
1	2743	235	383	3075	1742	0.0	0	1500	0	0	1
1	2736	236	383	3069	1743	0.0	0	1500	0	0	0
1	2739	235	383	3071	1743	0.0	0	1500	0	0	0
1	799	131	172	1026	2061	0.0	0	1500	0	0	0
1	180	98	104	373	3555	20.0	0	1500	0	0	0
1	179	97	104	370	3558	18.0	0	1500	0	0	0
1	180	98	104	373	3555	20.0	0	1500	0	0	0
1	179	98	104	370	3558	20.0	0	1500	0	0	0
2	180	98	104	373	3555	20.0	0	1500	0	0	1
2	1615	175	260	1886	1833	0.0	0	1500	0	0	1
2	2737	236	383	3070	1743	0.0	0	1500	0	0	1
2	2740	235	383	3072	1743	0.0	0	1500	0	0	1
2	2741	236	383	3074	1742	0.0	0	1500	0	0	1
2	2739	235	383	3071	1743	0.0	0	1500	0	0	1
2	2744	236	384	3077	1744	0.0	0	1500	0	0	1
2	2738	235	383	3070	1743	0.0	0	1500	0	0	1
2	2742	236	383	3075	1742	0.0	0	1500	0	0	1
2	2741	236	383	3074	1742	0.0	0	1500	0	0	1
2	2739	235	383	3071	1743	0.0	0	1500	0	0	1
2	2743	236	383	3076	1742	0.0	0	1500	0	0	1
2	2738	235	383	3070	1743	0.0	0	1500	0	0	1
2	2741	236	383	3074	1742	0.0	0	1500	0	0	1
2	2738	235	383	3070	1743	0.0	0	1500	0	0	1
2	2741	235	383	3073	1742	0.0	0	1500	0	0	1
2	2740	236	383	3072	1743	0.0	0	1500	0	0	1
2	2739	235	383	3071	1743	0.0	0	1500	0	0	1
2	2743	236	384	3076	1744	0.0	0	1500	0	0	1
2	2737	235	383	3069	1743	0.0	0	1500	0	0	1
2	2743	236	384	3076	1744	0.0	0	1500	0	0	1
2	2739	235	383	3071	1743	0.0	0	1500	0	0	1
2	2739	236	383	3072	1743	0.0	0	1500	0	0	1
2	2742	235	383	3074	1742	0.0	0	1500	0	0	1
2	2738	236	383	3071	1743	0.0	0	1500	0	0	1
2	2741	235	383	3073	1742	0.0	0	1500	0	0	1
2	2741	236	384	3074	1744	0.0	0	1500	0	0	1
2	2737	235	383	3069	1743	0.0	0	1500	0	0	0
2	2743	236	384	3077	1744	0.0	0	1500	0	0	0
2	796	131	171	1022	2059	0.0	0	1500	0	0	0
2	181	98	104	374	3543	19.0	0	1500	0	0	0
2	179	98	104	371	3558	20.0	0	1500	0	0	0
2	179	98	104	371	3558	20.0	0	1500	0	0	0
2	181	98	104	374	3543	19.0	0	1500	0	0	0
3	180	98	104	372	3546	20.0	0	1500	0	0	1
3	1617	175	261	1888	1835	0.0	0	1500	0	0	1
3	2738	235	383	3070	1743	0.0	0	1500	0	0	1
