Stim	R	G	B	C	Temp	HueLux	Yellow	Red	Blue	Blue2	Trig
1	323	406	207	981	3832	384.0	0	1500	0	0	1
1	2871	549	484	3679	1904	0.0	0	1500	0	0	1
1	2992	553	497	3803	1892	0.0	0	1500	0	0	1
1	2989	555	497	3804	1893	0.0	0	1500	0	0	1
1	2990	553	497	3801	1892	0.0	0	1500	0	0	1
1	2994	555	498	3809	1893	0.0	0	1500	0	0	1
1	2987	553	496	3799	1892	0.0	0	1500	0	0	1
1	2992	555	498	3806	1893	0.0	0	1500	0	0	1
1	2993	554	497	3804	1890	0.0	0	1500	0	0	1
1	2989	555	497	3804	1893	0.0	0	1500	0	0	1
1	2990	554	497	3803	1892	0.0	0	1500	0	0	1
1	2995	555	498	3809	1893	0.0	0	1500	0	0	1
1	2988	554	497	3800	1892	0.0	0	1500	0	0	1
1	2992	555	498	3806	1893	0.0	0	1500	0	0	1
1	2994	554	497	3806	1891	0.0	0	1500	0	0	1
1	2989	555	497	3803	1892	0.0	0	1500	0	0	1
1	2990	554	497	3803	1892	0.0	0	1500	0	0	1
1	2993	555	498	3807	1893	0.0	0	1500	0	0	1
1	2988	554	497	3801	1892	0.0	0	1500	0	0	1
1	2993	554	497	3806	1892	0.0	0	1500	0	0	1
1	2988	554	497	3801	1892	0.0	0	1500	0	0	1
1	2989	554	497	3802	1892	0.0	0	1500	0	0	1
1	2993	554	497	3806	1892	0.0	0	1500	0	0	1
1	2987	554	497	3800	1893	0.0	0	1500	0	0	1
1	2988	554	497	3800	1892	0.0	0	1500	0	0	1
1	2993	554	497	3806	1892	0.0	0	1500	0	0	1
1	2987	553	496	3799	1892	0.0	0	1500	0	0	1
1	2988	554	497	3802	1894	0.0	0	1500	0	0	0
1	2560	530	450	3347	1938	0.0	0	1500	0	0	0
1	323	406	207	980	3832	384.0	0	1500	0	0	0
1	322	404	206	977	3828	382.0	0	1500	0	0	0
1	323	406	207	980	3832	384.0	0	1500	0	0	0
1	322	404	206	976	3828	382.0	0	1500	0	0	0
1	323	406	207	980	3832	384.0	0	1500	0	0	0
2	322	404	206	976	3828	382.0	0	1500	0	0	1
2	323	406	207	980	3832	384.0	0	1500	0	0	1
2	2953	551	493	3762	1896	0.0	0	1500	0	0	1
2	2988	553	496	3800	1892	0.0	0	1500	0	0	1
2	2988	555	497	3802	1892	0.0	0	1500	0	0	1
2	2991	553	497	3802	1892	0.0	0	1500	0	0	1
2	2989	555	497	3803	1892	0.0	0	1500	0	0	1
2	2985	552	496	3795	1892	0.0	0	1500	0	0	1
2	2992	555	498	3806	1893	0.0	0	1500	0	0	1
2	2987	553	496	3798	1891	0.0	0	1500	0	0	1
2	2987	555	497	3802	1894	0.0	0	1500	0	0	1
2	2990	553	496	3801	1891	0.0	0	1500	0	0	1
2	2989	555	497	3804	1893	0.0	0	1500	0	0	1
2	2985	553	496	3796	1892	0.0	0	1500	0	0	1
2	2992	556	498	3807	1893	0.0	0	1500	0	0	1
2	2986	553	496	3797	1892	0.0	0	1500	0	0	1
2	2986	555	497	3801	1894	0.0	0	1500	0	0	1
2	2990	553	496	3801	1891	0.0	0	1500	0	0	1
2	2989	555	498	3804	1894	0.0	0	1500	0	0	1
2	2986	552	496	3796	1892	0.0	0	1500	0	0	1
2	2993	555	498	3808	1893	0.0	0	1500	0	0	1
2	2987	555	497	3797	1890	0.0	0	1500	0	0	1
2	2990	553	496	3800	1891	0.0	0	1500	0	0	1
2	2988	555	497	3803	1894	0.0	0	1500	0	0	1
2	2985	552	496	3795	1892	0.0	0	1500	0	0	1
2	2992	555	498	3807	1893	0.0	0	1500	0	0	1
2	2987	553	496	3798	1891	0.0	0	1500	0	0	1
2	2986	555	497	3801	1894	0.0	0	1500	0	0	0
2	2576	530	451	3362	1935	0.0	0	1500	0	0	0
2	323	406	207	981	3832	384.0	0	1500	0	0	0
2	321	404	206	975	3836	382.0	0	1500	0	0	0
2	323	406	207	980	3832	384.0	0	1500	0	0	0
2	322	404	206	976	3828	382.0	0	1500	0	0	0
