Stim	R	G	B	C	Temp	HueLux	Yellow	Red	Blue	Blue2	Trig
1	56	188	273	528	19964	78.0	1800	0	0	0	1
1	67	194	274	546	16972	83.0	1800	0	0	0	1
1	240	308	317	877	6423	176.0	1800	0	0	0	1
1	239	307	317	875	6444	174.0	1800	0	0	0	1
1	239	306	315	872	6412	174.0	1800	0	0	0	1
1	239	307	317	875	6444	174.0	1800	0	0	0	1
1	239	306	315	872	6412	174.0	1800	0	0	0	1
1	239	307	317	875	6444	174.0	1800	0	0	0	1
1	239	306	315	871	6412	174.0	1800	0	0	0	1
1	239	307	317	875	6444	174.0	1800	0	0	0	1
1	239	306	315	871	6412	174.0	1800	0	0	0	1
1	239	307	316	874	6428	175.0	1800	0	0	0	1
1	239	306	315	872	6412	174.0	1800	0	0	0	1
1	239	307	316	874	6428	175.0	1800	0	0	0	1
1	239	306	315	871	6412	174.0	1800	0	0	0	1
1	239	307	316	874	6428	175.0	1800	0	0	0	1
1	239	306	315	872	6412	174.0	1800	0	0	0	1
1	239	307	316	874	6428	175.0	1800	0	0	0	1
1	239	307	316	873	6428	175.0	1800	0	0	0	1
1	239	307	316	873	6428	175.0	1800	0	0	0	1
1	239	307	316	873	6428	175.0	1800	0	0	0	1
1	239	307	316	873	6428	175.0	1800	0	0	0	1
1	239	306	316	873	6428	174.0	1800	0	0	0	1
1	239	307	316	874	6428	175.0	1800	0	0	0	1
1	239	306	315	872	6412	174.0	1800	0	0	0	1
1	239	307	316	874	6428	175.0	1800	0	0	0	1
1	239	306	315	872	6412	174.0	1800	0	0	0	1
1	239	307	316	874	6428	175.0	1800	0	0	0	0
1	185	271	302	770	7610	146.0	1800	0	0	0	0
1	56	188	273	527	19964	78.0	1800	0	0	0	0
1	56	187	271	524	19828	78.0	1800	0	0	0	0
1	56	188	273	528	19964	78.0	1800	0	0	0	0
1	56	187	271	524	19828	78.0	1800	0	0	0	0
1	56	188	273	528	19964	78.0	1800	0	0	0	0
2	56	187	271	524	19828	78.0	1800	0	0	0	1
2	74	199	277	561	15652	87.0	1800	0	0	0	1
2	239	306	315	871	6412	174.0	1800	0	0	0	1
2	239	307	317	875	6444	174.0	1800	0	0	0	1
2	239	306	315	871	6412	174.0	1800	0	0	0	1
2	239	307	317	874	6444	174.0	1800	0	0	0	1
2	239	307	317	875	6444	174.0	1800	0	0	0	1
2	239	306	315	871	6412	174.0	1800	0	0	0	1
2	239	307	316	874	6428	175.0	1800	0	0	0	1
2	239	306	315	872	6412	174.0	1800	0	0	0	1
2	239	307	316	874	6428	175.0	1800	0	0	0	1
2	239	306	315	871	6412	174.0	1800	0	0	0	1
2	239	307	316	874	6428	175.0	1800	0	0	0	1
2	239	306	315	872	6412	174.0	1800	0	0	0	1
2	239	307	316	873	6428	175.0	1800	0	0	0	1
2	239	306	315	872	6412	174.0	1800	0	0	0	1
2	239	307	316	874	6428	175.0	1800	0	0	0	1
2	239	306	315	872	6412	174.0	1800	0	0	0	1
2	239	307	316	873	6428	175.0	1800	0	0	0	1
2	239	307	316	873	6428	175.0	1800	0	0	0	1
2	239	307	316	873	6428	175.0	1800	0	0	0	1
2	239	307	316	873	6428	175.0	1800	0	0	0	1
2	239	307	316	873	6428	175.0	1800	0	0	0	1
2	239	307	316	873	6428	175.0	1800	0	0	0	1
2	239	307	316	874	6428	175.0	1800	0	0	0	1
2	239	306	315	872	6412	174.0	1800	0	0	0	1
2	239	307	316	873	6428	175.0	1800	0	0	0	1
2	239	306	315	871	6412	174.0	1800	0	0	0	0
2	187	273	304	775	7584	147.0	1800	0	0	0	0
2	56	187	271	524	19828	78.0	1800	0	0	0	0
2	56	188	272	527	19896	79.0	1800	0	0	0	0
2	56	186	271	523	19828	77.0	1800	0	0	0	0
2	56	188	272	527	19896	79.0	1800	0	0	0	0
2	56	186	271	523	19828	77.0	1800	0	0	0	0
3	56	188	273	527	19964	78.0	1800	0	0	0	1
3	72	197	275	553	15943	86.0	1800	0	0	0	1
3	239	307	316	874	6428	175.0	1800	0	0	0	1
3	239	306	314	870	6396	175.0	1800	0	0	0	1
3	239	307	316	873	6428	175.0	1800	0	0	0	1
3	239	306	314	870	6396	175.0	1800	0	0	0	1
3	239	307	316	874	6428	175.0	1800	0	0	0	1
3	239	306	314	870	6396	175.0	1800	0	0	0	1
3	239	306	314	871	6396	175.0	1800	0	0	0	1
3	239	307	316	873	6428	175.0	1800	0	0	0	1
3	239	306	314	870	6396	175.0	1800	0	0	0	1
