Stim	R	G	B	C	Temp	HueLux	Yellow	Red	Blue	Blue2	Trig
1	94	320	252	692	11605	290.0	1800	0	0	0	1
1	300	474	293	1128	5112	436.0	1800	0	0	0	1
1	749	812	386	2084	3354	755.0	1800	0	0	0	1
1	747	810	385	2077	3354	754.0	1800	0	0	0	1
1	747	810	386	2079	3359	753.0	1800	0	0	0	1
1	747	810	385	2079	3354	754.0	1800	0	0	0	1
1	747	811	386	2079	3359	755.0	1800	0	0	0	1
1	746	809	385	2076	3357	752.0	1800	0	0	0	1
1	746	810	385	2077	3357	754.0	1800	0	0	0	1
1	746	810	385	2077	3357	754.0	1800	0	0	0	1
1	747	810	385	2077	3354	754.0	1800	0	0	0	1
1	747	810	386	2079	3359	753.0	1800	0	0	0	1
1	746	809	385	2076	3357	752.0	1800	0	0	0	1
1	747	810	386	2079	3359	753.0	1800	0	0	0	1
1	747	810	385	2078	3354	754.0	1800	0	0	0	1
1	746	810	386	2077	3362	753.0	1800	0	0	0	1
1	747	810	386	2078	3359	753.0	1800	0	0	0	1
1	747	810	386	2079	3359	753.0	1800	0	0	0	1
1	746	809	385	2076	3357	752.0	1800	0	0	0	1
1	746	810	385	2078	3357	754.0	1800	0	0	0	1
1	747	810	386	2079	3359	753.0	1800	0	0	0	1
1	746	809	385	2076	3357	752.0	1800	0	0	0	1
1	746	809	385	2077	3357	752.0	1800	0	0	0	1
1	747	810	385	2079	3354	754.0	1800	0	0	0	1
1	746	810	385	2077	3357	754.0	1800	0	0	0	1
1	746	809	385	2076	3357	752.0	1800	0	0	0	1
1	746	810	385	2077	3357	754.0	1800	0	0	0	1
1	746	810	386	2077	3362	753.0	1800	0	0	0	0
1	393	543	312	1325	4415	501.0	1800	0	0	0	0
1	94	319	251	691	11564	289.0	1800	0	0	0	0
1	94	318	251	689	11564	287.0	1800	0	0	0	0
1	94	319	251	691	11564	289.0	1800	0	0	0	0
1	94	318	251	689	11564	287.0	1800	0	0	0	0
1	94	320	252	692	11605	290.0	1800	0	0	0	0
2	94	319	251	690	11564	289.0	1800	0	0	0	1
2	320	490	298	1172	4939	451.0	1800	0	0	0	1
2	746	809	385	2076	3357	752.0	1800	0	0	0	1
2	746	810	386	2079	3362	753.0	1800	0	0	0	1
2	747	810	385	2078	3354	754.0	1800	0	0	0	1
2	746	811	386	2079	3362	755.0	1800	0	0	0	1
2	746	809	385	2075	3357	752.0	1800	0	0	0	1
2	747	811	386	2081	3359	755.0	1800	0	0	0	1
2	746	809	385	2076	3357	752.0	1800	0	0	0	1
2	746	810	386	2078	3362	753.0	1800	0	0	0	1
2	747	811	386	2080	3359	755.0	1800	0	0	0	1
2	746	809	385	2075	3357	752.0	1800	0	0	0	1
2	747	811	386	2079	3359	755.0	1800	0	0	0	1
2	747	809	385	2077	3354	752.0	1800	0	0	0	1
2	746	811	386	2079	3362	755.0	1800	0	0	0	1
2	746	809	385	2075	3357	752.0	1800	0	0	0	1
2	747	811	386	2081	3359	755.0	1800	0	0	0	1
2	746	809	385	2075	3357	752.0	1800	0	0	0	1
2	746	811	386	2079	3362	755.0	1800	0	0	0	1
2	747	809	385	2077	3354	752.0	1800	0	0	0	1
2	746	811	386	2080	3362	755.0	1800	0	0	0	1
2	745	809	385	2074	3359	753.0	1800	0	0	0	1
2	747	811	386	2081	3359	755.0	1800	0	0	0	1
2	746	809	385	2076	3357	752.0	1800	0	0	0	1
2	746	811	386	2079	3362	755.0	1800	0	0	0	1
2	746	809	385	2076	3357	752.0	1800	0	0	0	1
2	747	811	386	2080	3359	755.0	1800	0	0	0	1
2	745	808	385	2074	3359	751.0	1800	0	0	0	0
2	396	546	313	1332	4402	504.0	1800	0	0	0	0
2	94	320	252	693	11605	290.0	1800	0	0	0	0
2	94	318	251	689	11564	287.0	1800	0	0	0	0
2	94	320	252	693	11605	290.0	1800	0	0	0	0
2	94	318	250	688	11523	288.0	1800	0	0	0	0
2	94	320	252	693	11605	290.0	1800	0	0	0	0
3	94	318	251	689	11564	287.0	1800	0	0	0	1
3	316	487	298	1164	4983	447.0	1800	0	0	0	1
3	746	809	385	2075	3357	752.0	1800	0	0	0	1
3	747	812	387	2082	3364	755.0	1800	0	0	0	1
3	746	809	385	2076	3357	752.0	1800	0	0	0	1
3	746	811	386	2079	3362	755.0	1800	0	0	0	1
3	746	809	385	2077	3357	752.0	1800	0	0	0	1
3	747	811	386	2081	3359	755.0	1800	0	0	0	1
3	745	809	385	2074	3359	753.0	1800	0	0	0	1
3	747	811	386	2080	3359	755.0	1800	0	0	0	1
3	746	809	385	2077	3357	752.0	1800	0	0	0	1
3	746	811	386	2079	3362	755.0	1800	0	0	0	1
3	747	812	387	2076	3364	755.0	1800	0	0	0	1
3	746	809	385	2075	3357	752.0	1800	0	0	0	1
3	746	811	386	2079	3362	755.0	1800	0	0	0	1
3	747	810	385	2077	3354	754.0	1800	0	0	0	1
3	746	811	386	2079	3362	755.0	1800	0	0	0	1
3	745	809	385	2075	3359	753.0	1800	0	0	0	1
3	747	811	386	2081	3359	755.0	1800	0	0	0	1
