Stim	R	G	B	C	Temp	HueLux	Yellow	Red	Blue	Blue2	Trig
1	351	469	406	1266	5798	329.0	1800	0	0	0	1
1	700	598	457	1808	3878	382.0	1800	0	0	0	1
1	2481	1263	729	4591	2510	654.0	1800	0	0	0	1
1	2473	1258	726	4576	2509	651.0	1800	0	0	0	1
1	2478	1262	729	4588	2511	653.0	1800	0	0	0	1
1	2475	1262	729	4584	2513	654.0	1800	0	0	0	1
1	2475	1260	728	4582	2511	652.0	1800	0	0	0	1
1	2474	1262	730	4584	2515	654.0	1800	0	0	0	1
1	2473	1260	728	4578	2512	653.0	1800	0	0	0	1
1	2478	1264	731	4591	2514	655.0	1800	0	0	0	1
1	2472	1260	728	4577	2513	653.0	1800	0	0	0	1
1	2475	1264	731	4588	2516	656.0	1800	0	0	0	1
1	2476	1262	729	4585	2512	654.0	1800	0	0	0	1
1	2475	1264	731	4588	2516	656.0	1800	0	0	0	1
1	2474	1261	729	4582	2513	653.0	1800	0	0	0	1
1	2478	1265	732	4594	2516	656.0	1800	0	0	0	1
1	2472	1261	728	4579	2513	654.0	1800	0	0	0	1
1	2477	1265	732	4591	2516	656.0	1800	0	0	0	1
1	2476	1262	729	4586	2512	654.0	1800	0	0	0	1
1	2475	1264	731	4589	2516	656.0	1800	0	0	0	1
1	2474	1262	729	4583	2513	655.0	1800	0	0	0	1
1	2479	1266	732	4595	2516	657.0	1800	0	0	0	1
1	2472	1261	729	4582	2514	654.0	1800	0	0	0	1
1	2477	1263	730	4588	2513	655.0	1800	0	0	0	1
1	2475	1265	732	4589	2517	657.0	1800	0	0	0	1
1	2474	1262	729	4584	2513	655.0	1800	0	0	0	1
1	2478	1266	732	4595	2516	657.0	1800	0	0	0	1
1	2473	1262	729	4582	2514	655.0	1800	0	0	0	0
1	1651	958	606	3304	2789	532.0	1800	0	0	0	0
1	353	472	408	1273	5794	331.0	1800	0	0	0	0
1	354	474	409	1279	5792	333.0	1800	0	0	0	0
1	353	472	408	1273	5794	331.0	1800	0	0	0	0
1	354	474	410	1279	5803	333.0	1800	0	0	0	0
1	353	473	408	1274	5794	333.0	1800	0	0	0	0
2	354	474	409	1279	5792	333.0	1800	0	0	0	1
2	760	625	470	1910	3747	395.0	1800	0	0	0	1
2	2476	1265	731	4591	2515	657.0	1800	0	0	0	1
2	2476	1264	730	4588	2514	656.0	1800	0	0	0	1
2	2478	1265	732	4593	2516	656.0	1800	0	0	0	1
2	2473	1263	730	4585	2515	656.0	1800	0	0	0	1
2	2477	1265	731	4591	2515	657.0	1800	0	0	0	1
2	2474	1264	731	4590	2516	656.0	1800	0	0	0	1
2	2476	1264	731	4590	2515	656.0	1800	0	0	0	1
2	2477	1265	731	4590	2515	657.0	1800	0	0	0	1
2	2474	1264	731	4586	2516	656.0	1800	0	0	0	1
2	2477	1264	731	4590	2515	655.0	1800	0	0	0	1
2	2477	1265	731	4591	2515	657.0	1800	0	0	0	1
2	2474	1263	730	4586	2515	655.0	1800	0	0	0	1
2	2477	1265	731	4592	2515	657.0	1800	0	0	0	1
2	2476	1264	730	4589	2514	656.0	1800	0	0	0	1
2	2475	1264	731	4588	2516	656.0	1800	0	0	0	1
2	2478	1264	731	4591	2514	655.0	1800	0	0	0	1
2	2476	1265	731	4591	2515	657.0	1800	0	0	0	1
2	2474	1263	730	4585	2515	655.0	1800	0	0	0	1
2	2479	1266	732	4596	2516	657.0	1800	0	0	0	1
2	2475	1263	730	4586	2514	655.0	1800	0	0	0	1
2	2476	1265	732	4591	2517	657.0	1800	0	0	0	1
2	2478	1264	730	4591	2513	656.0	1800	0	0	0	1
2	2475	1265	732	4590	2517	657.0	1800	0	0	0	1
2	2475	1263	732	4586	2517	654.0	1800	0	0	0	1
2	2473	1262	730	4583	2515	654.0	1800	0	0	0	1
2	2478	1266	732	4594	2516	657.0	1800	0	0	0	0
2	1658	959	606	3310	2783	531.0	1800	0	0	0	0
2	355	475	410	1280	5791	334.0	1800	0	0	0	0
2	352	472	407	1272	5796	332.0	1800	0	0	0	0
2	355	475	410	1280	5791	334.0	1800	0	0	0	0
2	352	472	407	1272	5796	332.0	1800	0	0	0	0
2	355	475	410	1280	5791	334.0	1800	0	0	0	0
3	352	472	407	1272	5796	332.0	1800	0	0	0	1
3	753	624	470	1902	3769	396.0	1800	0	0	0	1
3	2477	1264	730	4590	2513	656.0	1800	0	0	0	1
3	2478	1266	732	4595	2516	657.0	1800	0	0	0	1
3	2473	1262	729	4583	2514	655.0	1800	0	0	0	1
3	2479	1267	733	4596	2517	658.0	1800	0	0	0	1
3	2476	1263	730	4587	2514	655.0	1800	0	0	0	1
3	2476	1266	732	4592	2517	658.0	1800	0	0	0	1
3	2475	1263	730	4586	2514	655.0	1800	0	0	0	1
3	2479	1267	733	4598	2517	658.0	1800	0	0	0	1
3	2477	1266	733	4595	2518	657.0	1800	0	0	0	1
3	2477	1264	730	4589	2513	656.0	1800	0	0	0	1
3	2476	1266	732	4592	2517	658.0	1800	0	0	0	1
3	2475	1263	730	4586	2514	655.0	1800	0	0	0	1
3	2480	1267	733	4598	2517	658.0	1800	0	0	0	1
3	2474	1263	730	4584	2515	655.0	1800	0	0	0	1
3	2477	1266	732	4594	2516	658.0	1800	0	0	0	1
3	2477	1264	730	4590	2513	656.0	1800	0	0	0	1
3	2476	1266	732	4592	2517	658.0	1800	0	0	0	1
3	2476	1263	730	4588	2514	655.0	1800	0	0	0	1
3	2479	1267	733	4597	2517	658.0	1800	0	0	0	1
3	2473	1263	730	4584	2515	656.0	1800	0	0	0	1
3	2478	1266	732	4595	2516	657.0	1800	0	0	0	1
3	2477	1264	730	4589	2513	656.0	1800	0	0	0	1
3	2475	1265	732	4591	2517	657.0	1800	0	0	0	1
3	2476	1264	731	4589	2515	656.0	1800	0	0	0	1
3	2478	1266	732	4595	2516	657.0	1800	0	0	0	1
3	2474	1263	730	4585	2515	655.0	1800	0	0	0	0
3	1588	933	596	3203	2820	520.0	1800	0	0	0	0
3	354	475	410	1279	5803	334.0	1800	0	0	0	0
3	353	473	408	1276	5794	333.0	1800	0	0	0	0
3	355	475	410	1279	5791	334.0	1800	0	0	0	0
3	354	473	408	1276	5782	333.0	1800	0	0	0	0
3	354	474	409	1279	5792	333.0	1800	0	0	0	0
4	354	473	409	1276	5792	332.0	1800	0	0	0	1
4	354	474	409	1279	5792	333.0	1800	0	0	0	1
4	1399	864	567	2909	2935	494.0	1800	0	0	0	1
4	1398	864	568	2909	2938	494.0	1800	0	0	0	1
4	1398	863	567	2908	2936	493.0	1800	0	0	0	1
4	1398	863	568	2908	2938	492.0	1800	0	0	0	1
4	1398	863	568	2908	2938	492.0	1800	0	0	0	1
4	1398	863	567	2907	2936	493.0	1800	0	0	0	1
4	1398	864	568	2908	2938	494.0	1800	0	0	0	1
4	1397	863	567	2907	2937	493.0	1800	0	0	0	1
4	1417	871	571	2939	2926	496.0	1800	0	0	0	1
4	1439	879	574	2972	2910	500.0	1800	0	0	0	1
4	1436	877	573	2966	2911	498.0	1800	0	0	0	1
4	1435	878	574	2967	2915	499.0	1800	0	0	0	1
4	1435	877	573	2965	2912	498.0	1800	0	0	0	1
4	1437	878	574	2970	2912	499.0	1800	0	0	0	1
4	1438	878	573	2970	2909	499.0	1800	0	0	0	1
4	1431	877	573	2961	2916	500.0	1800	0	0	0	1
4	1436	877	573	2966	2911	498.0	1800	0	0	0	1
4	1439	880	575	2974	2913	500.0	1800	0	0	0	1
4	1434	876	572	2962	2910	498.0	1800	0	0	0	1
4	1403	866	569	2918	2936	494.0	1800	0	0	0	1
4	1397	862	566	2904	2934	492.0	1800	0	0	0	1
4	1398	864	569	2911	2941	493.0	1800	0	0	0	1
4	1396	862	566	2903	2935	493.0	1800	0	0	0	1
4	1398	864	569	2911	2941	493.0	1800	0	0	0	1
4	1397	862	566	2904	2934	492.0	1800	0	0	0	1
4	1399	865	569	2911	2940	494.0	1800	0	0	0	0
4	1396	862	566	2903	2935	493.0	1800	0	0	0	0
4	1399	865	569	2911	2940	494.0	1800	0	0	0	0
4	355	475	410	1282	5791	334.0	1800	0	0	0	0
4	353	472	408	1273	5794	331.0	1800	0	0	0	0
4	355	475	410	1282	5791	334.0	1800	0	0	0	0
4	353	472	408	1273	5794	331.0	1800	0	0	0	0
5	355	476	411	1282	5802	335.0	1800	0	131	0	1
5	353	472	408	1273	5794	331.0	1800	0	131	0	1
5	1402	874	614	2971	3059	474.0	1800	0	131	0	1
5	1403	872	613	2969	3055	472.0	1800	0	131	0	1
5	1401	874	615	2970	3063	474.0	1800	0	131	0	1
5	1398	871	612	2961	3058	472.0	1800	0	131	0	1
5	1400	874	614	2969	3061	475.0	1800	0	131	0	1
5	1403	872	613	2968	3055	472.0	1800	0	131	0	1
5	1401	874	615	2970	3063	474.0	1800	0	131	0	1
5	1402	872	613	2967	3056	472.0	1800	0	131	0	1
5	1440	889	623	3033	3039	479.0	1800	0	131	0	1
5	1432	884	618	3015	3035	478.0	1800	0	131	0	1
5	1442	890	623	3037	3037	480.0	1800	0	131	0	1
5	1437	886	620	3025	3034	478.0	1800	0	131	0	1
5	1439	887	620	3032	3032	479.0	1800	0	131	0	1
5	1439	888	622	3031	3037	479.0	1800	0	131	0	1
5	1438	886	620	3025	3033	477.0	1800	0	131	0	1
5	1441	890	623	3036	3038	480.0	1800	0	131	0	1
5	1436	885	620	3023	3035	476.0	1800	0	131	0	1
5	1435	887	621	3025	3039	479.0	1800	0	131	0	1
5	1411	876	615	2983	3051	474.0	1800	0	131	0	1
5	1400	874	614	2969	3061	475.0	1800	0	131	0	1
5	1399	872	613	2963	3060	473.0	1800	0	131	0	1
5	1400	873	614	2969	3061	474.0	1800	0	131	0	1
5	1399	872	613	2964	3060	473.0	1800	0	131	0	1
5	1400	873	614	2968	3061	474.0	1800	0	131	0	1
5	1399	872	613	2964	3060	473.0	1800	0	131	0	1
5	1405	875	615	2975	3058	474.0	1800	0	131	0	0
5	1399	872	613	2964	3060	473.0	1800	0	131	0	0
5	1400	873	614	2967	3061	474.0	1800	0	131	0	0
5	354	474	409	1277	5792	333.0	1800	0	131	0	0
5	355	475	410	1279	5791	334.0	1800	0	131	0	0
5	354	474	409	1278	5792	333.0	1800	0	131	0	0
5	354	474	409	1278	5792	333.0	1800	0	131	0	0
6	354	474	409	1279	5792	333.0	1800	0	263	0	1
6	354	474	409	1278	5792	333.0	1800	0	263	0	1
6	1408	907	793	3194	3536	394.0	1800	0	263	0	1
6	1406	907	793	3193	3539	394.0	1800	0	263	0	1
6	1406	907	793	3192	3539	394.0	1800	0	263	0	1
6	1411	909	795	3202	3537	394.0	1800	0	263	0	1
6	1406	907	793	3191	3539	394.0	1800	0	263	0	1
6	1406	907	793	3193	3539	394.0	1800	0	263	0	1
6	1406	907	793	3191	3539	394.0	1800	0	263	0	1
6	1406	907	794	3194	3542	393.0	1800	0	263	0	1
6	1446	923	807	3264	3517	396.0	1800	0	263	0	1
6	1447	924	809	3268	3521	396.0	1800	0	263	0	1
6	1443	922	806	3259	3519	396.0	1800	0	263	0	1
6	1443	923	807	3261	3521	397.0	1800	0	263	0	1
6	1445	922	807	3263	3518	395.0	1800	0	263	0	1
6	1445	923	807	3264	3518	397.0	1800	0	263	0	1
6	1447	923	807	3265	3515	396.0	1800	0	263	0	1
6	1444	922	806	3259	3517	396.0	1800	0	263	0	1
6	1449	925	808	3270	3515	398.0	1800	0	263	0	1
6	1443	922	807	3259	3521	396.0	1800	0	263	0	1
6	1425	915	800	3228	3529	396.0	1800	0	263	0	1
6	1405	906	792	3189	3538	394.0	1800	0	263	0	1
6	1407	908	794	3196	3541	395.0	1800	0	263	0	1
6	1405	906	792	3188	3538	394.0	1800	0	263	0	1
6	1407	908	794	3196	3541	395.0	1800	0	263	0	1
6	1410	907	794	3197	3536	392.0	1800	0	263	0	1
6	1407	908	794	3196	3541	395.0	1800	0	263	0	1
6	1405	905	792	3188	3538	392.0	1800	0	263	0	0
6	1407	908	794	3196	3541	395.0	1800	0	263	0	0
6	1410	907	793	3197	3533	393.0	1800	0	263	0	0
6	355	476	410	1282	5791	335.0	1800	0	263	0	0
6	353	472	408	1274	5794	331.0	1800	0	263	0	0
6	355	476	410	1282	5791	335.0	1800	0	263	0	0
6	353	472	408	1274	5794	331.0	1800	0	263	0	0
7	355	475	410	1282	5791	334.0	1800	0	394	0	1
7	355	476	411	1283	5802	335.0	1800	0	394	0	1
7	1414	944	993	3444	4066	304.0	1800	0	394	0	1
7	1420	949	998	3461	4068	306.0	1800	0	394	0	1
7	1412	944	993	3442	4070	304.0	1800	0	394	0	1
7	1415	947	996	3451	4072	306.0	1800	0	394	0	1
7	1412	944	993	3442	4070	304.0	1800	0	394	0	1
7	1414	947	996	3450	4074	306.0	1800	0	394	0	1
7	1412	944	993	3442	4070	304.0	1800	0	394	0	1
7	1415	947	996	3450	4072	306.0	1800	0	394	0	1
7	1412	944	993	3442	4070	304.0	1800	0	394	0	1
7	1453	964	1018	3530	4060	304.0	1800	0	394	0	1
7	1453	962	1015	3524	4052	303.0	1800	0	394	0	1
7	1456	965	1019	3535	4057	304.0	1800	0	394	0	1
7	1450	961	1015	3521	4058	303.0	1800	0	394	0	1
7	1455	964	1017	3531	4054	304.0	1800	0	394	0	1
7	1453	962	1014	3524	4049	304.0	1800	0	394	0	1
7	1452	964	1017	3528	4059	305.0	1800	0	394	0	1
7	1453	962	1014	3523	4049	304.0	1800	0	394	0	1
7	1445	959	1012	3511	4059	303.0	1800	0	394	0	1
7	1455	964	1017	3531	4054	304.0	1800	0	394	0	1
7	1453	962	1016	3527	4055	303.0	1800	0	394	0	1
7	1414	946	995	3449	4072	305.0	1800	0	394	0	1
7	1417	946	996	3452	4069	304.0	1800	0	394	0	1
7	1414	946	995	3449	4072	305.0	1800	0	394	0	1
7	1412	944	993	3443	4070	304.0	1800	0	394	0	1
7	1414	946	995	3449	4072	305.0	1800	0	394	0	1
7	1413	944	994	3443	4071	303.0	1800	0	394	0	1
7	1414	946	995	3449	4072	305.0	1800	0	394	0	0
7	1413	944	994	3444	4071	303.0	1800	0	394	0	0
7	355	475	410	1281	5791	334.0	1800	0	394	0	0
7	354	473	408	1276	5782	333.0	1800	0	394	0	0
7	355	475	410	1280	5791	334.0	1800	0	394	0	0
7	354	473	408	1275	5782	333.0	1800	0	394	0	0
8	355	475	410	1281	5791	334.0	1800	0	526	0	1
8	354	473	409	1276	5792	332.0	1800	0	526	0	1
8	355	475	410	1281	5791	334.0	1800	0	526	0	1
8	1422	988	1214	3725	4643	209.0	1800	0	526	0	1
8	1421	986	1213	3720	4643	207.0	1800	0	526	0	1
8	1427	990	1217	3734	4640	208.0	1800	0	526	0	1
8	1421	986	1213	3721	4643	207.0	1800	0	526	0	1
8	1422	987	1214	3724	4643	207.0	1800	0	526	0	1
