Stim	R	G	B	C	Temp	HueLux	Yellow	Red	Blue	Blue2	Trig
1	380	361	275	1049	4148	245.0	1800	0	0	0	1
1	417	375	281	1107	3958	250.0	1800	0	0	0	1
1	2457	1083	581	4216	2291	486.0	1800	0	0	0	1
1	2445	1078	580	4198	2294	483.0	1800	0	0	0	1
1	2449	1080	581	4205	2294	484.0	1800	0	0	0	1
1	2447	1079	580	4200	2294	484.0	1800	0	0	0	1
1	2445	1079	581	4199	2296	484.0	1800	0	0	0	1
1	2445	1078	580	4198	2294	483.0	1800	0	0	0	1
1	2449	1080	581	4204	2294	484.0	1800	0	0	0	1
1	2446	1078	580	4199	2294	482.0	1800	0	0	0	1
1	2445	1078	580	4198	2294	483.0	1800	0	0	0	1
1	2446	1079	580	4200	2294	484.0	1800	0	0	0	1
1	2449	1079	581	4203	2294	482.0	1800	0	0	0	1
1	2446	1078	580	4199	2294	482.0	1800	0	0	0	1
1	2445	1078	580	4198	2294	483.0	1800	0	0	0	1
1	2448	1079	581	4202	2295	483.0	1800	0	0	0	1
1	2447	1079	580	4201	2294	484.0	1800	0	0	0	1
1	2445	1078	580	4198	2294	483.0	1800	0	0	0	1
1	2445	1078	580	4198	2294	483.0	1800	0	0	0	1
1	2449	1080	581	4205	2294	484.0	1800	0	0	0	1
1	2446	1078	580	4198	2294	482.0	1800	0	0	0	1
1	2446	1078	580	4198	2294	482.0	1800	0	0	0	1
1	2449	1080	581	4205	2294	484.0	1800	0	0	0	1
1	2445	1078	580	4197	2294	483.0	1800	0	0	0	1
1	2445	1079	581	4199	2296	484.0	1800	0	0	0	1
1	2446	1078	580	4198	2294	482.0	1800	0	0	0	1
1	2448	1080	581	4204	2295	484.0	1800	0	0	0	1
1	2444	1077	580	4195	2295	481.0	1800	0	0	0	0
1	1943	904	507	3433	2385	424.0	1800	0	0	0	0
1	379	360	274	1046	4145	244.0	1800	0	0	0	0
1	381	362	276	1051	4151	245.0	1800	0	0	0	0
1	379	360	274	1046	4145	244.0	1800	0	0	0	0
1	381	362	276	1051	4151	245.0	1800	0	0	0	0
1	379	360	274	1045	4145	244.0	1800	0	0	0	0
2	381	362	276	1052	4151	245.0	1800	0	0	0	1
2	471	392	288	1186	3720	255.0	1800	0	0	0	1
2	2449	1081	581	4206	2294	485.0	1800	0	0	0	1
2	2447	1078	580	4200	2294	482.0	1800	0	0	0	1
2	2447	1080	581	4202	2295	484.0	1800	0	0	0	1
2	2448	1080	581	4204	2295	484.0	1800	0	0	0	1
2	2446	1078	580	4198	2294	482.0	1800	0	0	0	1
2	2446	1080	581	4202	2295	485.0	1800	0	0	0	1
2	2443	1078	580	4196	2295	483.0	1800	0	0	0	1
2	2449	1081	582	4207	2296	485.0	1800	0	0	0	1
2	2447	1079	581	4202	2295	483.0	1800	0	0	0	1
2	2447	1081	582	4205	2297	485.0	1800	0	0	0	1
2	2445	1079	580	4199	2294	484.0	1800	0	0	0	1
2	2451	1083	583	4211	2297	486.0	1800	0	0	0	1
2	2447	1080	581	4202	2295	484.0	1800	0	0	0	1
2	2447	1081	582	4206	2297	485.0	1800	0	0	0	1
2	2446	1079	581	4201	2295	483.0	1800	0	0	0	1
2	2450	1082	583	4210	2297	485.0	1800	0	0	0	1
2	2445	1079	580	4199	2294	484.0	1800	0	0	0	1
2	2446	1081	582	4204	2297	486.0	1800	0	0	0	1
2	2446	1079	580	4200	2294	484.0	1800	0	0	0	1
2	2449	1082	582	4208	2296	486.0	1800	0	0	0	1
2	2444	1078	580	4196	2295	483.0	1800	0	0	0	1
2	2446	1078	580	4199	2294	482.0	1800	0	0	0	1
2	2447	1080	581	4204	2295	484.0	1800	0	0	0	1
2	2443	1078	580	4194	2295	483.0	1800	0	0	0	1
2	2447	1080	581	4202	2295	484.0	1800	0	0	0	1
2	2447	1079	580	4200	2294	484.0	1800	0	0	0	0
2	1966	913	510	3470	2379	429.0	1800	0	0	0	0
2	380	361	275	1049	4148	245.0	1800	0	0	0	0
2	382	363	276	1053	4143	246.0	1800	0	0	0	0
2	380	361	275	1049	4148	245.0	1800	0	0	0	0
2	382	362	276	1053	4143	245.0	1800	0	0	0	0
2	380	361	275	1050	4148	245.0	1800	0	0	0	0
3	381	362	276	1053	4151	245.0	1800	0	0	0	1
3	454	387	286	1162	3791	254.0	1800	0	0	0	1
3	2447	1080	581	4203	2295	484.0	1800	0	0	0	1
3	2446	1079	580	4200	2294	484.0	1800	0	0	0	1
3	2448	1080	581	4205	2295	484.0	1800	0	0	0	1
3	2445	1079	580	4199	2294	484.0	1800	0	0	0	1
3	2444	1079	580	4198	2295	485.0	1800	0	0	0	1
3	2446	1079	581	4201	2295	483.0	1800	0	0	0	1
3	2444	1078	580	4197	2295	483.0	1800	0	0	0	1
3	2446	1079	581	4201	2295	483.0	1800	0	0	0	1
3	2447	1080	581	4202	2295	484.0	1800	0	0	0	1
3	2444	1078	580	4197	2295	483.0	1800	0	0	0	1
3	2446	1079	581	4201	2295	483.0	1800	0	0	0	1
3	2447	1079	581	4202	2295	483.0	1800	0	0	0	1
3	2445	1079	581	4200	2296	484.0	1800	0	0	0	1
3	2444	1078	580	4198	2295	483.0	1800	0	0	0	1
3	2449	1081	582	4206	2296	485.0	1800	0	0	0	1
3	2444	1078	580	4197	2295	483.0	1800	0	0	0	1
3	2445	1080	581	4200	2296	485.0	1800	0	0	0	1
3	2447	1079	580	4202	2294	484.0	1800	0	0	0	1
3	2446	1080	581	4202	2295	485.0	1800	0	0	0	1
3	2443	1078	580	4195	2295	483.0	1800	0	0	0	1
3	2448	1080	582	4205	2296	483.0	1800	0	0	0	1
3	2445	1078	580	4198	2294	483.0	1800	0	0	0	1
3	2445	1079	581	4200	2296	484.0	1800	0	0	0	1
3	2447	1080	581	4204	2295	484.0	1800	0	0	0	1
3	2442	1077	579	4193	2294	483.0	1800	0	0	0	1
3	2446	1080	581	4203	2295	485.0	1800	0	0	0	0
3	1898	888	499	3364	2392	420.0	1800	0	0	0	0
3	382	363	276	1055	4143	246.0	1800	0	0	0	0
3	380	361	275	1049	4148	245.0	1800	0	0	0	0
3	383	364	277	1058	4146	247.0	1800	0	0	0	0
