Stim	R	G	B	C	Temp	HueLux	Yellow	Red	Blue	Blue2	Trig
1	179	98	104	371	3558	20.0	1800	0	0	0	1
1	1231	218	230	1596	1996	0.0	1800	0	0	0	1
1	1646	265	280	2078	1927	0.0	1800	0	0	0	1
1	1647	266	280	2080	1927	0.0	1800	0	0	0	1
1	1643	265	279	2075	1926	0.0	1800	0	0	0	1
1	1646	266	280	2079	1927	0.0	1800	0	0	0	1
1	1645	265	279	2076	1925	0.0	1800	0	0	0	1
1	1644	265	280	2076	1928	0.0	1800	0	0	0	1
1	1646	265	279	2077	1925	0.0	1800	0	0	0	1
1	1645	266	280	2077	1926	0.0	1800	0	0	0	1
1	1644	265	279	2075	1926	0.0	1800	0	0	0	1
1	1647	266	280	2080	1927	0.0	1800	0	0	0	1
1	1643	265	279	2075	1926	0.0	1800	0	0	0	1
1	1645	266	280	2078	1928	0.0	1800	0	0	0	1
1	1646	265	280	2078	1927	0.0	1800	0	0	0	1
1	1645	265	279	2076	1925	0.0	1800	0	0	0	1
1	1646	266	280	2079	1927	0.0	1800	0	0	0	1
1	1643	265	279	2074	1926	0.0	1800	0	0	0	1
1	1646	266	280	2079	1927	0.0	1800	0	0	0	1
1	1644	265	279	2076	1926	0.0	1800	0	0	0	1
1	1644	266	280	2077	1928	0.0	1800	0	0	0	1
1	1646	265	280	2078	1927	0.0	1800	0	0	0	1
1	1645	266	280	2077	1926	0.0	1800	0	0	0	1
1	1644	265	279	2075	1926	0.0	1800	0	0	0	1
1	1647	266	280	2080	1927	0.0	1800	0	0	0	1
1	1643	265	279	2074	1926	0.0	1800	0	0	0	1
1	1646	266	280	2078	1925	0.0	1800	0	0	0	1
1	1645	265	279	2076	1925	0.0	1800	0	0	0	0
1	1644	266	280	2076	1926	0.0	1800	0	0	0	0
1	259	107	113	464	2993	2.0	1800	0	0	0	0
1	180	98	104	373	3555	20.0	1800	0	0	0	0
1	179	97	104	371	3568	18.0	1800	0	0	0	0
1	180	98	104	373	3555	20.0	1800	0	0	0	0
1	180	98	104	373	3555	20.0	1800	0	0	0	0
2	179	97	104	371	3568	18.0	1800	0	0	0	1
2	1277	224	236	1649	1984	0.0	1800	0	0	0	1
2	1645	265	279	2077	1925	0.0	1800	0	0	0	1
2	1646	266	280	2079	1927	0.0	1800	0	0	0	1
2	1643	265	279	2074	1926	0.0	1800	0	0	0	1
2	1647	266	280	2079	1925	0.0	1800	0	0	0	1
2	1644	265	279	2075	1926	0.0	1800	0	0	0	1
2	1644	265	280	2077	1928	0.0	1800	0	0	0	1
2	1646	265	280	2078	1927	0.0	1800	0	0	0	1
2	1644	266	280	2077	1928	0.0	1800	0	0	0	1
2	1644	265	279	2075	1926	0.0	1800	0	0	0	1
2	1647	266	280	2079	1925	0.0	1800	0	0	0	1
2	1643	265	279	2075	1926	0.0	1800	0	0	0	1
2	1645	266	280	2077	1926	0.0	1800	0	0	0	1
2	1645	265	280	2077	1928	0.0	1800	0	0	0	1
2	1643	265	280	2076	1928	0.0	1800	0	0	0	1
2	1644	265	280	2076	1928	0.0	1800	0	0	0	1
2	1643	265	279	2074	1926	0.0	1800	0	0	0	1
2	1645	266	280	2078	1928	0.0	1800	0	0	0	1
2	1645	265	280	2077	1928	0.0	1800	0	0	0	1
2	1643	265	280	2075	1928	0.0	1800	0	0	0	1
2	1645	265	280	2077	1928	0.0	1800	0	0	0	1
2	1645	265	280	2077	1928	0.0	1800	0	0	0	1
2	1643	265	279	2074	1926	0.0	1800	0	0	0	1
2	1645	265	280	2077	1928	0.0	1800	0	0	0	1
2	1645	265	280	2076	1926	0.0	1800	0	0	0	1
2	1643	265	279	2074	1926	0.0	1800	0	0	0	1
2	1645	265	280	2077	1928	0.0	1800	0	0	0	0
2	1645	265	280	2077	1928	0.0	1800	0	0	0	0
2	263	107	114	469	2983	0.0	1800	0	0	0	0
2	179	98	104	372	3568	20.0	1800	0	0	0	0
2	180	98	104	372	3546	20.0	1800	0	0	0	0
2	180	98	104	372	3546	20.0	1800	0	0	0	0
2	180	98	104	372	3546	20.0	1800	0	0	0	0
3	179	98	104	372	3568	20.0	1800	0	0	0	1
3	180	223	235	372	9659	121.0	1800	0	0	0	1
3	1645	266	280	2077	1926	0.0	1800	0	0	0	1
3	1643	265	279	2074	1926	0.0	1800	0	0	0	1
3	1646	266	280	2078	1925	0.0	1800	0	0	0	1
3	1644	265	279	2075	1926	0.0	1800	0	0	0	1
3	1643	265	280	2075	1928	0.0	1800	0	0	0	1
3	1645	265	279	2076	1925	0.0	1800	0	0	0	1
3	1645	265	280	2077	1928	0.0	1800	0	0	0	1
3	1642	265	279	2073	1926	0.0	1800	0	0	0	1
3	1645	266	280	2078	1928	0.0	1800	0	0	0	1
3	1644	265	279	2075	1926	0.0	1800	0	0	0	1
3	1643	265	280	2075	1928	0.0	1800	0	0	0	1
3	1644	265	279	2076	1926	0.0	1800	0	0	0	1
3	1645	266	280	2077	1926	0.0	1800	0	0	0	1
3	1642	265	279	2073	1926	0.0	1800	0	0	0	1
3	1646	266	280	2078	1925	0.0	1800	0	0	0	1
3	1644	265	279	2075	1926	0.0	1800	0	0	0	1
3	1643	265	280	2076	1928	0.0	1800	0	0	0	1
3	1644	265	279	2076	1926	0.0	1800	0	0	0	1
3	1642	265	279	2073	1926	0.0	1800	0	0	0	1
3	1646	266	280	2079	1927	0.0	1800	0	0	0	1
3	1643	265	279	2075	1926	0.0	1800	0	0	0	1
3	1643	265	280	2075	1928	0.0	1800	0	0	0	1
3	1644	265	279	2076	1926	0.0	1800	0	0	0	1
3	1644	266	280	2077	1928	0.0	1800	0	0	0	1
3	1642	265	279	2073	1926	0.0	1800	0	0	0	1
3	1646	266	280	2079	1927	0.0	1800	0	0	0	0
3	1643	265	279	2074	1926	0.0	1800	0	0	0	0
3	215	102	108	414	3259	12.0	1800	0	0	0	0
3	179	97	104	371	3568	18.0	1800	0	0	0	0
3	180	98	104	373	3555	20.0	1800	0	0	0	0
3	179	97	104	371	3568	18.0	1800	0	0	0	0
3	180	98	104	373	3555	20.0	1800	0	0	0	0
4	179	97	104	371	3568	18.0	1800	0	0	0	1
4	180	98	104	373	3555	20.0	1800	0	0	0	1
4	457	129	137	694	2448	0.0	1800	0	0	0	1
4	926	183	194	1241	2084	0.0	1800	0	0	0	1
