Stim	R	G	B	C	Temp	HueLux	Yellow	Red	Blue	Blue2	Trig
1	323	405	207	978	3832	382.0	1800	0	0	0	1
1	1365	791	362	2601	2401	540.0	1800	0	0	0	1
1	2411	1180	520	4233	2212	699.0	1800	0	0	0	1
1	2410	1178	519	4229	2211	697.0	1800	0	0	0	1
1	2407	1178	520	4228	2214	697.0	1800	0	0	0	1
1	2406	1176	519	4222	2212	695.0	1800	0	0	0	1
1	2411	1179	520	4232	2212	697.0	1800	0	0	0	1
1	2405	1176	518	4221	2211	696.0	1800	0	0	0	1
1	2407	1178	520	4227	2214	697.0	1800	0	0	0	1
1	2408	1177	519	4226	2212	696.0	1800	0	0	0	1
1	2406	1178	520	4226	2214	697.0	1800	0	0	0	1
1	2410	1179	520	4231	2213	697.0	1800	0	0	0	1
1	2404	1175	518	4219	2211	694.0	1800	0	0	0	1
1	2407	1178	520	4227	2214	697.0	1800	0	0	0	1
1	2407	1176	519	4224	2212	694.0	1800	0	0	0	1
1	2405	1178	519	4225	2213	698.0	1800	0	0	0	1
1	2405	1176	518	4221	2211	696.0	1800	0	0	0	1
1	2409	1179	520	4230	2213	698.0	1800	0	0	0	1
1	2403	1175	518	4218	2212	695.0	1800	0	0	0	1
1	2407	1178	520	4227	2214	697.0	1800	0	0	0	1
1	2407	1176	519	4224	2212	694.0	1800	0	0	0	1
1	2406	1178	519	4225	2212	698.0	1800	0	0	0	1
1	2405	1176	518	4220	2211	696.0	1800	0	0	0	1
1	2409	1179	520	4230	2213	698.0	1800	0	0	0	1
1	2403	1175	518	4218	2212	695.0	1800	0	0	0	1
1	2407	1178	520	4227	2214	697.0	1800	0	0	0	1
1	2407	1176	519	4223	2212	694.0	1800	0	0	0	1
1	2405	1178	519	4225	2213	698.0	1800	0	0	0	0
1	2405	1175	518	4221	2211	694.0	1800	0	0	0	0
1	320	402	205	972	3831	380.0	1800	0	0	0	0
1	323	405	207	978	3832	382.0	1800	0	0	0	0
1	320	402	205	972	3831	380.0	1800	0	0	0	0
1	322	405	207	978	3840	383.0	1800	0	0	0	0
