Stim	R	G	B	C	Temp	HueLux	Yellow	Red	Blue	Blue2	Trig
1	56	186	271	523	19828	77.0	0	0	0	0	1
1	56	188	273	527	19964	78.0	0	0	0	0	1
1	56	186	271	524	19828	77.0	0	0	0	0	1
1	56	188	273	527	19964	78.0	0	0	0	0	1
1	56	187	271	524	19828	78.0	0	0	0	0	1
1	56	188	273	527	19964	78.0	0	0	0	0	1
1	56	187	271	524	19828	78.0	0	0	0	0	1
1	56	188	273	527	19964	78.0	0	0	0	0	1
1	56	187	271	524	19828	78.0	0	0	0	0	1
1	56	188	273	527	19964	78.0	0	0	0	0	1
1	56	187	271	524	19828	78.0	0	0	0	0	1
1	56	188	272	527	19896	79.0	0	0	0	0	1
1	56	188	272	527	19896	79.0	0	0	0	0	1
1	56	187	272	525	19896	77.0	0	0	0	0	1
1	56	188	272	527	19896	79.0	0	0	0	0	1
1	56	187	272	525	19896	77.0	0	0	0	0	1
1	56	187	272	527	19896	77.0	0	0	0	0	1
1	56	187	272	526	19896	77.0	0	0	0	0	1
1	56	187	272	526	19896	77.0	0	0	0	0	1
1	56	188	272	527	19896	79.0	0	0	0	0	1
1	56	187	272	526	19896	77.0	0	0	0	0	1
1	56	188	273	527	19964	78.0	0	0	0	0	1
1	56	187	272	526	19896	77.0	0	0	0	0	1
1	56	188	273	527	19964	78.0	0	0	0	0	1
1	56	187	272	525	19896	77.0	0	0	0	0	1
1	56	188	273	528	19964	78.0	0	0	0	0	1
1	56	187	272	525	19896	77.0	0	0	0	0	1
1	56	188	273	528	19964	78.0	0	0	0	0	0
1	56	187	272	525	19896	77.0	0	0	0	0	0
1	56	188	273	528	19964	78.0	0	0	0	0	0
1	56	188	273	528	19964	78.0	0	0	0	0	0
1	56	187	271	525	19828	78.0	0	0	0	0	0
1	56	188	273	528	19964	78.0	0	0	0	0	0
1	56	187	271	525	19828	78.0	0	0	0	0	0
2	56	188	273	528	19964	78.0	0	0	0	0	1
2	56	187	271	525	19828	78.0	0	0	0	0	1
2	56	188	273	529	19964	78.0	0	0	0	0	1
2	56	187	272	525	19896	77.0	0	0	0	0	1
2	56	188	273	528	19964	78.0	0	0	0	0	1
2	56	187	272	525	19896	77.0	0	0	0	0	1
2	56	188	273	528	19964	78.0	0	0	0	0	1
2	56	187	272	525	19896	77.0	0	0	0	0	1
2	56	188	273	528	19964	78.0	0	0	0	0	1
2	56	187	272	525	19896	77.0	0	0	0	0	1
2	56	188	273	528	19964	78.0	0	0	0	0	1
2	56	187	272	526	19896	77.0	0	0	0	0	1
2	56	188	273	528	19964	78.0	0	0	0	0	1
2	56	187	272	526	19896	77.0	0	0	0	0	1
2	56	187	272	526	19896	77.0	0	0	0	0	1
2	56	188	273	527	19964	78.0	0	0	0	0	1
2	56	187	272	526	19896	77.0	0	0	0	0	1
2	56	187	272	526	19896	77.0	0	0	0	0	1
2	56	188	272	527	19896	79.0	0	0	0	0	1
2	56	187	272	526	19896	77.0	0	0	0	0	1
2	56	188	273	527	19964	78.0	0	0	0	0	1
2	56	187	272	526	19896	77.0	0	0	0	0	1
2	56	188	273	527	19964	78.0	0	0	0	0	1
2	56	187	272	526	19896	77.0	0	0	0	0	1
2	56	188	273	528	19964	78.0	0	0	0	0	1
2	56	187	272	525	19896	77.0	0	0	0	0	1
2	56	188	273	528	19964	78.0	0	0	0	0	1
2	56	187	272	525	19896	77.0	0	0	0	0	0
2	56	188	273	528	19964	78.0	0	0	0	0	0
2	56	187	272	525	19896	77.0	0	0	0	0	0
2	56	188	273	528	19964	78.0	0	0	0	0	0
2	56	187	272	525	19896	77.0	0	0	0	0	0
2	56	187	271	525	19828	78.0	0	0	0	0	0
2	56	188	273	528	19964	78.0	0	0	0	0	0
3	56	187	271	525	19828	78.0	0	0	0	0	1
3	56	188	273	528	19964	78.0	0	0	0	0	1
3	56	187	271	525	19828	78.0	0	0	0	0	1
3	56	188	273	528	19964	78.0	0	0	0	0	1
3	56	187	271	525	19828	78.0	0	0	0	0	1
3	56	188	273	528	19964	78.0	0	0	0	0	1
3	56	187	272	525	19896	77.0	0	0	0	0	1
3	56	188	273	528	19964	78.0	0	0	0	0	1
3	56	187	272	525	19896	77.0	0	0	0	0	1
3	56	188	273	528	19964	78.0	0	0	0	0	1
3	56	187	272	526	19896	77.0	0	0	0	0	1
3	56	188	273	528	19964	78.0	0	0	0	0	1
3	56	187	272	526	19896	77.0	0	0	0	0	1
3	56	188	273	528	19964	78.0	0	0	0	0	1
3	56	187	272	526	19896	77.0	0	0	0	0	1
3	56	188	273	527	19964	78.0	0	0	0	0	1
3	56	188	273	526	19964	78.0	0	0	0	0	1
3	56	188	272	527	19896	79.0	0	0	0	0	1
3	56	187	272	526	19896	77.0	0	0	0	0	1
3	56	188	273	527	19964	78.0	0	0	0	0	1
3	56	187	272	526	19896	77.0	0	0	0	0	1
3	56	188	273	527	19964	78.0	0	0	0	0	1
3	56	187	272	526	19896	77.0	0	0	0	0	1
3	56	188	273	527	19964	78.0	0	0	0	0	1
3	56	187	272	525	19896	77.0	0	0	0	0	1
3	56	188	273	528	19964	78.0	0	0	0	0	1
3	56	187	271	525	19828	78.0	0	0	0	0	1
3	56	188	273	528	19964	78.0	0	0	0	0	0
3	56	187	272	525	19896	77.0	0	0	0	0	0
3	56	188	273	528	19964	78.0	0	0	0	0	0
3	56	187	271	524	19828	78.0	0	0	0	0	0
3	56	188	273	528	19964	78.0	0	0	0	0	0
3	56	187	271	525	19828	78.0	0	0	0	0	0
3	56	188	273	528	19964	78.0	0	0	0	0	0
4	56	187	273	525	19964	77.0	0	0	0	0	1
4	56	187	271	525	19828	78.0	0	0	0	0	1
4	56	188	273	528	19964	78.0	0	0	0	0	1
4	56	187	272	525	19896	77.0	0	0	0	0	1
4	56	188	273	528	19964	78.0	0	0	0	0	1
4	56	187	272	525	19896	77.0	0	0	0	0	1
4	56	188	273	528	19964	78.0	0	0	0	0	1
4	56	187	272	525	19896	77.0	0	0	0	0	1
4	56	188	273	528	19964	78.0	0	0	0	0	1
4	56	187	272	525	19896	77.0	0	0	0	0	1
4	56	188	273	527	19964	78.0	0	0	0	0	1
4	56	187	272	526	19896	77.0	0	0	0	0	1
