Stim	R	G	B	C	Temp	HueLux	Yellow	Red	Blue	Blue2	Trig
1	93	317	250	685	11632	287.0	0	0	0	0	1
1	93	315	248	681	11551	285.0	0	0	0	0	1
1	93	317	250	685	11632	287.0	0	0	0	0	1
1	93	315	248	682	11551	285.0	0	0	0	0	1
1	93	317	250	686	11632	287.0	0	0	0	0	1
1	93	316	249	683	11591	286.0	0	0	0	0	1
1	93	317	250	686	11632	287.0	0	0	0	0	1
1	93	316	249	683	11591	286.0	0	0	0	0	1
1	93	317	250	685	11632	287.0	0	0	0	0	1
1	93	316	249	683	11591	286.0	0	0	0	0	1
1	93	317	250	685	11632	287.0	0	0	0	0	1
1	93	316	249	683	11591	286.0	0	0	0	0	1
1	93	316	249	685	11591	286.0	0	0	0	0	1
1	93	317	250	685	11632	287.0	0	0	0	0	1
1	93	316	249	684	11591	286.0	0	0	0	0	1
1	93	316	249	684	11591	286.0	0	0	0	0	1
1	93	316	249	684	11591	286.0	0	0	0	0	1
1	93	316	249	684	11591	286.0	0	0	0	0	1
1	93	316	249	684	11591	286.0	0	0	0	0	1
1	93	316	249	684	11591	286.0	0	0	0	0	1
1	93	316	249	684	11591	286.0	0	0	0	0	1
1	93	316	249	683	11591	286.0	0	0	0	0	1
1	93	317	249	685	11591	287.0	0	0	0	0	1
1	93	316	249	683	11591	286.0	0	0	0	0	1
1	93	316	249	685	11591	286.0	0	0	0	0	1
1	93	315	248	682	11551	285.0	0	0	0	0	1
1	93	317	249	685	11591	287.0	0	0	0	0	1
1	93	315	249	682	11591	284.0	0	0	0	0	0
1	94	317	250	685	11523	286.0	0	0	0	0	0
1	93	315	249	682	11591	284.0	0	0	0	0	0
1	94	317	248	685	11442	288.0	0	0	0	0	0
1	94	317	250	686	11523	286.0	0	0	0	0	0
1	93	315	249	682	11591	284.0	0	0	0	0	0
1	94	317	250	687	11523	286.0	0	0	0	0	0
2	93	316	249	683	11591	286.0	0	0	0	0	1
2	94	318	250	687	11523	288.0	0	0	0	0	1
2	93	316	249	683	11591	286.0	0	0	0	0	1
2	94	318	250	687	11523	288.0	0	0	0	0	1
2	93	315	249	683	11591	284.0	0	0	0	0	1
2	94	318	250	688	11523	288.0	0	0	0	0	1
2	93	315	249	682	11591	284.0	0	0	0	0	1
2	94	318	250	687	11523	288.0	0	0	0	0	1
2	93	316	249	683	11591	286.0	0	0	0	0	1
2	94	318	250	687	11523	288.0	0	0	0	0	1
2	93	316	249	683	11591	286.0	0	0	0	0	1
2	94	318	250	687	11523	288.0	0	0	0	0	1
2	93	316	249	683	11591	286.0	0	0	0	0	1
2	94	318	250	687	11523	288.0	0	0	0	0	1
2	93	316	249	683	11591	286.0	0	0	0	0	1
2	93	316	249	683	11591	286.0	0	0	0	0	1
2	94	318	250	687	11523	288.0	0	0	0	0	1
2	93	316	249	684	11591	286.0	0	0	0	0	1
2	94	318	250	687	11523	288.0	0	0	0	0	1
2	93	316	249	684	11591	286.0	0	0	0	0	1
2	94	318	250	687	11523	288.0	0	0	0	0	1
2	93	317	250	686	11632	287.0	0	0	0	0	1
2	94	318	250	687	11523	288.0	0	0	0	0	1
2	93	316	249	683	11591	286.0	0	0	0	0	1
2	94	317	250	686	11523	286.0	0	0	0	0	1
2	93	316	249	684	11591	286.0	0	0	0	0	1
2	94	317	250	686	11523	286.0	0	0	0	0	1
2	93	316	249	684	11591	286.0	0	0	0	0	0
2	93	317	250	686	11632	287.0	0	0	0	0	0
2	93	316	249	685	11591	286.0	0	0	0	0	0
2	93	317	250	686	11632	287.0	0	0	0	0	0
2	93	317	249	685	11591	287.0	0	0	0	0	0
2	94	317	250	686	11523	286.0	0	0	0	0	0
2	93	317	250	685	11632	287.0	0	0	0	0	0
3	94	317	250	686	11523	286.0	0	0	0	0	1
3	93	317	249	685	11591	287.0	0	0	0	0	1
3	94	317	250	686	11523	286.0	0	0	0	0	1
3	93	317	249	685	11591	287.0	0	0	0	0	1
3	94	317	250	686	11523	286.0	0	0	0	0	1
3	93	316	249	684	11591	286.0	0	0	0	0	1
3	94	317	250	686	11523	286.0	0	0	0	0	1
3	93	316	249	684	11591	286.0	0	0	0	0	1
3	94	317	250	686	11523	286.0	0	0	0	0	1
3	93	316	249	684	11591	286.0	0	0	0	0	1
3	94	317	250	687	11523	286.0	0	0	0	0	1
3	93	316	249	683	11591	286.0	0	0	0	0	1
3	94	317	250	687	11523	286.0	0	0	0	0	1
3	93	316	249	683	11591	286.0	0	0	0	0	1
3	94	318	250	687	11523	288.0	0	0	0	0	1
3	93	316	249	683	11591	286.0	0	0	0	0	1
3	94	318	250	687	11523	288.0	0	0	0	0	1
3	94	318	250	688	11523	288.0	0	0	0	0	1
3	93	316	249	683	11591	286.0	0	0	0	0	1
3	94	318	250	688	11523	288.0	0	0	0	0	1
3	93	316	249	683	11591	286.0	0	0	0	0	1
3	94	318	250	687	11523	288.0	0	0	0	0	1
3	93	315	249	683	11591	284.0	0	0	0	0	1
3	94	318	250	687	11523	288.0	0	0	0	0	1
3	93	316	249	683	11591	286.0	0	0	0	0	1
3	94	318	250	687	11523	288.0	0	0	0	0	1
3	93	316	249	683	11591	286.0	0	0	0	0	1
3	94	318	250	687	11523	288.0	0	0	0	0	0
3	93	316	249	683	11591	286.0	0	0	0	0	0
3	94	318	250	687	11523	288.0	0	0	0	0	0
3	93	316	249	683	11591	286.0	0	0	0	0	0
3	94	318	250	688	11523	288.0	0	0	0	0	0
3	93	316	249	683	11591	286.0	0	0	0	0	0
3	94	318	250	688	11523	288.0	0	0	0	0	0
4	93	316	249	684	11591	286.0	0	0	0	0	1
4	93	316	249	684	11591	286.0	0	0	0	0	1
4	94	318	250	687	11523	288.0	0	0	0	0	1
4	93	316	249	684	11591	286.0	0	0	0	0	1
4	94	318	250	687	11523	288.0	0	0	0	0	1
4	93	316	249	683	11591	286.0	0	0	0	0	1
4	94	317	250	686	11523	286.0	0	0	0	0	1
4	93	316	249	684	11591	286.0	0	0	0	0	1
4	94	317	250	686	11523	286.0	0	0	0	0	1
4	93	316	249	684	11591	286.0	0	0	0	0	1
4	94	317	250	686	11523	286.0	0	0	0	0	1
4	93	316	249	684	11591	286.0	0	0	0	0	1
4	94	317	250	686	11523	286.0	0	0	0	0	1
4	93	316	249	685	11591	286.0	0	0	0	0	1
4	94	317	250	686	11523	286.0	0	0	0	0	1
4	93	317	249	685	11591	287.0	0	0	0	0	1
4	93	317	250	685	11632	287.0	0	0	0	0	1
4	93	317	250	685	11632	287.0	0	0	0	0	1
4	93	317	250	686	11632	287.0	0	0	0	0	1
4	93	317	249	686	11591	287.0	0	0	0	0	1
4	94	317	250	686	11523	286.0	0	0	0	0	1
4	93	316	249	685	11591	286.0	0	0	0	0	1
4	94	317	250	686	11523	286.0	0	0	0	0	1
4	93	316	249	684	11591	286.0	0	0	0	0	1
