Stim	R	G	B	C	Temp	HueLux	Yellow	Red	Blue	Blue2	Trig
1	353	472	407	1272	5783	332.0	0	0	0	0	1
1	350	468	404	1264	5788	329.0	0	0	0	0	1
1	353	472	407	1272	5783	332.0	0	0	0	0	1
1	350	468	404	1264	5788	329.0	0	0	0	0	1
1	353	472	407	1272	5783	332.0	0	0	0	0	1
1	350	468	404	1264	5788	329.0	0	0	0	0	1
1	353	472	407	1272	5783	332.0	0	0	0	0	1
1	350	468	404	1263	5788	329.0	0	0	0	0	1
1	353	471	407	1271	5783	330.0	0	0	0	0	1
1	353	472	407	1272	5783	332.0	0	0	0	0	1
1	351	469	404	1264	5776	330.0	0	0	0	0	1
1	353	472	407	1272	5783	332.0	0	0	0	0	1
1	351	469	405	1265	5787	329.0	0	0	0	0	1
1	353	472	407	1273	5783	332.0	0	0	0	0	1
1	351	469	405	1265	5787	329.0	0	0	0	0	1
1	353	472	407	1273	5783	332.0	0	0	0	0	1
1	351	469	405	1266	5787	329.0	0	0	0	0	1
1	353	472	407	1273	5783	332.0	0	0	0	0	1
1	351	469	405	1266	5787	329.0	0	0	0	0	1
1	352	471	407	1271	5796	331.0	0	0	0	0	1
1	350	468	404	1262	5788	329.0	0	0	0	0	1
1	350	468	405	1263	5799	328.0	0	0	0	0	1
1	348	465	402	1256	5792	326.0	0	0	0	0	1
1	349	466	403	1258	5790	327.0	0	0	0	0	1
1	347	464	401	1253	5793	326.0	0	0	0	0	1
1	348	465	402	1256	5792	326.0	0	0	0	0	1
1	347	464	401	1252	5793	326.0	0	0	0	0	1
1	347	464	401	1252	5793	326.0	0	0	0	0	0
1	348	465	402	1254	5792	326.0	0	0	0	0	0
1	347	465	402	1253	5804	327.0	0	0	0	0	0
1	348	466	403	1256	5803	327.0	0	0	0	0	0
1	348	466	403	1257	5803	327.0	0	0	0	0	0
1	349	467	404	1259	5801	328.0	0	0	0	0	0
1	349	468	404	1262	5801	329.0	0	0	0	0	0
2	350	469	405	1263	5799	330.0	0	0	0	0	1
2	351	470	406	1267	5798	330.0	0	0	0	0	1
2	351	470	406	1268	5798	330.0	0	0	0	0	1
2	352	472	407	1272	5796	332.0	0	0	0	0	1
2	352	472	407	1271	5796	332.0	0	0	0	0	1
2	353	474	409	1277	5805	334.0	0	0	0	0	1
2	353	473	408	1275	5794	333.0	0	0	0	0	1
2	354	475	410	1280	5803	334.0	0	0	0	0	1
2	354	474	409	1277	5792	333.0	0	0	0	0	1
2	355	476	410	1282	5791	335.0	0	0	0	0	1
2	354	474	409	1278	5792	333.0	0	0	0	0	1
2	354	474	409	1278	5792	333.0	0	0	0	0	1
