Stim	R	G	B	C	Temp	HueLux	Yellow	Red	Blue	Blue2	Trig
1	380	361	275	1049	4148	245.0	0	0	0	0	1
1	380	361	275	1050	4148	245.0	0	0	0	0	1
1	379	361	275	1048	4155	245.0	0	0	0	0	1
1	380	361	275	1049	4148	245.0	0	0	0	0	1
1	380	361	275	1048	4148	245.0	0	0	0	0	1
1	380	361	275	1049	4148	245.0	0	0	0	0	1
1	380	361	275	1048	4148	245.0	0	0	0	0	1
1	380	361	275	1049	4148	245.0	0	0	0	0	1
1	380	361	275	1049	4148	245.0	0	0	0	0	1
1	380	361	275	1050	4148	245.0	0	0	0	0	1
1	380	361	275	1049	4148	245.0	0	0	0	0	1
1	381	362	275	1051	4141	246.0	0	0	0	0	1
1	380	361	275	1049	4148	245.0	0	0	0	0	1
1	381	362	276	1051	4151	245.0	0	0	0	0	1
1	380	361	275	1049	4148	245.0	0	0	0	0	1
1	381	362	276	1052	4151	245.0	0	0	0	0	1
1	380	361	275	1049	4148	245.0	0	0	0	0	1
1	381	362	276	1052	4151	245.0	0	0	0	0	1
1	380	361	275	1049	4148	245.0	0	0	0	0	1
1	381	362	276	1052	4151	245.0	0	0	0	0	1
1	380	361	275	1048	4148	245.0	0	0	0	0	1
1	381	362	276	1052	4151	245.0	0	0	0	0	1
1	380	361	275	1048	4148	245.0	0	0	0	0	1
1	381	362	276	1052	4151	245.0	0	0	0	0	1
1	380	361	275	1048	4148	245.0	0	0	0	0	1
1	381	362	276	1053	4151	245.0	0	0	0	0	1
1	381	363	276	1053	4151	247.0	0	0	0	0	1
1	379	360	275	1047	4155	243.0	0	0	0	0	0
1	381	362	276	1053	4151	245.0	0	0	0	0	0
1	379	360	274	1047	4145	244.0	0	0	0	0	0
1	381	363	276	1053	4151	247.0	0	0	0	0	0
1	380	361	275	1048	4148	245.0	0	0	0	0	0
1	382	363	276	1055	4143	246.0	0	0	0	0	0
1	380	361	275	1048	4148	245.0	0	0	0	0	0
2	382	363	277	1055	4153	246.0	0	0	0	0	1
2	380	361	275	1048	4148	245.0	0	0	0	0	1
2	382	363	277	1055	4153	246.0	0	0	0	0	1
2	380	361	275	1049	4148	245.0	0	0	0	0	1
2	382	364	277	1056	4153	247.0	0	0	0	0	1
2	380	361	275	1048	4148	245.0	0	0	0	0	1
2	382	363	277	1055	4153	246.0	0	0	0	0	1
2	379	361	275	1048	4155	245.0	0	0	0	0	1
2	382	363	276	1055	4143	246.0	0	0	0	0	1
2	379	361	275	1047	4155	245.0	0	0	0	0	1
2	379	361	275	1047	4155	245.0	0	0	0	0	1
2	382	363	277	1055	4153	246.0	0	0	0	0	1
2	379	361	275	1047	4155	245.0	0	0	0	0	1
2	382	363	276	1055	4143	246.0	0	0	0	0	1
2	379	361	275	1048	4155	245.0	0	0	0	0	1
2	382	363	277	1055	4153	246.0	0	0	0	0	1
2	380	361	275	1048	4148	245.0	0	0	0	0	1
2	382	363	277	1055	4153	246.0	0	0	0	0	1
2	380	361	275	1048	4148	245.0	0	0	0	0	1
2	382	363	277	1055	4153	246.0	0	0	0	0	1
2	380	361	275	1048	4148	245.0	0	0	0	0	1
2	382	363	276	1054	4143	246.0	0	0	0	0	1
2	379	361	275	1047	4155	245.0	0	0	0	0	1
2	381	363	276	1053	4151	247.0	0	0	0	0	1
2	379	361	275	1048	4155	245.0	0	0	0	0	1
2	382	363	277	1055	4153	246.0	0	0	0	0	1
2	380	361	275	1048	4148	245.0	0	0	0	0	1
