Stim	R	G	B	C	Temp	HueLux	Yellow	Red	Blue	Blue2	Trig
1	177	97	103	368	3571	20.0	0	0	0	0	1
1	178	98	104	370	3571	20.0	0	0	0	0	1
1	177	97	103	368	3571	20.0	0	0	0	0	1
1	179	98	104	371	3558	20.0	0	0	0	0	1
1	178	97	103	369	3558	19.0	0	0	0	0	1
1	179	98	104	371	3558	20.0	0	0	0	0	1
1	178	97	103	369	3558	19.0	0	0	0	0	1
1	179	98	104	371	3558	20.0	0	0	0	0	1
1	178	98	104	369	3571	20.0	0	0	0	0	1
1	177	97	103	369	3571	20.0	0	0	0	0	1
1	179	98	104	371	3558	20.0	0	0	0	0	1
1	178	97	103	369	3558	19.0	0	0	0	0	1
1	179	98	104	371	3558	20.0	0	0	0	0	1
1	177	97	103	369	3571	20.0	0	0	0	0	1
1	178	98	104	371	3580	20.0	0	0	0	0	1
1	177	97	103	368	3571	20.0	0	0	0	0	1
1	178	98	104	371	3580	20.0	0	0	0	0	1
1	177	97	103	368	3571	20.0	0	0	0	0	1
1	178	98	104	371	3580	20.0	0	0	0	0	1
1	177	97	103	368	3571	20.0	0	0	0	0	1
1	178	98	104	371	3580	20.0	0	0	0	0	1
1	177	97	103	368	3571	20.0	0	0	0	0	1
1	178	98	104	371	3580	20.0	0	0	0	0	1
1	177	97	103	368	3571	20.0	0	0	0	0	1
1	178	98	104	371	3580	20.0	0	0	0	0	1
1	177	97	103	369	3571	20.0	0	0	0	0	1
1	179	98	104	371	3558	20.0	0	0	0	0	1
1	179	98	104	371	3558	20.0	0	0	0	0	0
1	178	97	103	369	3558	19.0	0	0	0	0	0
1	179	98	104	371	3558	20.0	0	0	0	0	0
1	178	97	103	369	3558	19.0	0	0	0	0	0
1	179	98	104	371	3558	20.0	0	0	0	0	0
1	178	97	103	369	3558	19.0	0	0	0	0	0
1	179	98	104	371	3558	20.0	0	0	0	0	0
2	178	97	103	369	3558	19.0	0	0	0	0	1
2	179	98	104	371	3558	20.0	0	0	0	0	1
2	178	97	103	369	3558	19.0	0	0	0	0	1
2	179	98	104	371	3558	20.0	0	0	0	0	1
2	178	97	103	369	3558	19.0	0	0	0	0	1
2	179	98	104	371	3558	20.0	0	0	0	0	1
2	178	97	103	369	3558	19.0	0	0	0	0	1
2	179	98	104	371	3558	20.0	0	0	0	0	1
2	178	97	103	369	3558	19.0	0	0	0	0	1
2	179	98	104	371	3558	20.0	0	0	0	0	1
2	178	97	103	369	3558	19.0	0	0	0	0	1
2	178	97	103	369	3558	19.0	0	0	0	0	1
2	179	98	104	371	3558	20.0	0	0	0	0	1
2	178	97	103	370	3558	19.0	0	0	0	0	1
2	179	98	104	371	3558	20.0	0	0	0	0	1
2	178	97	103	369	3558	19.0	0	0	0	0	1
2	179	98	104	371	3558	20.0	0	0	0	0	1
2	178	97	103	369	3558	19.0	0	0	0	0	1
2	179	98	104	371	3558	20.0	0	0	0	0	1
2	178	97	103	369	3558	19.0	0	0	0	0	1
2	179	98	104	371	3558	20.0	0	0	0	0	1
2	178	97	103	370	3558	19.0	0	0	0	0	1
2	179	98	104	371	3558	20.0	0	0	0	0	1
2	178	97	104	370	3580	19.0	0	0	0	0	1
2	179	98	104	371	3558	20.0	0	0	0	0	1
2	179	97	104	370	3558	18.0	0	0	0	0	1
2	179	98	104	372	3568	20.0	0	0	0	0	1
2	179	97	104	371	3568	18.0	0	0	0	0	0
2	179	98	104	372	3568	20.0	0	0	0	0	0
2	179	98	104	371	3558	20.0	0	0	0	0	0
