Stim	R	G	B	C	Temp	HueLux	Yellow	Red	Blue	Blue2	Trig
1	322	404	206	975	3828	382.0	0	0	0	0	1
1	324	407	208	982	3836	384.0	0	0	0	0	1
1	322	404	206	975	3828	382.0	0	0	0	0	1
1	324	407	208	982	3836	384.0	0	0	0	0	1
1	322	404	206	975	3828	382.0	0	0	0	0	1
1	324	407	208	982	3836	384.0	0	0	0	0	1
1	322	404	206	975	3828	382.0	0	0	0	0	1
1	324	406	208	981	3836	383.0	0	0	0	0	1
1	321	403	206	974	3836	381.0	0	0	0	0	1
1	324	406	207	981	3825	384.0	0	0	0	0	1
1	321	404	206	974	3836	382.0	0	0	0	0	1
1	322	404	206	975	3828	382.0	0	0	0	0	1
1	323	406	207	980	3832	384.0	0	0	0	0	1
1	322	404	206	975	3828	382.0	0	0	0	0	1
1	324	406	207	981	3825	384.0	0	0	0	0	1
1	322	404	206	976	3828	382.0	0	0	0	0	1
1	324	406	207	981	3825	384.0	0	0	0	0	1
1	322	404	206	976	3828	382.0	0	0	0	0	1
1	324	406	207	981	3825	384.0	0	0	0	0	1
1	322	404	207	976	3840	381.0	0	0	0	0	1
1	324	406	207	981	3825	384.0	0	0	0	0	1
1	322	405	207	977	3840	383.0	0	0	0	0	1
1	323	406	207	980	3832	384.0	0	0	0	0	1
1	322	405	207	977	3840	383.0	0	0	0	0	1
1	323	406	207	980	3832	384.0	0	0	0	0	1
1	322	404	207	976	3840	381.0	0	0	0	0	1
1	323	406	207	979	3832	384.0	0	0	0	0	1
1	322	405	207	977	3840	383.0	0	0	0	0	0
1	323	406	207	979	3832	384.0	0	0	0	0	0
1	323	406	207	979	3832	384.0	0	0	0	0	0
1	323	405	207	978	3832	382.0	0	0	0	0	0
1	323	405	207	978	3832	382.0	0	0	0	0	0
1	323	406	207	979	3832	384.0	0	0	0	0	0
1	323	406	207	980	3832	384.0	0	0	0	0	0
2	324	406	207	981	3825	384.0	0	0	0	0	1
2	323	405	207	978	3832	382.0	0	0	0	0	1
2	323	406	207	979	3832	384.0	0	0	0	0	1
2	322	405	207	977	3840	383.0	0	0	0	0	1
2	323	406	207	979	3832	384.0	0	0	0	0	1
2	322	405	207	976	3840	383.0	0	0	0	0	1
2	323	406	207	980	3832	384.0	0	0	0	0	1
2	322	404	207	976	3840	381.0	0	0	0	0	1
2	323	406	207	980	3832	384.0	0	0	0	0	1
2	322	404	206	975	3828	382.0	0	0	0	0	1
2	323	406	207	981	3832	384.0	0	0	0	0	1
2	322	404	206	975	3828	382.0	0	0	0	0	1
2	324	406	207	981	3825	384.0	0	0	0	0	1
2	324	407	208	981	3836	384.0	0	0	0	0	1
2	322	404	206	975	3828	382.0	0	0	0	0	1
2	324	407	208	982	3836	384.0	0	0	0	0	1
2	322	405	207	976	3840	383.0	0	0	0	0	1
2	324	407	208	983	3836	384.0	0	0	0	0	1
2	322	404	206	976	3828	382.0	0	0	0	0	1
2	324	407	208	982	3836	384.0	0	0	0	0	1
2	322	404	206	975	3828	382.0	0	0	0	0	1
2	324	407	208	982	3836	384.0	0	0	0	0	1
2	322	404	206	975	3828	382.0	0	0	0	0	1
2	324	407	208	981	3836	384.0	0	0	0	0	1
2	322	404	206	975	3828	382.0	0	0	0	0	1
2	324	407	208	982	3836	384.0	0	0	0	0	1
2	322	405	207	977	3840	383.0	0	0	0	0	1
2	325	408	208	985	3829	386.0	0	0	0	0	0
2	323	406	207	979	3832	384.0	0	0	0	0	0
2	325	409	208	986	3829	387.0	0	0	0	0	0
2	324	406	207	980	3825	384.0	0	0	0	0	0
2	324	407	207	981	3825	385.0	0	0	0	0	0
2	326	409	208	987	3821	387.0	0	0	0	0	0
2	324	407	207	982	3825	385.0	0	0	0	0	0
3	326	409	208	987	3821	387.0	0	0	0	0	1
3	324	407	208	983	3836	384.0	0	0	0	0	1
3	326	410	209	988	3833	388.0	0	0	0	0	1
3	325	408	208	984	3829	386.0	0	0	0	0	1
3	326	409	209	988	3833	386.0	0	0	0	0	1
3	325	408	208	984	3829	386.0	0	0	0	0	1
3	326	409	209	988	3833	386.0	0	0	0	0	1
3	325	408	208	985	3829	386.0	0	0	0	0	1
3	325	409	208	986	3829	387.0	0	0	0	0	1
3	325	408	208	985	3829	386.0	0	0	0	0	1
3	325	409	208	986	3829	387.0	0	0	0	0	1
3	325	409	208	985	3829	387.0	0	0	0	0	1
3	326	409	208	986	3821	387.0	0	0	0	0	1
3	326	409	208	987	3821	387.0	0	0	0	0	1
3	326	409	208	986	3821	387.0	0	0	0	0	1
3	326	409	208	988	3821	387.0	0	0	0	0	1
3	326	410	209	988	3833	388.0	0	0	0	0	1
3	326	409	208	986	3821	387.0	0	0	0	0	1
3	327	410	209	989	3826	387.0	0	0	0	0	1
3	326	409	208	986	3821	387.0	0	0	0	0	1
3	327	410	209	989	3826	387.0	0	0	0	0	1
3	325	408	208	985	3829	386.0	0	0	0	0	1
3	327	410	209	990	3826	387.0	0	0	0	0	1
3	325	408	208	985	3829	386.0	0	0	0	0	1
3	327	411	209	990	3826	389.0	0	0	0	0	1
3	325	408	208	985	3829	386.0	0	0	0	0	1
3	327	411	209	991	3826	389.0	0	0	0	0	1
3	325	408	208	984	3829	386.0	0	0	0	0	0
3	327	411	209	991	3826	389.0	0	0	0	0	0
3	325	408	208	984	3829	386.0	0	0	0	0	0
3	327	410	209	990	3826	387.0	0	0	0	0	0
3	325	408	208	983	3829	386.0	0	0	0	0	0
3	327	410	209	990	3826	387.0	0	0	0	0	0
3	325	407	208	983	3829	384.0	0	0	0	0	0
4	325	408	208	983	3829	386.0	0	0	0	0	1
4	327	410	209	990	3826	387.0	0	0	0	0	1
4	325	407	207	983	3817	385.0	0	0	0	0	1
4	327	410	209	989	3826	387.0	0	0	0	0	1
4	324	407	207	982	3825	385.0	0	0	0	0	1
4	327	410	209	989	3826	387.0	0	0	0	0	1
4	324	407	207	983	3825	385.0	0	0	0	0	1
4	326	410	209	989	3833	388.0	0	0	0	0	1
4	325	407	208	983	3829	384.0	0	0	0	0	1
4	326	410	209	988	3833	388.0	0	0	0	0	1
4	324	407	207	982	3825	385.0	0	0	0	0	1
4	326	409	208	986	3821	387.0	0	0	0	0	1
4	324	407	207	981	3825	385.0	0	0	0	0	1
4	325	408	208	985	3829	386.0	0	0	0	0	1
4	324	406	207	980	3825	384.0	0	0	0	0	1
4	325	408	208	984	3829	386.0	0	0	0	0	1
4	324	406	207	981	3825	384.0	0	0	0	0	1
4	325	408	208	983	3829	386.0	0	0	0	0	1
4	325	407	208	983	3829	384.0	0	0	0	0	1
4	324	407	208	982	3836	384.0	0	0	0	0	1
4	325	408	208	984	3829	386.0	0	0	0	0	1
4	325	407	208	983	3829	384.0	0	0	0	0	1
4	324	407	208	983	3836	384.0	0	0	0	0	1
4	325	407	208	983	3829	384.0	0	0	0	0	1
4	324	407	208	982	3836	384.0	0	0	0	0	1
4	325	408	208	984	3829	386.0	0	0	0	0	1
4	324	407	208	982	3836	384.0	0	0	0	0	1
4	325	408	208	985	3829	386.0	0	0	0	0	0
4	324	407	207	982	3825	385.0	0	0	0	0	0
4	325	408	208	985	3829	386.0	0	0	0	0	0
4	324	406	207	981	3825	384.0	0	0	0	0	0
4	325	408	208	985	3829	386.0	0	0	0	0	0
4	324	406	207	980	3825	384.0	0	0	0	0	0
