Stim	HueR	HueG	HueB	HueC	HueCT	HueLux	Yellow	Red	Green	Trig
1	298	375	191	897	3832	355.0	2400	0	0	1
1	300	377	192	903	3829	357.0	2400	0	0	1
1	1702	896	402	3085	2290	567.0	2400	0	0	1
1	1703	898	403	3089	2292	569.0	2400	0	0	1
1	1702	898	403	3089	2293	569.0	2400	0	0	1
1	1700	896	401	3083	2289	568.0	2400	0	0	1
1	1702	898	403	3089	2293	569.0	2400	0	0	1
1	1700	896	401	3082	2289	568.0	2400	0	0	1
1	1702	898	403	3089	2293	569.0	2400	0	0	1
1	1709	899	403	3095	2289	569.0	2400	0	0	1
1	1758	919	411	3175	2281	578.0	2400	0	0	1
1	1752	915	409	3163	2280	576.0	2400	0	0	1
1	1757	919	411	3174	2282	579.0	2400	0	0	1
1	1753	915	409	3165	2279	575.0	2400	0	0	1
1	1755	918	411	3171	2283	578.0	2400	0	0	1
1	1755	916	410	3168	2281	575.0	2400	0	0	1
1	1754	917	410	3168	2281	577.0	2400	0	0	1
1	1750	915	409	3161	2281	576.0	2400	0	0	1
1	1754	917	410	3168	2281	577.0	2400	0	0	1
1	1755	916	410	3169	2281	575.0	2400	0	0	1
1	1755	917	410	3170	2281	577.0	2400	0	0	1
1	1701	896	402	3084	2291	567.0	2400	0	0	1
1	1702	897	402	3087	2290	568.0	2400	0	0	1
1	1702	897	402	3086	2290	568.0	2400	0	0	1
1	1708	899	403	3095	2289	569.0	2400	0	0	1
1	1702	897	402	3086	2290	568.0	2400	0	0	1
1	1701	897	402	3085	2291	569.0	2400	0	0	1
1	1701	897	402	3086	2291	569.0	2400	0	0	1
1	1702	897	402	3086	2290	568.0	2400	0	0	1
1	1701	897	402	3085	2291	569.0	2400	0	0	1
1	1702	897	402	3086	2290	568.0	2400	0	0	1
1	1701	896	402	3085	2291	567.0	2400	0	0	1
1	1757	918	410	3172	2280	578.0	2400	0	0	1
1	1754	916	410	3167	2281	576.0	2400	0	0	1
1	1755	917	410	3170	2281	577.0	2400	0	0	1
1	1756	916	410	3169	2280	575.0	2400	0	0	1
1	1754	917	410	3168	2281	577.0	2400	0	0	1
1	1756	917	410	3170	2280	577.0	2400	0	0	1
1	1753	917	410	3168	2282	578.0	2400	0	0	1
1	1756	916	410	3169	2280	575.0	2400	0	0	1
1	1754	917	410	3169	2281	577.0	2400	0	0	1
1	1755	918	411	3171	2283	578.0	2400	0	0	1
1	1744	912	408	3151	2282	574.0	2400	0	0	1
1	1703	898	403	3089	2292	569.0	2400	0	0	1
1	1707	898	402	3092	2288	568.0	2400	0	0	1
1	1702	898	403	3089	2293	569.0	2400	0	0	0
1	2188	1076	475	3842	2218	640.0	2400	0	0	0
1	3154	1435	621	5349	2141	786.0	2400	0	0	0
1	3148	1431	619	5337	2140	783.0	2400	0	0	0
1	3152	1435	620	5346	2140	787.0	2400	0	0	0
2	3149	1432	619	5338	2139	784.0	2400	0	222	1
2	3151	1434	620	5344	2140	786.0	2400	0	222	1
2	1764	991	437	3281	2334	671.0	2400	0	222	1
2	1766	1008	443	3306	2346	693.0	2400	0	222	1
2	1717	985	434	3224	2354	679.0	2400	0	222	1
2	1714	985	434	3221	2355	680.0	2400	0	222	1
2	1712	983	433	3215	2354	678.0	2400	0	222	1
2	1713	985	434	3221	2356	680.0	2400	0	222	1
2	1712	983	433	3216	2354	678.0	2400	0	222	1
2	1712	983	433	3216	2354	678.0	2400	0	222	1
2	1720	988	435	3230	2354	682.0	2400	0	222	1
2	1712	984	433	3217	2354	680.0	2400	0	222	1
2	1713	985	434	3220	2356	680.0	2400	0	222	1
2	1712	984	433	3217	2354	680.0	2400	0	222	1
2	1720	987	435	3230	2354	681.0	2400	0	222	1
2	1765	1007	442	3304	2345	692.0	2400	0	222	1
2	1770	1008	443	3311	2344	692.0	2400	0	222	1
2	1765	1007	443	3304	2347	692.0	2400	0	222	1
2	1762	1005	442	3298	2346	690.0	2400	0	222	1
2	1766	1007	443	3306	2346	691.0	2400	0	222	1
2	1768	1007	443	3307	2345	691.0	2400	0	222	1
2	1767	1008	443	3307	2346	693.0	2400	0	222	1
2	1766	1007	442	3305	2344	692.0	2400	0	222	1
2	1768	1008	443	3309	2345	692.0	2400	0	222	1
2	1766	1006	442	3304	2344	690.0	2400	0	222	1
2	1769	1009	443	3310	2345	694.0	2400	0	222	1
2	1756	1002	441	3288	2347	688.0	2400	0	222	1
2	1712	983	433	3216	2354	678.0	2400	0	222	1
2	1714	985	434	3221	2355	680.0	2400	0	222	1
2	1712	983	433	3216	2354	678.0	2400	0	222	1
2	1714	985	434	3222	2355	680.0	2400	0	222	1
2	1712	983	433	3216	2354	678.0	2400	0	222	1
2	1714	986	434	3221	2355	682.0	2400	0	222	1
2	1712	983	433	3215	2354	678.0	2400	0	222	1
2	1720	988	435	3232	2354	682.0	2400	0	222	1
2	1712	983	433	3215	2354	678.0	2400	0	222	1
2	1714	986	434	3222	2355	682.0	2400	0	222	1
2	1766	1006	442	3304	2344	690.0	2400	0	222	1
2	1762	1006	442	3300	2346	692.0	2400	0	222	1
2	1766	1006	442	3305	2344	690.0	2400	0	222	1
2	1767	1008	443	3308	2346	693.0	2400	0	222	1
2	1767	1007	442	3306	2344	692.0	2400	0	222	1
2	1760	1005	442	3297	2347	691.0	2400	0	222	1
2	1768	1007	442	3308	2343	691.0	2400	0	222	1
2	1766	1008	443	3306	2346	693.0	2400	0	222	1
2	1768	1007	443	3307	2345	691.0	2400	0	222	0
2	500	461	225	1227	3105	400.0	2400	0	222	0
2	300	377	192	902	3829	357.0	2400	0	222	0
2	299	375	191	898	3824	355.0	2400	0	222	0
2	300	377	192	901	3829	357.0	2400	0	222	0
3	299	376	191	899	3824	356.0	2400	355	0	1
3	812	549	266	1671	2639	408.0	2400	355	0	1
3	1925	920	428	3339	2238	513.0	2400	355	0	1
3	1930	922	429	3348	2237	514.0	2400	355	0	1
3	1925	920	428	3340	2238	513.0	2400	355	0	1
3	1929	922	428	3346	2236	515.0	2400	355	0	1
3	1925	920	428	3340	2238	513.0	2400	355	0	1
3	1927	921	428	3343	2237	514.0	2400	355	0	1
3	1920	918	427	3331	2238	513.0	2400	355	0	1
3	1909	914	425	3314	2239	511.0	2400	355	0	1
3	1867	901	420	3254	2248	508.0	2400	355	0	1
3	1866	900	419	3251	2246	508.0	2400	355	0	1
3	1875	904	421	3265	2246	509.0	2400	355	0	1
3	1866	900	419	3250	2246	508.0	2400	355	0	1
3	1866	900	419	3250	2246	508.0	2400	355	0	1
3	1868	902	420	3255	2247	509.0	2400	355	0	1
3	1866	900	419	3250	2246	508.0	2400	355	0	1
3	1868	902	420	3255	2247	509.0	2400	355	0	1
3	1866	899	419	3249	2246	506.0	2400	355	0	1
3	1868	902	420	3255	2247	509.0	2400	355	0	1
3	1925	919	427	3337	2236	513.0	2400	355	0	1
3	1929	923	429	3348	2238	516.0	2400	355	0	1
3	1925	919	427	3338	2236	513.0	2400	355	0	1
3	1928	922	429	3346	2238	515.0	2400	355	0	1
3	1926	919	427	3339	2235	512.0	2400	355	0	1
3	1927	922	429	3345	2239	515.0	2400	355	0	1
3	1926	920	427	3340	2235	514.0	2400	355	0	1
3	1927	922	429	3344	2239	515.0	2400	355	0	1
3	1920	918	427	3330	2238	513.0	2400	355	0	1
3	1927	922	429	3344	2239	515.0	2400	355	0	1
3	1928	921	428	3344	2236	514.0	2400	355	0	1
3	1925	921	428	3341	2238	515.0	2400	355	0	1
3	1868	902	420	3255	2247	509.0	2400	355	0	1
3	1867	900	419	3251	2246	507.0	2400	355	0	1
3	1868	902	420	3255	2247	509.0	2400	355	0	1
3	1874	903	420	3262	2244	509.0	2400	355	0	1
3	1867	901	420	3254	2248	508.0	2400	355	0	1
3	1867	900	419	3252	2246	507.0	2400	355	0	1
3	1867	901	420	3254	2248	508.0	2400	355	0	1
3	1867	901	419	3252	2246	509.0	2400	355	0	1
3	1867	901	419	3253	2246	509.0	2400	355	0	1
3	1867	901	419	3253	2246	509.0	2400	355	0	1
3	1895	910	423	3294	2241	511.0	2400	355	0	1
3	1926	921	428	3341	2237	515.0	2400	355	0	1
3	1928	921	428	3344	2236	514.0	2400	355	0	1
3	1925	921	428	3340	2238	515.0	2400	355	0	0
3	1929	921	428	3345	2236	514.0	2400	355	0	0
3	3488	1443	655	5684	2106	665.0	2400	355	0	0
3	3491	1442	655	5687	2105	663.0	2400	355	0	0
3	3488	1442	655	5683	2106	664.0	2400	355	0	0
4	3487	1442	655	5685	2106	664.0	2400	0	444	1
4	2122	984	456	3631	2209	530.0	2400	0	444	1
4	1735	1158	503	3488	2495	896.0	2400	0	444	1
4	1790	1185	514	3584	2485	913.0	2400	0	444	1
4	1789	1188	515	3588	2487	917.0	2400	0	444	1
4	1782	1182	513	3571	2487	911.0	2400	0	444	1
4	1790	1189	516	3589	2489	917.0	2400	0	444	1
4	1789	1185	514	3582	2485	913.0	2400	0	444	1
4	1790	1189	516	3589	2489	917.0	2400	0	444	1
4	1782	1181	513	3570	2487	910.0	2400	0	444	1
4	1790	1189	516	3589	2489	917.0	2400	0	444	1
4	1788	1185	514	3581	2486	913.0	2400	0	444	1
4	1791	1189	516	3589	2488	917.0	2400	0	444	1
4	1788	1185	514	3581	2486	913.0	2400	0	444	1
4	1791	1189	516	3590	2488	917.0	2400	0	444	1
4	1733	1156	502	3484	2494	894.0	2400	0	444	1
4	1735	1158	503	3489	2495	896.0	2400	0	444	1
4	1734	1156	502	3485	2494	894.0	2400	0	444	1
4	1735	1158	503	3489	2495	896.0	2400	0	444	1
4	1735	1158	503	3489	2495	896.0	2400	0	444	1
4	1734	1157	503	3485	2496	895.0	2400	0	444	1
4	1742	1161	505	3500	2495	897.0	2400	0	444	1
4	1734	1157	503	3485	2496	895.0	2400	0	444	1
4	1735	1157	503	3487	2495	894.0	2400	0	444	1
4	1734	1157	503	3486	2496	895.0	2400	0	444	1
4	1769	1176	511	3550	2491	907.0	2400	0	444	1
4	1791	1188	515	3589	2486	916.0	2400	0	444	1
4	1787	1186	515	3583	2489	914.0	2400	0	444	1
4	1792	1187	515	3589	2485	914.0	2400	0	444	1
4	1780	1183	513	3570	2489	913.0	2400	0	444	1
4	1792	1187	515	3589	2485	914.0	2400	0	444	1
4	1787	1186	514	3581	2486	915.0	2400	0	444	1
4	1791	1187	515	3588	2486	915.0	2400	0	444	1
4	1787	1186	514	3582	2486	915.0	2400	0	444	1
4	1791	1187	515	3588	2486	915.0	2400	0	444	1
4	1788	1186	514	3583	2486	915.0	2400	0	444	1
4	1790	1187	515	3587	2487	915.0	2400	0	444	1
4	1735	1158	503	3489	2495	896.0	2400	0	444	1
4	1733	1156	502	3484	2494	894.0	2400	0	444	1
4	1735	1158	503	3490	2495	896.0	2400	0	444	1
4	1733	1156	502	3484	2494	894.0	2400	0	444	1
4	1735	1158	503	3489	2495	896.0	2400	0	444	1
4	1733	1156	502	3483	2494	894.0	2400	0	444	1
4	1736	1158	504	3490	2497	895.0	2400	0	444	1
4	1733	1156	502	3483	2494	894.0	2400	0	444	1
4	1742	1162	505	3501	2495	898.0	2400	0	444	0
4	1733	1156	502	3483	2494	894.0	2400	0	444	0
4	301	378	192	903	3821	358.0	2400	0	444	0
4	299	375	191	897	3824	355.0	2400	0	444	0
4	301	377	192	903	3821	356.0	2400	0	444	0
5	299	375	191	897	3824	355.0	2400	355	222	1
5	300	377	192	903	3829	357.0	2400	355	222	1
5	1880	992	452	3392	2307	624.0	2400	355	222	1
5	1887	997	454	3406	2307	628.0	2400	355	222	1
5	1878	992	452	3390	2307	625.0	2400	355	222	1
5	1879	992	452	3391	2307	624.0	2400	355	222	1
5	1880	993	453	3394	2309	625.0	2400	355	222	1
5	1879	992	452	3391	2307	624.0	2400	355	222	1
5	1916	1008	459	3452	2303	633.0	2400	355	222	1
