Stim	HueR	HueG	HueB	HueC	HueCT	HueLux	Yellow	Red	Green	Trig
1	332	446	389	1205	5855	311.0	2400	0	0	1
1	486	502	411	1442	4613	333.0	2400	0	0	1
1	1828	1005	617	3541	2676	541.0	2400	0	0	1
1	1824	1001	614	3530	2673	538.0	2400	0	0	1
1	1826	1004	616	3538	2676	540.0	2400	0	0	1
1	1825	1001	614	3532	2672	538.0	2400	0	0	1
1	1825	1004	616	3537	2677	541.0	2400	0	0	1
1	1826	1002	614	3533	2672	539.0	2400	0	0	1
1	1824	1003	616	3535	2677	540.0	2400	0	0	1
1	1826	1002	614	3534	2672	539.0	2400	0	0	1
1	1818	1001	615	3525	2679	539.0	2400	0	0	1
1	1825	1001	614	3532	2672	538.0	2400	0	0	1
1	1769	981	606	3445	2696	530.0	2400	0	0	1
1	1778	986	609	3463	2696	533.0	2400	0	0	1
1	1769	981	606	3445	2696	530.0	2400	0	0	1
1	1772	984	608	3454	2698	532.0	2400	0	0	1
1	1770	981	606	3446	2695	530.0	2400	0	0	1
1	1772	984	608	3454	2698	532.0	2400	0	0	1
1	1770	981	606	3446	2695	530.0	2400	0	0	1
1	1772	984	608	3454	2698	532.0	2400	0	0	1
1	1770	981	606	3447	2695	530.0	2400	0	0	1
1	1772	984	608	3453	2698	532.0	2400	0	0	1
1	1770	981	606	3446	2695	530.0	2400	0	0	1
1	1825	1003	616	3536	2677	539.0	2400	0	0	1
1	1827	1003	615	3536	2673	539.0	2400	0	0	1
1	1824	1003	616	3535	2677	540.0	2400	0	0	1
1	1826	1002	615	3535	2674	538.0	2400	0	0	1
1	1825	1003	616	3536	2677	539.0	2400	0	0	1
1	1825	1002	615	3533	2674	538.0	2400	0	0	1
1	1826	1003	616	3537	2676	539.0	2400	0	0	1
1	1827	1003	616	3537	2675	539.0	2400	0	0	1
1	1822	1001	614	3528	2674	539.0	2400	0	0	1
1	1827	1003	615	3538	2673	539.0	2400	0	0	1
1	1790	989	609	3478	2687	534.0	2400	0	0	1
1	1770	982	607	3448	2697	531.0	2400	0	0	1
1	1770	981	606	3447	2695	530.0	2400	0	0	1
1	1770	981	606	3447	2695	530.0	2400	0	0	1
1	1776	984	607	3457	2693	532.0	2400	0	0	1
1	1770	981	606	3447	2695	530.0	2400	0	0	1
1	1770	982	607	3448	2697	531.0	2400	0	0	1
1	1770	981	606	3447	2695	530.0	2400	0	0	1
1	1771	982	607	3449	2696	530.0	2400	0	0	1
1	1770	981	606	3446	2695	530.0	2400	0	0	1
1	1770	981	607	3448	2697	529.0	2400	0	0	1
1	1769	980	605	3444	2694	529.0	2400	0	0	1
1	1825	1002	615	3533	2674	538.0	2400	0	0	0
1	1825	1001	614	3531	2672	538.0	2400	0	0	0
1	3258	1536	833	5770	2365	756.0	2400	0	0	0
1	3256	1535	833	5767	2365	756.0	2400	0	0	0
1	3258	1534	832	5766	2363	754.0	2400	0	0	0
2	3256	1535	833	5767	2365	756.0	2400	0	222	1
2	2323	1186	690	4308	2522	612.0	2400	0	222	1
2	1782	1075	642	3592	2763	648.0	2400	0	222	1
2	1787	1076	641	3597	2757	649.0	2400	0	222	1
2	1783	1076	642	3593	2762	649.0	2400	0	222	1
2	1781	1073	640	3586	2760	646.0	2400	0	222	1
2	1841	1101	653	3689	2742	662.0	2400	0	222	1
2	1827	1094	648	3663	2742	659.0	2400	0	222	1
2	1840	1101	653	3688	2743	662.0	2400	0	222	1
2	1834	1097	650	3675	2741	660.0	2400	0	222	1
2	1839	1101	653	3687	2743	662.0	2400	0	222	1
2	1830	1095	649	3667	2742	659.0	2400	0	222	1
2	1838	1100	653	3685	2744	661.0	2400	0	222	1
2	1838	1099	651	3682	2740	661.0	2400	0	222	1
2	1838	1101	653	3687	2744	663.0	2400	0	222	1
2	1840	1099	651	3684	2738	660.0	2400	0	222	1
2	1837	1100	653	3684	2745	661.0	2400	0	222	1
2	1785	1078	644	3599	2765	650.0	2400	0	222	1
2	1782	1075	642	3592	2763	648.0	2400	0	222	1
2	1784	1078	644	3599	2766	650.0	2400	0	222	1
2	1782	1075	641	3591	2761	649.0	2400	0	222	1
2	1784	1078	644	3599	2766	650.0	2400	0	222	1
2	1782	1075	642	3592	2763	648.0	2400	0	222	1
2	1791	1082	646	3611	2765	653.0	2400	0	222	1
2	1783	1076	642	3593	2762	649.0	2400	0	222	1
2	1784	1078	644	3600	2766	650.0	2400	0	222	1
2	1782	1076	642	3592	2763	649.0	2400	0	222	1
2	1791	1081	645	3609	2763	652.0	2400	0	222	1
2	1840	1101	652	3687	2741	663.0	2400	0	222	1
2	1838	1102	654	3687	2746	663.0	2400	0	222	1
2	1841	1101	652	3688	2740	662.0	2400	0	222	1
2	1831	1098	652	3675	2747	661.0	2400	0	222	1
2	1840	1100	652	3686	2741	661.0	2400	0	222	1
2	1838	1101	653	3686	2744	663.0	2400	0	222	1
2	1839	1100	652	3686	2741	661.0	2400	0	222	1
2	1838	1100	652	3684	2742	662.0	2400	0	222	1
2	1840	1102	653	3689	2743	664.0	2400	0	222	1
2	1837	1100	652	3682	2743	662.0	2400	0	222	1
2	1841	1101	653	3689	2742	662.0	2400	0	222	1
2	1783	1076	643	3594	2764	648.0	2400	0	222	1
2	1783	1077	643	3595	2764	650.0	2400	0	222	1
2	1783	1076	643	3595	2764	648.0	2400	0	222	1
2	1783	1076	642	3594	2762	649.0	2400	0	222	1
2	1783	1076	643	3595	2764	648.0	2400	0	222	1
2	1783	1076	642	3593	2762	649.0	2400	0	222	1
2	1783	1077	643	3595	2764	650.0	2400	0	222	0
2	1783	1076	642	3592	2762	649.0	2400	0	222	0
2	332	446	389	1205	5855	311.0	2400	0	222	0
2	331	445	388	1201	5857	310.0	2400	0	222	0
2	333	447	390	1207	5853	311.0	2400	0	222	0
3	331	445	388	1202	5857	310.0	2400	355	0	1
3	333	447	390	1208	5853	311.0	2400	355	0	1
3	1941	987	625	3622	2617	470.0	2400	355	0	1
3	1940	986	624	3619	2616	469.0	2400	355	0	1
3	1949	991	627	3637	2616	472.0	2400	355	0	1
3	1940	986	624	3619	2616	469.0	2400	355	0	1
3	1942	988	626	3626	2619	470.0	2400	355	0	1
3	1940	986	624	3619	2616	469.0	2400	355	0	1
3	1942	989	626	3626	2619	472.0	2400	355	0	1
3	1939	985	624	3617	2617	468.0	2400	355	0	1
3	1942	989	626	3626	2619	472.0	2400	355	0	1
3	2003	1007	633	3713	2595	475.0	2400	355	0	1
3	2002	1009	635	3717	2599	477.0	2400	355	0	1
3	2001	1006	633	3711	2596	474.0	2400	355	0	1
3	2004	1009	636	3719	2600	476.0	2400	355	0	1
3	2000	1006	633	3708	2596	475.0	2400	355	0	1
3	2005	1010	636	3721	2599	477.0	2400	355	0	1
3	1999	1006	633	3707	2597	475.0	2400	355	0	1
3	2006	1011	636	3724	2598	478.0	2400	355	0	1
3	2000	1006	633	3709	2596	475.0	2400	355	0	1
3	2005	1010	636	3722	2599	477.0	2400	355	0	1
3	1994	1010	636	3700	2606	481.0	2400	355	0	1
3	1940	986	624	3620	2616	469.0	2400	355	0	1
3	1942	989	627	3627	2621	471.0	2400	355	0	1
3	1947	989	625	3631	2614	471.0	2400	355	0	1
3	1942	988	626	3625	2619	470.0	2400	355	0	1
3	1940	986	624	3619	2616	469.0	2400	355	0	1
3	1942	988	626	3625	2619	470.0	2400	355	0	1
3	1940	986	624	3620	2616	469.0	2400	355	0	1
3	1941	988	626	3625	2619	471.0	2400	355	0	1
3	1940	986	625	3621	2618	468.0	2400	355	0	1
3	1941	988	626	3625	2619	471.0	2400	355	0	1
3	1941	987	625	3622	2617	470.0	2400	355	0	1
3	1978	1001	632	3680	2608	475.0	2400	355	0	1
3	2002	1008	634	3715	2597	476.0	2400	355	0	1
3	2003	1009	635	3718	2598	477.0	2400	355	0	1
3	2001	1008	634	3715	2598	477.0	2400	355	0	1
3	2004	1009	635	3718	2598	477.0	2400	355	0	1
3	2001	1008	634	3713	2598	477.0	2400	355	0	1
3	2004	1008	635	3718	2598	475.0	2400	355	0	1
3	1997	1005	633	3706	2598	474.0	2400	355	0	1
3	2000	1007	634	3711	2598	476.0	2400	355	0	1
3	2004	1007	634	3716	2596	474.0	2400	355	0	1
3	2000	1007	634	3711	2598	476.0	2400	355	0	1
3	1940	985	624	3618	2616	468.0	2400	355	0	1
3	1941	987	625	3623	2617	470.0	2400	355	0	0
3	2303	1107	677	4164	2511	504.0	2400	355	0	0
3	3605	1545	870	6120	2310	631.0	2400	355	0	0
3	3604	1543	868	6116	2308	630.0	2400	355	0	0
3	3606	1545	870	6122	2310	631.0	2400	355	0	0
4	3603	1543	868	6114	2308	630.0	2400	0	444	1
4	3607	1546	871	6125	2311	631.0	2400	0	444	1
4	1900	1210	704	3905	2802	777.0	2400	0	444	1
4	1865	1296	735	3995	2892	902.0	2400	0	444	1
4	1859	1291	732	3982	2891	898.0	2400	0	444	1
