Stim	HueR	HueG	HueB	HueC	HueCT	HueLux	Yellow	Red	Green	Trig
1	351	337	259	976	4202	228.0	2400	0	0	1
1	353	338	260	981	4197	228.0	2400	0	0	1
1	1789	837	471	3168	2394	395.0	2400	0	0	1
1	1793	839	473	3177	2396	395.0	2400	0	0	1
1	1787	836	471	3166	2395	394.0	2400	0	0	1
1	1792	839	473	3176	2396	396.0	2400	0	0	1
1	1787	836	471	3164	2395	394.0	2400	0	0	1
1	1792	839	473	3175	2396	396.0	2400	0	0	1
1	1786	835	471	3163	2395	393.0	2400	0	0	1
1	1785	836	472	3164	2398	394.0	2400	0	0	1
1	1785	835	471	3162	2396	393.0	2400	0	0	1
1	1785	835	470	3161	2394	394.0	2400	0	0	1
1	1783	835	471	3161	2397	394.0	2400	0	0	1
1	1734	817	463	3084	2408	387.0	2400	0	0	1
1	1736	819	464	3089	2409	389.0	2400	0	0	1
1	1736	818	464	3088	2409	387.0	2400	0	0	1
1	1743	822	466	3100	2409	390.0	2400	0	0	1
1	1736	819	464	3089	2409	389.0	2400	0	0	1
1	1737	819	464	3090	2408	389.0	2400	0	0	1
1	1737	819	465	3091	2410	388.0	2400	0	0	1
1	1737	819	465	3091	2410	388.0	2400	0	0	1
1	1738	820	465	3094	2410	389.0	2400	0	0	1
1	1737	819	465	3091	2410	388.0	2400	0	0	1
1	1739	821	465	3095	2409	390.0	2400	0	0	1
1	1778	833	470	3153	2398	393.0	2400	0	0	1
1	1792	839	473	3176	2396	396.0	2400	0	0	1
1	1790	837	472	3171	2395	394.0	2400	0	0	1
1	1792	840	474	3177	2398	397.0	2400	0	0	1
1	1790	837	472	3170	2395	394.0	2400	0	0	1
1	1789	837	472	3170	2396	394.0	2400	0	0	1
1	1793	840	474	3178	2398	396.0	2400	0	0	1
1	1789	837	472	3170	2396	394.0	2400	0	0	1
1	1786	838	473	3168	2400	396.0	2400	0	0	1
1	1788	837	472	3168	2396	395.0	2400	0	0	1
