Stim	HueR	HueG	HueB	HueC	HueCT	HueLux	Yellow	Red	Green	Trig
1	304	384	197	922	3863	359.0	2400	0	0	1
1	302	382	196	917	3859	363.0	2400	0	0	1
1	304	384	197	922	3863	361.0	2400	0	0	1
1	302	382	196	917	3859	363.0	2400	0	0	1
1	303	384	197	922	3863	361.0	2400	0	0	1
1	302	382	195	916	3868	363.0	2400	0	0	1
1	304	384	197	922	3851	362.0	2400	0	0	1
1	302	382	196	916	3859	363.0	2400	0	0	1
1	304	384	197	923	3863	361.0	2400	0	0	1
1	302	382	196	917	3859	363.0	2400	0	0	1
1	304	385	197	923	3863	361.0	2400	0	0	1
1	302	382	197	916	3859	364.0	2400	0	0	1
1	302	382	196	917	3876	360.0	2400	0	0	1
1	304	384	197	923	3863	361.0	2400	0	0	1
1	302	382	196	917	3859	363.0	2400	0	0	1
1	304	384	197	923	3863	361.0	2400	0	0	1
1	302	382	196	917	3859	363.0	2400	0	0	1
1	304	384	197	922	3863	361.0	2400	0	0	1
1	302	382	196	917	3859	363.0	2400	0	0	1
1	304	384	197	922	3863	361.0	2400	0	0	1
1	302	382	196	917	3859	363.0	2400	0	0	1
1	304	384	197	922	3863	361.0	2400	0	0	1
1	302	382	196	918	3859	363.0	2400	0	0	1
1	303	384	197	921	3863	361.0	2400	0	0	1
1	302	382	196	918	3868	363.0	2400	0	0	1
1	303	383	196	920	3863	361.0	2400	0	0	1
1	302	382	196	918	3855	362.0	2400	0	0	1
1	303	383	196	920	3863	361.0	2400	0	0	0
1	303	383	196	919	3855	362.0	2400	0	0	0
1	303	383	196	920	3855	362.0	2400	0	0	0
1	303	383	196	920	3855	362.0	2400	0	0	0
1	303	383	196	920	3855	362.0	2400	0	0	0
1	303	383	196	919	3855	362.0	2400	0	0	0
1	303	383	196	920	3855	362.0	2400	0	0	0
2	303	383	196	919	3855	362.0	2400	0	222	1
2	316	477	230	1063	3855	362.0	2400	0	222	1
2	325	549	256	1171	4164	481.0	2400	0	222	1
2	326	550	256	1175	4392	573.0	2400	0	222	1
2	325	550	256	1173	4382	574.0	2400	0	222	1
2	327	551	257	1177	4392	575.0	2400	0	222	1
2	326	550	256	1173	4385	575.0	2400	0	222	1
2	327	552	257	1179	4382	574.0	2400	0	222	1
2	325	549	256	1173	4385	576.0	2400	0	222	1
2	327	552	257	1178	4392	573.0	2400	0	222	1
2	325	549	255	1171	4385	576.0	2400	0	222	1
2	327	551	257	1176	4380	574.0	2400	0	222	1
2	324	549	255	1170	4385	575.0	2400	0	222	1
2	326	551	257	1176	4389	574.0	2400	0	222	1
2	326	551	256	1175	4394	575.0	2400	0	222	1
2	324	548	255	1168	4382	576.0	2400	0	222	1
2	326	551	257	1176	4389	573.0	2400	0	222	1
2	324	548	255	1169	4394	575.0	2400	0	222	1
2	326	551	257	1176	4389	573.0	2400	0	222	1
2	324	548	255	1170	4394	575.0	2400	0	222	1
