Stim	HueR	HueG	HueB	HueC	HueCT	HueLux	Yellow	Red	Green	Trig
1	336	449	391	1213	0	4.0	2400	0	0	1
1	341	451	393	1222	5824	313.0	2400	0	0	1
1	336	449	391	1213	5781	313.0	2400	0	0	1
1	338	451	393	1219	5824	313.0	2400	0	0	1
1	336	449	391	1214	5820	314.0	2400	0	0	1
1	338	451	393	1219	5824	313.0	2400	0	0	1
1	337	450	392	1215	5820	314.0	2400	0	0	1
1	337	451	393	1218	5822	313.0	2400	0	0	1
1	336	449	391	1212	5834	314.0	2400	0	0	1
1	336	449	391	1213	5824	313.0	2400	0	0	1
1	335	448	391	1211	5824	313.0	2400	0	0	1
1	336	449	391	1212	5837	312.0	2400	0	0	1
1	336	449	391	1212	5824	313.0	2400	0	0	1
1	336	449	391	1214	5824	313.0	2400	0	0	1
1	337	450	392	1215	5824	313.0	2400	0	0	1
1	337	450	392	1213	5822	313.0	2400	0	0	1
1	336	448	391	1212	5822	313.0	2400	0	0	1
1	336	449	392	1214	5824	311.0	2400	0	0	1
1	335	448	390	1210	5836	312.0	2400	0	0	1
1	336	449	391	1214	5826	312.0	2400	0	0	1
1	335	447	390	1208	5824	313.0	2400	0	0	1
1	336	449	391	1212	5826	311.0	2400	0	0	1
1	334	446	389	1205	5824	313.0	2400	0	0	1
1	335	448	390	1210	5828	310.0	2400	0	0	1
1	333	445	388	1203	5826	312.0	2400	0	0	1
1	335	447	390	1208	5830	310.0	2400	0	0	1
1	332	443	387	1198	5826	311.0	2400	0	0	1
1	332	444	387	1200	5832	308.0	2400	0	0	0
1	329	440	384	1188	5832	309.0	2400	0	0	0
1	330	441	385	1193	5837	306.0	2400	0	0	0
1	328	438	382	1184	5836	307.0	2400	0	0	0
1	329	440	384	1190	5828	305.0	2400	0	0	0
1	326	436	381	1178	5837	306.0	2400	0	0	0
1	328	438	382	1184	5843	303.0	2400	0	0	0
2	326	436	381	1178	5828	305.0	2400	0	222	1
2	341	569	429	1377	5843	303.0	2400	0	222	1
2	348	612	446	1447	6184	473.0	2400	0	222	1
2	347	609	444	1440	6273	526.0	2400	0	222	1
2	349	613	447	1450	6266	523.0	2400	0	222	1
2	348	611	446	1445	6270	527.0	2400	0	222	1
2	350	614	448	1454	6273	524.0	2400	0	222	1
2	349	613	447	1449	6267	527.0	2400	0	222	1
2	351	615	449	1456	6270	527.0	2400	0	222	1
2	350	614	448	1452	6264	528.0	2400	0	222	1
2	353	618	451	1463	6267	527.0	2400	0	222	1
2	352	617	451	1462	6258	530.0	2400	0	222	1
2	353	618	452	1464	6272	529.0	2400	0	222	1
2	351	616	450	1458	6269	530.0	2400	0	222	1
2	352	618	451	1462	6275	528.0	2400	0	222	1
2	352	618	451	1462	6272	531.0	2400	0	222	1
2	354	620	452	1467	6272	531.0	2400	0	222	1
2	354	619	452	1466	6255	532.0	2400	0	222	1
2	354	620	453	1469	6255	531.0	2400	0	222	1
2	355	621	454	1470	6266	532.0	2400	0	222	1
2	355	621	454	1471	6263	532.0	2400	0	222	1
2	354	620	453	1469	6263	532.0	2400	0	222	1
2	355	622	454	1473	6266	532.0	2400	0	222	1
2	355	621	453	1470	6263	534.0	2400	0	222	1
2	355	622	455	1474	6252	533.0	2400	0	222	1
2	355	621	454	1471	6274	533.0	2400	0	222	1
2	356	622	455	1474	6263	532.0	2400	0	222	1
2	355	621	453	1470	6260	533.0	2400	0	222	0
2	356	623	455	1476	6252	533.0	2400	0	222	0
2	333	449	390	1208	6260	534.0	2400	0	222	0
2	334	447	390	1207	5853	315.0	2400	0	222	0
2	332	445	388	1201	5839	311.0	2400	0	222	0
2	334	447	390	1208	5843	310.0	2400	0	222	0
2	332	444	388	1201	5839	311.0	2400	0	222	0
3	334	447	390	1208	5843	309.0	2400	355	0	1
3	332	445	388	1201	5839	311.0	2400	355	0	1
3	761	468	434	1654	5843	310.0	2400	355	0	1
3	764	471	436	1662	3555	173.0	2400	355	0	1
3	760	468	434	1653	3556	176.0	2400	355	0	1
3	764	471	436	1661	3558	174.0	2400	355	0	1
3	761	467	434	1653	3554	176.0	2400	355	0	1
3	763	471	436	1661	3555	172.0	2400	355	0	1
3	762	468	434	1655	3559	176.0	2400	355	0	1
3	763	471	437	1663	3552	173.0	2400	355	0	1
3	762	469	435	1657	3564	175.0	2400	355	0	1
3	765	473	438	1667	3557	174.0	2400	355	0	1
3	762	470	436	1659	3563	177.0	2400	355	0	1
3	765	474	439	1669	3562	175.0	2400	355	0	1
3	763	471	437	1662	3568	178.0	2400	355	0	1
3	765	475	440	1671	3564	175.0	2400	355	0	1
3	765	473	438	1668	3573	179.0	2400	355	0	1
3	767	476	441	1676	3563	177.0	2400	355	0	1
3	766	475	439	1672	3573	179.0	2400	355	0	1
3	767	477	441	1678	3566	179.0	2400	355	0	1
3	768	478	442	1679	3575	181.0	2400	355	0	1
3	767	476	440	1675	3575	181.0	2400	355	0	1
3	769	478	442	1680	3568	180.0	2400	355	0	1
3	767	477	441	1677	3572	181.0	2400	355	0	1
3	768	478	442	1681	3573	181.0	2400	355	0	1
3	768	478	442	1680	3577	181.0	2400	355	0	1
3	767	478	442	1679	3575	181.0	2400	355	0	1
3	768	478	442	1680	3578	181.0	2400	355	0	0
3	767	478	442	1678	3575	181.0	2400	355	0	0
3	340	455	396	1227	3578	181.0	2400	355	0	0
3	339	454	395	1225	5828	317.0	2400	355	0	0
3	340	455	396	1228	5830	317.0	2400	355	0	0
3	339	454	395	1225	5828	317.0	2400	355	0	0
3	340	455	396	1228	5830	317.0	2400	355	0	0
4	339	453	394	1224	5828	317.0	2400	0	444	1
4	340	455	396	1229	5819	316.0	2400	0	444	1
4	388	848	554	1838	5828	317.0	2400	0	444	1
4	409	1008	620	2090	6831	807.0	2400	0	444	1
4	407	1008	620	2082	7166	1004.0	2400	0	444	1
4	407	1006	618	2083	7194	1005.0	2400	0	444	1
4	409	1008	620	2089	7176	1003.0	2400	0	444	1
4	407	1006	618	2084	7166	1004.0	2400	0	444	1
4	409	1008	620	2090	7176	1003.0	2400	0	444	1
4	407	1006	618	2083	7166	1004.0	2400	0	444	1
4	409	1008	620	2091	7176	1003.0	2400	0	444	1
4	407	1005	617	2081	7166	1004.0	2400	0	444	1
4	409	1009	620	2092	7166	1002.0	2400	0	444	1
4	407	1005	617	2081	7166	1006.0	2400	0	444	1
4	409	1009	620	2091	7166	1002.0	2400	0	444	1
4	407	1005	617	2081	7166	1006.0	2400	0	444	1
4	409	1008	620	2090	7166	1002.0	2400	0	444	1
4	407	1006	618	2083	7166	1004.0	2400	0	444	1
4	409	1008	620	2089	7176	1003.0	2400	0	444	1
4	407	1006	618	2083	7166	1004.0	2400	0	444	1
4	409	1008	620	2089	7176	1003.0	2400	0	444	1
4	407	1006	618	2083	7166	1004.0	2400	0	444	1
4	409	1009	620	2090	7176	1003.0	2400	0	444	1
4	409	1009	620	2091	7166	1006.0	2400	0	444	1
4	407	1005	618	2082	7166	1006.0	2400	0	444	1
4	409	1009	620	2090	7176	1001.0	2400	0	444	1
4	407	1006	618	2085	7166	1006.0	2400	0	444	1
4	409	1007	619	2088	7176	1003.0	2400	0	444	1
4	408	1007	618	2085	7157	1003.0	2400	0	444	0
4	343	481	406	1268	7162	1004.0	2400	0	444	0
4	339	454	395	1225	5900	350.0	2400	0	444	0
4	340	455	396	1228	5830	317.0	2400	0	444	0
4	339	454	395	1226	5828	317.0	2400	0	444	0
4	340	455	396	1228	5830	317.0	2400	0	444	0
5	339	454	395	1227	5828	317.0	2400	355	222	1
5	340	454	395	1227	5830	317.0	2400	355	222	1
5	681	617	485	1790	5817	317.0	2400	355	222	1
5	792	670	513	1972	4104	397.0	2400	355	222	1
5	793	671	514	1975	3857	424.0	2400	355	222	1
5	791	669	513	1971	3858	425.0	2400	355	222	1
5	793	671	514	1976	3860	423.0	2400	355	222	1
5	793	671	514	1975	3858	425.0	2400	355	222	1
