Stim	HueR	HueG	HueB	HueC	HueCT	HueLux	Yellow	Red	Green	Trig
1	360	343	263	995	0	2.0	2400	0	0	1
1	359	341	262	991	4174	232.0	2400	0	0	1
1	360	343	263	995	4171	229.0	2400	0	0	1
1	358	341	262	990	4174	232.0	2400	0	0	1
1	360	343	263	995	4179	230.0	2400	0	0	1
1	358	341	262	990	4174	232.0	2400	0	0	1
1	360	343	263	996	4179	230.0	2400	0	0	1
1	358	341	262	990	4174	232.0	2400	0	0	1
1	360	343	263	996	4179	230.0	2400	0	0	1
1	358	341	262	989	4174	232.0	2400	0	0	1
1	360	343	263	996	4179	230.0	2400	0	0	1
1	358	341	262	989	4174	232.0	2400	0	0	1
1	360	343	263	997	4179	230.0	2400	0	0	1
1	358	341	261	989	4174	232.0	2400	0	0	1
1	360	343	263	996	4168	230.0	2400	0	0	1
1	358	341	262	990	4174	232.0	2400	0	0	1
1	358	341	262	990	4179	230.0	2400	0	0	1
1	360	343	263	996	4179	230.0	2400	0	0	1
1	358	341	262	991	4174	232.0	2400	0	0	1
1	360	343	263	995	4179	230.0	2400	0	0	1
1	358	341	262	991	4174	232.0	2400	0	0	1
1	360	343	263	995	4179	230.0	2400	0	0	1
1	359	342	262	992	4174	232.0	2400	0	0	1
1	360	342	263	994	4171	231.0	2400	0	0	1
1	359	342	262	993	4174	230.0	2400	0	0	1
1	359	342	263	993	4171	231.0	2400	0	0	1
1	359	342	263	993	4182	230.0	2400	0	0	1
1	359	342	262	993	4182	230.0	2400	0	0	0
1	359	342	263	994	4171	231.0	2400	0	0	0
1	359	342	262	992	4182	230.0	2400	0	0	0
1	360	343	263	995	4171	231.0	2400	0	0	0
1	358	341	262	991	4174	232.0	2400	0	0	0
1	360	343	263	995	4179	230.0	2400	0	0	0
1	358	341	262	990	4174	232.0	2400	0	0	0
2	358	341	262	990	4179	230.0	2400	0	222	1
2	382	452	303	1170	4179	230.0	2400	0	222	1
2	386	477	312	1208	4413	367.0	2400	0	222	1
2	388	479	314	1215	4470	399.0	2400	0	222	1
2	385	477	312	1208	4474	400.0	2400	0	222	1
2	388	479	314	1215	4478	399.0	2400	0	222	1
2	385	477	312	1208	4474	400.0	2400	0	222	1
2	388	479	313	1215	4478	399.0	2400	0	222	1
2	385	477	312	1207	4464	400.0	2400	0	222	1
2	388	480	314	1215	4478	399.0	2400	0	222	1
2	385	477	312	1208	4474	401.0	2400	0	222	1
2	388	479	313	1215	4478	399.0	2400	0	222	1
2	386	477	312	1208	4464	400.0	2400	0	222	1
2	388	479	313	1214	4470	399.0	2400	0	222	1
2	386	478	312	1209	4464	400.0	2400	0	222	1
2	387	479	313	1214	4470	400.0	2400	0	222	1
2	386	478	312	1210	4472	401.0	2400	0	222	1
2	387	479	313	1213	4470	400.0	2400	0	222	1
2	387	478	313	1212	4472	401.0	2400	0	222	1
2	387	478	313	1212	4472	399.0	2400	0	222	1
2	387	478	313	1211	4472	399.0	2400	0	222	1
2	387	479	313	1212	4472	399.0	2400	0	222	1
2	386	478	313	1211	4472	401.0	2400	0	222	1
2	387	479	313	1212	4480	400.0	2400	0	222	1
2	386	478	312	1210	4472	401.0	2400	0	222	1
2	387	479	313	1213	4470	400.0	2400	0	222	1
2	386	477	312	1209	4472	401.0	2400	0	222	1
2	388	479	313	1214	4470	399.0	2400	0	222	0
2	386	477	312	1209	4464	400.0	2400	0	222	0
2	360	343	263	997	4470	399.0	2400	0	222	0
2	358	341	262	990	4174	232.0	2400	0	222	0
2	360	343	263	997	4179	230.0	2400	0	222	0
2	358	341	262	990	4174	232.0	2400	0	222	0
2	360	343	263	997	4179	230.0	2400	0	222	0
3	358	341	261	989	4174	232.0	2400	355	0	1
3	360	343	263	996	4168	230.0	2400	355	0	1
3	688	366	309	1339	4174	232.0	2400	355	0	1
3	773	364	307	1429	3064	128.0	2400	355	0	1
3	774	366	308	1435	2883	98.0	2400	355	0	1
3	773	364	307	1429	2889	100.0	2400	355	0	1
3	774	366	308	1434	2883	98.0	2400	355	0	1
3	773	364	307	1430	2886	100.0	2400	355	0	1
3	774	366	308	1434	2883	98.0	2400	355	0	1
3	773	365	307	1430	2886	100.0	2400	355	0	1
3	775	366	308	1434	2883	100.0	2400	355	0	1
3	773	365	307	1430	2884	100.0	2400	355	0	1
3	774	366	308	1434	2883	100.0	2400	355	0	1
3	773	365	308	1431	2886	100.0	2400	355	0	1
3	774	365	308	1433	2888	99.0	2400	355	0	1
3	773	365	308	1432	2886	99.0	2400	355	0	1
3	774	365	308	1432	2888	99.0	2400	355	0	1
3	774	366	308	1433	2886	99.0	2400	355	0	1
3	773	365	307	1430	2886	100.0	2400	355	0	1
3	775	366	308	1434	2883	100.0	2400	355	0	1
3	772	365	307	1429	2884	100.0	2400	355	0	1
3	772	364	307	1429	2885	100.0	2400	355	0	1
3	775	366	308	1435	2885	99.0	2400	355	0	1
3	772	364	307	1429	2884	100.0	2400	355	0	1
3	774	366	308	1434	2885	99.0	2400	355	0	1
3	771	363	306	1427	2886	100.0	2400	355	0	1
3	773	366	308	1432	2885	98.0	2400	355	0	1
3	771	363	306	1426	2888	101.0	2400	355	0	0
3	766	365	307	1425	2882	98.0	2400	355	0	0
3	356	340	261	987	2899	102.0	2400	355	0	0
3	359	342	263	994	4184	230.0	2400	355	0	0
3	356	340	261	987	4182	230.0	2400	355	0	0
3	359	342	263	993	4184	230.0	2400	355	0	0
3	356	340	261	987	4182	230.0	2400	355	0	0
4	358	342	263	993	4184	230.0	2400	0	444	1
4	356	340	261	987	4189	231.0	2400	0	444	1
4	421	659	389	1508	4184	230.0	2400	0	444	1
4	442	767	431	1682	4911	618.0	2400	0	444	1
4	443	767	432	1685	5106	751.0	2400	0	444	1
4	442	767	432	1684	5106	750.0	2400	0	444	1
4	442	766	431	1682	5114	750.0	2400	0	444	1
4	442	768	432	1685	5106	750.0	2400	0	444	1
4	443	767	432	1684	5114	752.0	2400	0	444	1
4	443	768	432	1685	5106	750.0	2400	0	444	1
4	443	767	432	1685	5106	752.0	2400	0	444	1
4	442	767	432	1684	5106	750.0	2400	0	444	1
4	443	769	433	1687	5114	750.0	2400	0	444	1
4	442	766	431	1682	5114	753.0	2400	0	444	1
4	444	769	433	1688	5106	750.0	2400	0	444	1
4	442	766	431	1681	5106	752.0	2400	0	444	1
4	444	769	433	1689	5106	750.0	2400	0	444	1
4	442	767	431	1682	5106	752.0	2400	0	444	1
4	444	768	433	1688	5106	751.0	2400	0	444	1
4	442	767	431	1682	5106	751.0	2400	0	444	1
4	444	768	433	1688	5106	751.0	2400	0	444	1
4	442	767	431	1682	5106	751.0	2400	0	444	1
4	444	768	433	1688	5106	751.0	2400	0	444	1
4	444	769	433	1689	5106	751.0	2400	0	444	1
4	441	766	431	1681	5106	752.0	2400	0	444	1
4	444	769	433	1689	5114	750.0	2400	0	444	1
4	442	766	431	1681	5106	752.0	2400	0	444	1
4	444	769	433	1688	5106	750.0	2400	0	444	1
4	442	767	431	1683	5106	752.0	2400	0	444	0
4	360	350	266	1006	5106	751.0	2400	0	444	0
4	357	341	262	989	4206	240.0	2400	0	444	0
4	359	342	263	993	4187	230.0	2400	0	444	0
4	358	341	262	990	4182	230.0	2400	0	444	0
4	358	342	262	993	4179	230.0	2400	0	444	0
5	358	341	262	991	4179	231.0	2400	355	222	1
5	358	342	262	992	4179	230.0	2400	355	222	1
5	705	475	340	1519	4179	231.0	2400	355	222	1
5	803	513	362	1668	3228	271.0	2400	355	222	1
5	802	513	362	1667	3095	284.0	2400	355	222	1
5	802	512	362	1666	3097	284.0	2400	355	222	1
5	804	513	363	1669	3097	282.0	2400	355	222	1
5	804	513	363	1664	3098	282.0	2400	355	222	1
5	801	511	361	1664	3090	282.0	2400	355	222	1
5	804	513	363	1670	3097	282.0	2400	355	222	1
5	802	512	361	1665	3098	282.0	2400	355	222	1
5	803	513	363	1669	3092	283.0	2400	355	222	1
5	802	512	361	1664	3100	283.0	2400	355	222	1
5	803	513	363	1670	3092	283.0	2400	355	222	1
5	802	511	361	1664	3102	283.0	2400	355	222	1
5	803	514	363	1670	3092	281.0	2400	355	222	1
5	801	511	361	1663	3100	284.0	2400	355	222	1
5	804	514	363	1671	3094	282.0	2400	355	222	1
5	801	511	361	1663	3098	284.0	2400	355	222	1
5	804	514	363	1672	3094	282.0	2400	355	222	1
5	801	511	361	1664	3100	284.0	2400	355	222	1
5	804	514	363	1671	3097	282.0	2400	355	222	1
5	802	512	361	1665	3098	284.0	2400	355	222	1
5	803	513	363	1669	3092	283.0	2400	355	222	1
5	802	512	362	1666	3100	283.0	2400	355	222	1
5	803	513	362	1668	3097	282.0	2400	355	222	1
5	803	513	362	1668	3095	284.0	2400	355	222	1
5	803	512	362	1667	3095	284.0	2400	355	222	1
5	803	513	362	1668	3095	282.0	2400	355	222	0
5	366	344	264	1002	3095	284.0	2400	355	222	0
5	358	341	262	991	4139	230.0	2400	355	222	0
5	358	342	262	992	4179	230.0	2400	355	222	0
5	358	341	262	990	4179	231.0	2400	355	222	0
5	359	342	263	993	4179	230.0	2400	355	222	0
